"Satisfaction","Gender","Ages","Customer_Type","Class","Inflight_wifi_service","Departure_Arrival_time_convenient","Ease_of_Online_booking","Gate_location","Food_and_drink","Online_boarding","Seat_comfort","Inflight_entertainment","On_board_service","Leg_room_service","Baggage_handling","Checkin_service","Inflight_service","Cleanliness","Departure_Delay_in_Minutes","Arrival_Delay_in_Minutes"
"No","Female","[10, 20)","L","Eco Plus",1,3,1,3,1,1,1,1,2,1,2,4,2,1,0,0
"No","Female","[10, 20)","L","Eco",2,4,2,4,1,2,1,1,3,3,4,4,4,1,0,0
"No","Female","[10, 20)","NL","Eco",2,2,1,4,4,1,4,4,4,4,3,2,3,4,3,0
"Yes","Male","[10, 20)","NL","Eco",5,3,5,3,1,5,1,1,2,4,3,1,1,1,0,0
"No","Male","[10, 20)","L","Business",3,3,3,3,3,3,3,3,4,2,4,1,4,3,0,0
"No","Male","[10, 20)","L","Eco",2,4,4,4,2,3,2,3,1,4,3,2,2,2,315,307
"Yes","Male","[10, 20)","L","Eco",4,5,4,2,5,4,5,5,4,4,5,5,4,5,2,0
"Yes","Male","[10, 20)","NL","Business",4,0,4,3,1,4,1,1,5,5,5,3,4,1,63,56
"No","Male","[10, 20)","L","Eco",2,4,2,3,2,2,2,2,3,2,5,4,4,2,19,2
"No","Female","[10, 20)","L","Eco",2,3,1,4,4,1,4,4,4,2,3,1,3,4,6,0
"No","Female","[10, 20)","L","Eco Plus",2,3,4,1,4,4,4,4,4,5,3,3,5,4,0,0
"No","Female","[10, 20)","L","Eco",1,4,4,4,1,2,1,1,4,3,3,1,4,1,0,0
"Yes","Female","[10, 20)","NL","Eco",5,0,5,3,1,0,1,1,3,4,5,4,4,1,0,0
"No","Male","[10, 20)","NL","Eco",3,3,3,4,3,3,3,3,1,3,4,1,4,3,16,4
"No","Male","[10, 20)","L","Eco",2,1,2,4,5,2,4,5,1,3,3,4,4,5,0,0
"No","Male","[10, 20)","L","Eco",3,5,3,3,1,3,1,1,3,3,5,5,4,1,0,12
"No","Female","[10, 20)","L","Eco",4,5,4,3,4,4,4,4,5,2,5,5,4,4,31,26
"No","Female","[10, 20)","L","Eco",1,4,5,1,5,5,5,5,4,2,5,3,5,5,0,8
"No","Female","[10, 20)","L","Business",1,4,4,4,1,1,1,1,3,1,3,4,3,1,0,0
"Yes","Female","[10, 20)","L","Eco",4,4,4,4,4,4,4,4,4,5,3,4,3,4,0,0
"No","Female","[10, 20)","L","Eco",3,0,3,5,4,3,4,4,3,4,4,4,5,4,0,0
"No","Male","[10, 20)","L","Eco Plus",4,5,4,4,5,4,5,5,4,4,4,5,5,5,4,2
"No","Male","[10, 20)","L","Eco",3,3,3,1,4,3,4,4,3,1,4,2,4,4,0,0
"No","Male","[10, 20)","L","Eco",2,4,2,4,1,2,3,1,5,3,4,3,4,1,1,0
"No","Female","[10, 20)","L","Eco",1,5,0,4,5,0,5,5,3,3,4,4,4,5,0,0
"No","Female","[10, 20)","L","Eco",2,5,2,4,3,2,1,3,5,2,5,3,5,3,0,0
"No","Male","[10, 20)","L","Eco",1,4,1,4,5,1,5,5,3,3,5,3,4,5,23,22
"No","Male","[10, 20)","NL","Eco",2,2,2,4,3,2,3,3,2,3,4,4,4,3,44,57
"Yes","Male","[10, 20)","L","Business",4,4,4,4,2,2,2,2,5,3,5,3,5,2,0,0
"No","Female","[10, 20)","L","Eco",2,1,2,4,3,2,3,3,4,5,3,4,3,3,0,0
"No","Female","[10, 20)","L","Business",3,3,3,3,3,3,3,3,3,4,3,4,4,3,26,21
"No","Female","[10, 20)","NL","Eco",3,4,3,4,2,3,2,2,1,3,3,1,4,2,0,0
"No","Female","[10, 20)","L","Business",2,2,2,4,1,2,1,1,3,1,3,2,4,1,0,0
"No","Female","[10, 20)","L","Eco",1,5,1,2,1,1,1,1,3,2,4,5,4,1,0,12
"No","Female","[10, 20)","L","Eco",4,4,4,5,5,4,5,5,4,4,4,3,4,5,63,47
"No","Female","[10, 20)","L","Eco Plus",2,2,1,1,2,2,1,2,1,5,3,1,4,2,0,0
"No","Male","[10, 20)","L","Eco",2,5,2,3,2,2,2,2,5,5,5,4,5,2,0,0
"Yes","Female","[10, 20)","L","Business",3,3,3,3,5,5,5,5,3,4,5,3,4,5,0,0
"Yes","Male","[10, 20)","NL","Business",5,3,5,3,5,5,4,5,5,2,5,3,5,5,0,0
"No","Female","[10, 20)","L","Business",3,5,3,4,1,3,1,1,3,4,5,5,4,1,0,0
"No","Male","[10, 20)","L","Eco",2,5,5,2,2,5,2,2,5,3,5,3,4,2,0,0
"No","Female","[10, 20)","L","Eco Plus",3,4,4,4,3,3,3,3,3,5,4,4,3,3,0,0
"No","Male","[10, 20)","L","Business",2,1,2,4,2,2,2,2,3,1,4,2,3,2,0,7
"No","Female","[10, 20)","L","Eco",2,5,2,2,2,2,2,2,4,5,5,3,4,2,3,2
"Yes","Male","[10, 20)","L","Business",5,5,5,5,4,4,4,4,1,3,3,3,3,4,0,3
"Yes","Female","[10, 20)","NL","Eco",5,3,5,4,4,5,4,4,5,1,5,4,1,4,0,0
"No","Male","[10, 20)","L","Eco",1,4,1,3,3,1,3,3,1,2,3,1,4,3,0,0
"No","Male","[10, 20)","L","Eco",2,1,2,3,5,2,5,5,1,4,3,1,3,5,0,0
"No","Female","[10, 20)","L","Eco",2,5,2,5,3,2,3,3,1,2,5,4,2,3,60,57
"Yes","Female","[10, 20)","L","Business",5,5,5,5,4,4,4,4,5,5,5,5,5,4,0,0
"No","Male","[10, 20)","L","Eco",2,4,2,4,4,2,4,4,3,4,5,4,5,4,0,0
"No","Male","[10, 20)","L","Eco",4,2,4,3,5,4,3,5,2,1,3,2,3,5,15,0
"No","Male","[10, 20)","L","Business",3,4,3,1,3,2,2,2,5,1,1,2,2,2,142,141
"No","Male","[10, 20)","L","Eco",4,3,4,4,2,4,2,2,1,1,4,3,3,2,2,0
"No","Male","[10, 20)","NL","Eco",3,3,3,4,3,3,3,3,3,1,4,1,3,3,0,29
"No","Male","[10, 20)","NL","Eco",3,3,3,1,3,3,3,3,3,3,4,4,4,3,0,4
"No","Male","[10, 20)","L","Eco",3,3,3,2,2,3,4,2,4,1,1,4,3,2,37,37
"No","Female","[10, 20)","L","Eco Plus",2,4,2,3,3,2,3,3,5,2,5,4,5,3,0,0
"Yes","Female","[10, 20)","NL","Eco",0,5,0,5,3,0,5,3,5,3,5,4,5,3,0,0
"No","Male","[10, 20)","L","Eco",2,4,5,3,3,5,4,3,2,2,4,4,3,3,8,3
"No","Female","[10, 20)","L","Eco",2,4,2,4,4,2,2,4,1,2,4,3,3,4,0,0
"No","Female","[10, 20)","L","Eco",1,4,1,2,1,1,1,1,5,4,4,5,4,1,8,0
"Yes","Female","[10, 20)","L","Eco",5,1,5,1,3,5,3,3,3,2,2,4,2,3,0,0
"No","Male","[10, 20)","L","Eco",2,1,2,2,3,2,3,3,4,1,2,1,1,3,0,0
"No","Male","[10, 20)","L","Eco Plus",1,4,1,5,1,1,1,1,3,3,5,5,4,1,14,6
"Yes","Female","[10, 20)","L","Business",4,4,4,4,4,4,4,4,5,2,5,5,5,4,16,3
"Yes","Female","[10, 20)","L","Eco",4,5,4,3,2,4,2,2,1,2,5,3,5,2,0,0
"No","Female","[10, 20)","L","Eco",2,5,2,3,4,2,4,4,5,2,5,3,4,4,0,0
"No","Male","[10, 20)","L","Eco",3,5,4,2,4,4,4,4,5,3,5,5,5,4,15,5
"Yes","Male","[10, 20)","NL","Eco",4,0,4,3,4,4,4,4,3,5,2,1,1,4,52,40
