호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1호선,150,서울역(1),3364130,3026680,3446064,3473124,3563150,3302692,3402309,3384029,3205334,3589014,3496294,3543766
1호선,151,시청(1),1562110,1275441,1581722,1635208,1666756,1527076,1586068,1592866,1463466,1875878,1691849,1744402
1호선,152,종각,2740119,2276059,2650404,2634617,2704398,2458042,2716809,2625393,2354321,2789296,2629753,2875434
1호선,153,종로3가(1),2143877,1823175,2106819,2039389,2154261,1989308,2092865,1987469,1843767,2129128,1995373,2133123
1호선,154,종로5가,1701378,1452300,1733436,1703251,1749096,1583541,1617625,1571120,1493315,1754767,1673923,1748656
1호선,155,동대문(1),929424,856439,1026106,994684,1039377,959160,943415,907041,920654,1000696,941426,994505
1호선,156,신설동(1),968451,827320,1021167,1009433,1028676,947321,990896,927471,909473,1019285,981765,986953
1호선,157,제기동,1362972,1054708,1291090,1303341,1319459,1239737,1244509,1220591,1217012,1328562,1246768,1250308
1호선,158,청량리,1663065,1422191,1692166,1625265,1664409,1538471,1525706,1514642,1502117,1625788,1559485,1576237
1호선,159,동묘앞(1),664982,650450,773244,725529,782559,707306,640341,640361,658991,754683,694519,682224
2호선,201,시청(2),1509636,1230493,1514599,1609428,1593905,1466648,1605921,1518481,1379605,1655859,1573097,1594090
2호선,202,을지로입구,3069180,2563016,3103891,3126026,3163756,2969144,3178648,3107441,2896430,3245247,3162802,3351937
2호선,203,을지로3가(2),1397967,1145321,1393496,1418810,1457299,1357954,1484655,1401979,1303941,1492939,1444952,1479162
2호선,204,을지로4가(2),757713,617335,748924,748476,779530,734316,785134,757398,708297,856982,823638,839981
2호선,205,동대문역사문화공원(2),1183853,1062121,1349717,1299288,1409228,1274845,1291013,1287981,1158319,1370707,1289032,1346570
2호선,206,신당(2),938081,801699,984409,971049,989910,916461,948011,899159,878553,980809,952504,976321
2호선,207,상왕십리,868250,726582,887732,891727,913417,845230,898998,844082,818671,903899,892821,902161
2호선,208,왕십리(2),1088620,940150,1180445,1137723,1205555,1088200,1121327,1065169,1041495,1141085,1148468,1156692
2호선,209,한양대,525650,417121,881751,905154,905222,733742,576413,491976,792647,857412,882065,724921
2호선,210,뚝섬,1115742,932383,1154402,1218821,1301811,1174119,1249670,1183725,1132695,1296535,1261658,1233025
2호선,211,성수,1841371,1518779,1844308,1911957,1918376,1762188,1932826,1778245,1693424,1926298,1905370,1936865
