연번,호선,고유역번호(외부역코드),역명,수송연월,승하차인원수
1,1,150,서울역(1),2022-01,2139094
2,1,151,시청(1),2022-01,1016011
3,1,152,종각,2022-01,1626882
4,1,153,종로3가(1),2022-01,1258090
5,1,154,종로5가,2022-01,1112653
6,1,155,동대문(1),2022-01,579385
7,1,156,신설동(1),2022-01,689637
8,1,157,제기동,2022-01,971569
9,1,158,청량리,2022-01,1083534
10,1,159,동묘앞(1),2022-01,502544
11,2,201,시청(2),2022-01,1038259
12,2,202,을지로입구,2022-01,1899368
13,2,203,을지로3가(2),2022-01,1056052
14,2,204,을지로4가(2),2022-01,611785
15,2,205,동대문역사문화공원(2),2022-01,677892
16,2,206,신당(2),2022-01,728131
17,2,207,상왕십리,2022-01,709188
18,2,208,왕십리(2),2022-01,754912
19,2,209,한양대,2022-01,334965
20,2,210,뚝섬,2022-01,1121639
21,2,211,성수,2022-01,1901201
22,2,212,건대입구(2),2022-01,1981180
23,2,213,구의,2022-01,1195904
24,2,214,강변,2022-01,1574998
25,2,215,잠실나루,2022-01,683280
26,2,216,잠실(2),2022-01,3670407
27,2,217,잠실새내,2022-01,1097162
28,2,218,종합운동장(2),2022-01,400923
29,2,219,삼성,2022-01,2550605
30,2,220,선릉,2022-01,2480145
31,2,221,역삼,2022-01,2586652
32,2,222,강남,2022-01,4354852
33,2,223,교대(2),2022-01,1705675
34,2,224,서초,2022-01,1030418
35,2,225,방배,2022-01,814561
36,2,226,사당(2),2022-01,1981832
37,2,227,낙성대,2022-01,1374504
38,2,228,서울대입구,2022-01,2430230
39,2,229,봉천,2022-01,1173284
40,2,230,신림,2022-01,3259231
41,2,231,신대방,2022-01,1345562
42,2,232,구로디지털단지,2022-01,2918648
43,2,233,대림(2),2022-01,1257541
44,2,234,신도림,2022-01,2438151
45,2,235,문래,2022-01,1044142
46,2,236,영등포구청(2),2022-01,1130176
47,2,237,당산,2022-01,970022
48,2,238,합정(2),2022-01,1688057
49,2,239,홍대입구,2022-01,3149639
50,2,240,신촌,2022-01,1733594
51,2,241,이대,2022-01,659971
52,2,242,아현,2022-01,499207
53,2,243,충정로(2),2022-01,488939
54,2,244,용답,2022-01,148617
55,2,245,신답,2022-01,90400
56,2,246,신설동(2),2022-01,200061
57,2,247,도림천,2022-01,70986
58,2,248,양천구청,2022-01,355476
59,2,249,신정네거리,2022-01,535001
60,2,250,용두,2022-01,129485
61,3,309,지축,2022-01,222581
62,3,310,구파발,2022-01,1028273
63,3,311,연신내(3),2022-01,1843897
64,3,312,불광(3),2022-01,870441
65,3,313,녹번,2022-01,739478
66,3,314,홍제,2022-01,854602
67,3,315,무악재,2022-01,201042
68,3,316,독립문,2022-01,352851
69,3,317,경복궁,2022-01,979435
70,3,318,안국,2022-01,1010398
71,3,319,종로3가(3),2022-01,539266
72,3,320,을지로3가(3),2022-01,503740
73,3,322,동대입구,2022-01,394311
74,3,323,약수(3),2022-01,641207
75,3,324,금호,2022-01,402615
76,3,325,옥수,2022-01,473133
77,3,326,압구정,2022-01,1728933
78,3,327,신사,2022-01,1677421
79,3,328,잠원,2022-01,237362
80,3,329,고속터미널(3),2022-01,2336338
81,3,330,교대(3),2022-01,550915
82,3,331,남부터미널,2022-01,1487623
83,3,332,양재,2022-01,1949712
84,3,333,매봉,2022-01,593098
85,3,334,도곡,2022-01,265234
86,3,335,대치,2022-01,605192
87,3,336,학여울,2022-01,97228
88,3,337,대청,2022-01,477642
