video_id,trending_date,channel_title,category_id,publish_time,views,likes,dislikes
1,18.29.05,BuzzFeed Celeb,22,2018-05-18T16:39:29.000Z,6598339,601506,3518
2,18.29.05,Brad Mondo,24,2018-05-18T17:34:22.000Z,975457,45296,1009
3,18.29.05,zefrank1,22,2018-05-18T01:00:06.000Z,931838,56564,356
4,18.29.05,Call of Duty,20,2018-05-17T17:09:38.000Z,9403494,342142,203547
5,18.29.05,Vox,25,2018-05-18T11:00:03.000Z,471757,8092,655
6,18.29.05,AsapSCIENCE,28,2018-05-16T18:16:26.000Z,41889604,558953,33051
7,18.29.05,Binging with Babish,24,2018-05-17T16:47:42.000Z,1176865,34246,585
8,18.29.05,BackstreetBoysVEVO,10,2018-05-17T04:00:01.000Z,13549142,378501,15491
9,18.29.05,SigridVEVO,10,2018-05-17T12:00:04.000Z,1822798,53376,1037
10,18.29.05,CBS This Morning,25,2018-05-17T11:48:02.000Z,626781,1946,382
11,18.29.05,CalumScottVEVO,10,2018-05-16T23:00:00.000Z,5479749,127137,1363
12,18.29.05,Movieclips Trailers,1,2018-05-16T20:29:17.000Z,4415599,53450,1658
13,18.29.05,JennaMarbles,23,2018-05-16T22:33:29.000Z,3236651,329010,1778
14,18.29.05,Gabbie Hanna,26,2018-05-17T01:12:32.000Z,3813389,136761,4462
15,18.29.05,itsAlexClark,1,2018-05-16T21:53:15.000Z,1311112,39133,1235
16,18.29.05,Paramount Pictures,1,2018-05-16T06:59:59.000Z,15973068,169083,5293
17,18.29.05,You Suck At Cooking,26,2018-05-16T12:39:20.000Z,635184,33622,492
18,18.29.05,20th Century Fox,1,2018-05-15T13:01:12.000Z,12590552,335180,6623
19,18.29.05,Dragonfoxgirl,24,2018-05-15T05:06:07.000Z,6369672,309400,4935
20,18.29.05,jacksepticeye,27,2018-05-15T19:00:00.000Z,1439499,53945,996
21,18.29.05,Laura Lee,26,2018-05-15T20:56:25.000Z,1056283,37387,1084
22,18.29.05,James Charles,24,2018-05-15T21:02:27.000Z,4379995,219884,3468
23,18.29.05,TaylorSwiftVEVO,10,2018-05-15T21:02:41.000Z,2123883,112985,4528
24,18.29.05,E! Entertainment,24,2018-05-15T12:59:50.000Z,744699,5438,421
25,18.29.05,NBC News,25,2018-05-15T00:44:16.000Z,1013344,5119,570
26,18.29.05,Focus Features,24,2018-05-14T18:59:59.000Z,5160535,35293,3143
27,18.29.05,Complex,24,2018-05-14T14:00:03.000Z,4326712,113142,5583
28,18.29.05,Microsoft Surface,28,2018-05-15T12:55:28.000Z,1774175,45684,815
29,18.29.05,grav3yardgirl,26,2018-05-14T19:00:01.000Z,3705692,302494,13334
30,18.29.05,How To Cake It,26,2018-05-15T14:59:46.000Z,547472,18430,291
31,18.29.05,VR Music,10,2018-05-14T15:59:47.000Z,15723748,128922,9094
32,18.29.05,TheOdd2sOut,23,2018-05-14T19:36:05.000Z,1115331,94889,784
33,18.29.05,Teen Vogue,24,2018-05-15T16:00:45.000Z,1108296,56309,208
34,18.29.05,Linus Tech Tips,28,2018-05-14T19:00:20.000Z,2504160,82653,10679
35,18.29.05,Lucas and Marcus,24,2018-05-13T18:03:56.000Z,8813246,142441,19706
36,18.29.05,Rooster Teeth,1,2018-05-14T13:00:01.000Z,717103,25044,172
37,18.29.05,Unbox Therapy,28,2018-05-13T19:00:25.000Z,6431372,133425,10286
38,18.29.05,Papa Jake,24,2018-05-13T16:42:33.000Z,1918116,29502,4604
39,18.29.05,Strictly Dumpling,19,2018-05-13T20:17:14.000Z,763915,14600,501
40,18.29.05,MBCentertainment,24,2018-05-13T09:15:36.000Z,3656558,52048,516
41,18.29.05,Kurzgesagt In a Nutshell,27,2018-05-13T12:00:22.000Z,4455601,234079,2030
42,18.29.05,EverythingApplePro,24,2018-05-13T18:29:09.000Z,1315533,24569,1627
43,18.29.05,Kelly Clarkson,10,2018-05-13T13:00:41.000Z,1894596,46044,1057
44,18.29.05,Vat19,24,2018-05-12T11:30:03.000Z,4116358,42184,1851
45,18.29.05,nigahiga,24,2018-05-11T21:11:16.000Z,14056749,534452,15482
46,18.29.05,Jaclyn Hill,26,2018-05-11T22:25:51.000Z,2905891,113740,6891
47,18.29.05,Rita Ora,24,2018-05-11T09:23:16.000Z,15723324,310667,33406
48,18.29.05,Charlie Puth,10,2018-05-11T04:00:34.000Z,7609772,113793,2375
49,18.29.05,Selena Gomez,1,2018-05-10T16:00:11.000Z,35688137,784549,14402
50,18.29.05,Michelle Khare,24,2018-05-11T15:00:01.000Z,1425525,32913,1599
51,18.29.05,BostonDynamics,28,2018-05-10T19:56:28.000Z,6531110,84623,3044
52,18.29.05,johnmayerVEVO,10,2018-05-10T17:00:01.000Z,2947870,72585,1452
53,18.29.05,Clash Royale,20,2018-05-10T13:19:23.000Z,14949950,267096,23953
54,18.29.05,SiaVEVO,10,2018-05-10T12:00:03.000Z,14575698,384004,5812
55,18.29.05,NikkieTutorials,26,2018-05-10T21:11:15.000Z,2709442,154050,2112
56,18.29.05,MeghanTrainorVEVO,10,2018-05-10T12:00:07.000Z,1866571,39993,2358
57,18.29.05,SamSmithWorldVEVO,10,2018-05-09T17:00:00.000Z,15929709,332345,8425
58,18.29.05,Bleacher Report,43,2018-05-10T21:01:22.000Z,1282789,22124,605
59,18.29.05,Cobra Kai,24,2018-05-10T17:02:55.000Z,996562,31572,972
60,18.29.05,davematthewsbandVEVO,10,2018-05-10T12:00:00.000Z,362469,5272,181
61,18.29.05,emmymadeinjapan,26,2018-05-11T00:00:04.000Z,203665,8419,179
62,18.29.05,Team Coco,23,2018-05-10T01:57:54.000Z,2073938,60421,933
63,18.29.05,EnriqueIglesiasVEVO,10,2018-05-09T07:00:01.000Z,18823132,224741,10840
64,18.29.05,Washington Post,25,2018-05-07T19:12:46.000Z,8142249,69849,11057
65,18.29.05,Studio C,23,2018-05-08T22:00:03.000Z,629222,12724,1206
66,18.29.05,VH1,24,2018-05-08T02:15:00.000Z,4670716,210507,1107
67,18.29.05,Architectural Digest,26,2018-05-08T16:02:47.000Z,561163,11374,359
68,18.29.05,OmarGoshTV,24,2018-05-08T07:01:05.000Z,786371,51407,1848
69,18.29.05,Vanity Fair,24,2018-05-08T16:00:43.000Z,455631,20014,269
70,18.29.05,ChildishGambinoVEVO,10,2018-05-06T04:00:07.000Z,205643016,4776680,321493
71,18.29.05,Gallant,10,2018-05-08T14:00:03.000Z,553570,8319,496
72,18.29.05,Olivia Jade,26,2018-05-08T22:58:12.000Z,570040,22323,985
73,18.29.05,Universal Pictures,24,2018-05-08T12:15:07.000Z,4575051,16218,857
74,18.29.05,iJustine,22,2018-05-07T14:31:43.000Z,1237019,33748,5399
75,18.29.05,carrieunderwoodVEVO,10,2018-05-07T01:45:01.000Z,4715405,53959,2988
76,18.29.05,BBC Three,24,2018-05-08T11:00:04.000Z,558083,11933,268
77,18.29.05,Smosh,23,2018-05-07T16:00:09.000Z,1303891,37643,1440
78,18.29.05,PewDiePie,24,2018-05-06T17:27:32.000Z,6818187,493211,6952
79,18.29.05,videogamedunkey,20,2018-05-06T19:30:01.000Z,2687493,131699,5144
80,18.29.05,What's Inside?,28,2018-05-05T15:02:28.000Z,3291267,40273,7460
81,18.29.05,Marzia,22,2018-05-05T15:00:12.000Z,4872328,431493,4852
82,18.29.05,How Ridiculous,17,2018-05-04T22:00:07.000Z,14084427,142035,13634
83,18.29.05,LiamPayneVEVO,10,2018-05-04T11:00:07.000Z,42390420,554509,18381
84,18.29.05,MalumaVEVO,10,2018-05-04T10:00:33.000Z,59877217,853193,61049
85,18.29.05,INSIDER,24,2018-05-04T13:00:03.000Z,14890847,142231,4647
86,18.29.05,Battle Universe,24,2018-05-04T21:15:00.000Z,1132118,11926,909
87,18.29.05,Jess Glynne,10,2018-05-04T09:30:15.000Z,9617950,89910,2161
88,18.29.05,CelineDionVEVO,10,2018-05-03T12:45:00.000Z,27039153,564493,12675
89,18.30.05,Cardi B,10,2018-05-29T14:05:10.000Z,8227432,631398,21806
90,18.30.05,weezer,10,2018-05-29T12:00:11.000Z,1191202,37446,1281
91,18.30.05,DALLMYD,17,2018-05-28T19:30:08.000Z,513969,33988,861
92,18.30.05,Good Mythical Morning,24,2018-05-28T10:00:12.000Z,1410845,42290,2312
93,18.30.05,JunsKitchen,26,2018-05-28T10:00:34.000Z,1489064,146799,845
94,18.30.05,ESPN,17,2018-05-29T04:17:05.000Z,861364,6951,1043
95,18.30.05,Britain's Got Talent,24,2018-05-28T19:45:21.000Z,778143,14948,452
96,18.30.05,The Film Theorists,1,2018-05-27T19:22:30.000Z,3812821,110988,8804
97,18.30.05,Kandee Johnson,26,2018-05-28T22:00:00.000Z,699173,30138,2039
98,18.30.05,SumerianRecords,10,2018-05-28T16:59:09.000Z,215876,19319,326
99,18.30.05,Daily Dose Of Internet,24,2018-05-27T18:18:44.000Z,2087148,55730,2192
100,18.30.05,BuzzFeedVideo,22,2018-05-27T15:00:50.000Z,3724742,83247,6833
101,18.30.05,FBE,24,2018-05-27T21:00:04.000Z,1542951,36774,5937
102,18.30.05,Guava Juice,24,2018-05-27T16:45:02.000Z,1509739,72244,4283
103,18.30.05,BuzzFeedBlue,22,2018-05-27T15:00:19.000Z,1988400,37744,2426
104,18.30.05,CNN,25,2018-05-27T23:20:41.000Z,406220,2285,436
105,18.30.05,MatthewSantoro,24,2018-05-27T15:23:40.000Z,491381,13781,2487
106,18.30.05,Netflix,24,2018-05-28T15:00:09.000Z,1243501,44430,415
107,18.30.05,Simon's Cat,1,2018-05-27T12:45:00.000Z,621670,30502,754
108,18.30.05,HellthyJunkFood,24,2018-05-27T12:59:34.000Z,606048,14466,876
109,18.30.05,FOX Soccer,17,2018-05-26T22:59:38.000Z,1198697,8202,996
110,18.30.05,Tasty,26,2018-05-26T15:00:09.000Z,2050509,53028,2220
111,18.30.05,Eh Bee Family,22,2018-05-26T14:00:06.000Z,1136776,21829,4758
112,18.30.05,BANGTANTV,10,2018-05-27T11:00:03.000Z,6569383,994561,3158
113,18.30.05,Disney Movie Trailers,1,2018-05-25T19:00:02.000Z,4048557,117406,3256
114,18.30.05,Matthias,23,2018-05-25T16:50:01.000Z,2869790,62597,4777
115,18.30.05,Philip DeFranco,25,2018-05-25T19:00:01.000Z,1685969,140175,3152
116,18.30.05,MLG Highlights,17,2018-05-26T03:08:18.000Z,3314946,19247,1227
117,18.30.05,JelloApocalypse,23,2018-05-25T17:14:47.000Z,976135,62683,1080
118,18.30.05,As/Is,22,2018-05-26T15:00:16.000Z,1129265,21842,423
119,18.30.05,Amber Scholl,26,2018-05-26T00:14:41.000Z,841502,53055,1587
120,18.30.05,DanTDM,24,2018-05-25T17:09:00.000Z,1462932,37276,1185
121,18.30.05,Jake Paul,22,2018-05-26T00:16:30.000Z,2619708,82045,57702
122,18.30.05,Brave Wilderness,15,2018-05-25T11:00:03.000Z,3034948,57292,1427
123,18.30.05,Tati,26,2018-05-25T17:00:02.000Z,1110239,51721,1319
124,18.30.05,REACT,24,2018-05-25T19:00:06.000Z,1275013,31529,1625
125,18.30.05,The Graham Norton Show,24,2018-05-25T15:53:16.000Z,857726,12362,618
126,18.30.05,jacksfilms,23,2018-05-25T18:28:48.000Z,1129677,51635,1159
127,18.30.05,Late Night with Seth Meyers,23,2018-05-25T11:00:05.000Z,473884,4665,383
128,18.30.05,The Late Late Show with James Corden,24,2018-05-25T05:43:21.000Z,6319469,158477,2588
129,18.30.05,Tia Mowry's Quick Fix,26,2018-05-25T14:00:02.000Z,301676,13946,364
130,18.30.05,The Late Show with Stephen Colbert,24,2018-05-25T07:35:01.000Z,1317495,14104,788
131,18.30.05,TheEllenShow,24,2018-05-25T13:00:00.000Z,4005642,194147,4453
132,18.30.05,NickyJamTV,10,2018-05-25T04:00:21.000Z,9841966,204573,37745
133,18.30.05,Jimmy Kimmel Live,24,2018-05-25T10:00:00.000Z,1580705,37759,703
134,18.30.05,JenniferLopezVEVO,10,2018-05-24T12:00:02.000Z,10825621,302477,27595
135,18.30.05,John Mayer,10,2018-05-24T13:42:02.000Z,3101693,127947,2754
136,18.30.05,The View,24,2018-05-24T15:49:26.000Z,702584,8956,1432
137,18.30.05,AzealiaBanksVEVO,10,2018-05-24T15:59:22.000Z,1461748,73346,9519
138,18.30.05,The Sims,20,2018-05-24T16:59:24.000Z,1332296,71638,1192
139,18.30.05,ArianaGrandeVevo,10,2018-05-25T04:00:08.000Z,1914689,121974,1831
140,18.30.05,Domics,23,2018-05-23T21:28:54.000Z,3003001,153432,3374
141,18.30.05,Mr. Kate,26,2018-05-24T22:00:05.000Z,1116194,62929,550
142,18.30.05,WIRED,24,2018-05-24T16:00:23.000Z,1526870,81359,439
143,18.30.05,H O N N E,10,2018-05-25T15:01:20.000Z,229191,11254,107
144,18.30.05,comedy,10,2018-05-25T15:01:20.000Z,119382,1319,10133
145,18.30.05,Panic! At The Disco,10,2018-05-23T18:00:13.000Z,3004473,182539,1685
146,18.30.05,Skip and Shannon: UNDISPUTED,17,2018-05-24T17:44:33.000Z,264249,2027,1773
147,18.30.05,DidYouKnowGaming?,20,2018-05-24T19:00:24.000Z,280206,6947,1199
148,18.30.05,SciShow,27,2018-05-24T21:46:45.000Z,277755,7576,216
149,18.30.05,CAguileraVEVO,10,2018-05-23T17:00:01.000Z,9162725,410491,10837
150,18.30.05,ZaynVEVO,10,2018-05-23T16:00:03.000Z,11518232,535043,13416
151,18.30.05,Lauv,10,2018-05-24T12:59:43.000Z,714348,31564,207
152,18.30.05,TED-Ed,27,2018-05-24T15:00:07.000Z,364856,10850,176
153,18.30.05,BBCRadio1VEVO,10,2018-05-24T17:00:17.000Z,413419,23025,398
154,18.30.05,camelsandfriends,15,2018-05-23T13:33:03.000Z,3371941,18528,2672
155,18.30.05,The Tonight Show Starring Jimmy Fallon,23,2018-05-24T08:00:00.000Z,486964,5675,356
156,18.30.05,Bad Lip Reading,23,2018-05-22T20:02:51.000Z,11338489,263401,4991
157,18.30.05,The Daily Show with Trevor Noah,23,2018-05-23T13:00:01.000Z,713784,10904,480
158,18.30.05,The Voice,24,2018-05-23T03:30:13.000Z,1478744,13137,2866
