대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
Feb-20-2020,432,432. 마포중앙도서관,일일(회원),M,AGE_002,5,1116.53,11.68,50400.0,56
May-20-2020,608,608. 전농삼성아파트,정기,M,AGE_003,25,420.19,3.74,16100.0,774
Apr-20-2020,1049,1049. 강일리버파크 10단지,일일(회원),F,AGE_002,16,2536.26,27.64,119200.0,1004
Jan-20-2020,1192,1192. 마곡수명산파크 209동 건너편,정기,M,AGE_004,31,1259.95,9.19,39560.0,235
May-20-2020,1955,1955. 디지털입구 교차로,단체,F,AGE_004,1,0.19,0.0,10.0,2
Mar-20-2020,2347,2347. 두산건설 본사,정기,F,AGE_003,8,1270.9,10.38,44760.0,260
Apr-20-2020,561,561. 서울숲역 2번출구 앞,일일(회원),M,AGE_002,64,8847.25,71.48,308150.0,2937
Apr-20-2020,1274,1274. 영파여고 앞,정기,M,AGE_001,1,60.42,0.48,2090.0,19
Mar-20-2020,486,486. 평창동주민센터 앞,정기,F,AGE_003,2,143.64,1.54,6650.0,33
Feb-20-2020,513,513. 뚝섬역 5번 출구 정류소 옆,정기,F,AGE_001,1,85.71,0.77,3330.0,78
Mar-20-2020,1720,1720. 도봉구청 옆(중랑천변),일일(회원),M,AGE_003,13,2882.22,22.38,96420.0,514
Mar-20-2020,311,311. 서울광장 옆,정기,F,AGE_006,5,886.18,8.39,36180.0,88
Feb-20-2020,2221,2221.하나은행 방배동지점 앞,정기,M,AGE_001,3,130.85,1.19,5130.0,41
Jan-20-2020,109,109. 제일빌딩 앞,일일(회원),F,AGE_003,4,441.45,3.98,17150.0,152
Jan-20-2020,1994,1994. 삼성전자 물류센터 앞,정기,M,AGE_003,30,3280.21,28.01,120730.0,458
May-20-2020,158,158. 독립문 어린이 공원,일일(회원),M,AGE_002,12,452.4,4.16,17970.0,675
Mar-20-2020,1325,1325. 상월곡역 4번출구,일일(회원),F,AGE_003,2,682.62,6.15,26520.0,198
Feb-20-2020,708,708. 서울출입국관리사무소 앞,단체,M,AGE_005,2,397.71,3.47,14990.0,108
Mar-20-2020,1433,1433. 중화역 2번출구,일일(회원),M,AGE_005,1,211.46,1.65,7120.0,74
May-20-2020,1346,1346. 길음8골어린이공원 옆,일일(회원),M,AGE_002,5,211.27,1.59,6840.0,110
Apr-20-2020,1984,1984. 구로구청,정기,F,AGE_005,6,2068.17,14.43,62220.0,371
Mar-20-2020,2159,2159. 인헌초교,일일(회원),M,AGE_002,8,2394.29,20.88,90000.0,613
Apr-20-2020,1226,1226. 잠실4동 주민센터 옆,정기,F,AGE_004,28,8683.15,79.79,343910.0,695
Mar-20-2020,1637,1637. KT 노원점 건물 앞,정기,F,AGE_005,15,2149.36,23.06,99480.0,336
Jan-20-2020,1249,1249. 아주중학교건너편,정기,F,AGE_003,43,2056.98,19.24,82990.0,434
Mar-20-2020,542,542. 강변역 4번출구 뒤,일일(회원),M,AGE_001,3,336.55,3.07,13220.0,130
Jan-20-2020,291,291. 문래동 하이테크 시티,단체,M,AGE_001,5,579.35,4.85,20900.0,293
May-20-2020,239,239. 유스호스텔 앞,일일(회원),F,AGE_002,18,516.39,4.86,20900.0,564
Mar-20-2020,1314,1314. 정릉꿈에그린1단지 201동 앞,일일(회원),F,AGE_003,3,315.77,3.89,16750.0,180
May-20-2020,196,196. 연희교차로 인근,정기,M,AGE_004,29,1514.52,11.89,51210.0,361
Feb-20-2020,739,739. 신월사거리,정기,M,AGE_005,1,58.02,0.46,1980.0,11
Jan-20-2020,1602,1602. 광운대역 앞,정기,M,AGE_001,3,220.36,1.37,5930.0,35
May-20-2020,1503,1503. 이디야 커피 수유역점 앞,정기,M,AGE_005,48,411.27,3.49,15100.0,1045
Jan-20-2020,2008,2008. 노량진근린공원 대방공원,정기,M,AGE_003,39,2698.92,20.32,87560.0,512
May-20-2020,2107,2107. 도림천 신화교,정기,F,AGE_002,179,23145.63,228.33,984120.0,6741
May-20-2020,1376,1376. 한국과학기술연구원 중문,일일(회원),M,AGE_003,2,0.0,0.0,0.0,199
Jan-20-2020,1663,1663. 동해문화예술관앞,일일(회원),F,AGE_003,2,268.65,2.28,9840.0,55
Apr-20-2020,120,120. 신수동 사거리,정기,F,AGE_003,17,1517.12,14.25,61390.0,557
May-20-2020,1042,1042. 강일리버파크 2~5단지,정기,M,AGE_008,1,231.66,1.36,5850.0,24
May-20-2020,1188,1188. 롯데중앙연구소,정기,M,AGE_003,26,1957.56,17.45,75190.0,666
May-20-2020,1928,1928. 고척스카이돔구장 광장,정기,F,AGE_001,6,53.26,0.62,2690.0,84
Mar-20-2020,1720,1720. 도봉구청 옆(중랑천변),정기,F,AGE_002,86,13561.53,140.56,605693.71,3221
May-20-2020,1510,1510. 번동주공5단지 관리사무소 앞,정기,F,AGE_002,13,527.52,4.97,21450.0,274
Apr-20-2020,2007,2007. 유한양행앞,정기,M,AGE_006,9,703.1,5.51,23780.0,117
Jan-20-2020,1039,1039. 고덕초등학교,일일(회원),M,AGE_004,2,328.05,2.99,12890.0,81
Feb-20-2020,819,819. 선린인터넷 고등학교,정기,F,AGE_002,20,6752.85,69.7,300470.0,452
May-20-2020,2127,2127. 보성운수차고지 맞은편,일일(회원),F,AGE_002,3,434.57,4.24,18290.0,158
