id,이용시간
0,75
1,15
2,33
3,121
4,382
5,117
6,40
7,141
8,45
9,156
10,1735
11,185
12,54
13,379
14,410
15,253
16,836
17,78
18,19
19,10
20,45
21,33
22,952
23,280
24,9
25,37
26,173
27,23
28,24
29,1268
30,105
31,31
32,188
33,554
34,231
35,47
36,6
37,4867
38,1954
39,1525
40,448
41,291
42,388
43,570
44,528
45,178
46,39
47,995
48,2337
49,623
50,169
51,245
52,2123
53,4084
54,196
55,194
56,107
57,134
58,615
59,117
60,917
61,299
62,60
63,128
64,126
65,109
66,375
67,34
68,392
69,159
70,114
71,17
72,96
73,166
74,653
75,636
76,2360
77,108
78,31
79,6
80,246
81,277
82,9
83,24
84,255
85,1277
86,1236
87,159
88,42
89,851
90,1452
91,611
92,152
93,335
94,17
95,229
96,107
97,463
98,44
99,587
100,72
101,95
102,47
103,784
104,1003
105,526
106,52
107,52
108,49
109,2498
110,1786
111,798
112,319
113,186
114,8
115,105
116,333
117,94
118,39
119,92
120,146
121,757
122,665
123,429
124,32
125,72
126,2397
127,916
128,590
129,200
130,834
131,947
132,158
133,94
134,12
135,170
136,7
137,67
138,350
139,160
140,67
141,97
142,872
143,789
144,218
145,1253
146,30
147,297
148,86
149,27
150,39
151,379
152,12
153,819
154,716
155,231
156,21
157,73
158,163
159,2315
160,246
161,134
162,73
163,10
164,265
165,154
166,1430
167,460
168,51
169,39
170,839
171,743
172,80
173,2728
174,498
175,1807
176,18
177,10
178,1094
179,204
180,75
181,131
182,80
183,21
184,1134
185,260
186,8
187,1355
188,3506
189,737
190,40
191,16
192,383
193,51
194,67
195,143
196,19
197,65
198,54
199,269
200,93
201,110
202,968
203,311
204,65
205,85
206,235
207,2606
208,1101
209,838
210,379
211,118
212,270
213,374
214,1020
215,909
216,137
217,92
218,6
219,1650
220,388
221,94
222,502
223,15
224,195
225,64
226,16
227,11
228,20
229,41
230,12
231,4
232,50
233,819
234,20
235,443
236,2564
237,716
238,611
239,3420
240,6
241,76
242,16
243,148
244,31
245,1851
246,723
247,60
248,14
249,48
250,345
251,82
252,80
253,157
254,496
255,1180
256,49
257,120
258,62
259,61
260,13
261,29
262,914
263,7
264,58
265,553
266,329
267,24
268,6
269,67
270,427
271,434
272,510
273,28
274,474
275,1348
276,127
277,5
278,531
279,566
280,26
281,1672
282,1939
283,425
284,97
285,143
286,604
287,344
288,10
289,31
290,21
291,18
292,45
293,235
294,30
295,9
296,23
297,344
298,281
299,313
300,89
301,22
302,311
303,4
304,24
305,431
306,314
307,471
308,160
309,1064
310,160
311,135
312,28
313,72
314,299
315,130
316,22
317,194
318,18
319,88
320,137
321,79
322,699
323,14
324,313
325,218
326,96
327,58
328,11
329,361
330,253
331,1
332,74
333,850
334,779
335,460
336,115
337,17
338,43
339,86
340,479
341,307
342,203
343,32
344,10
345,367
346,878
347,332
348,55
349,2168
350,147
351,351
352,26
353,21
354,750
355,65
356,104
357,1034
358,370
359,80
360,1559
361,850
362,1089
363,24
364,79
365,82
366,37
367,295
368,1637
369,13
370,3284
371,662
372,308
373,82
374,196
375,426
376,17
377,144
378,93
379,1180
380,2317
381,544
382,179
383,102
384,702
385,6321
386,3538
387,1649
388,66
389,7
390,1052
391,407
392,578
393,64
394,11
395,166
396,4388
397,2263
398,1457
399,277
400,40
401,5444
402,5698
403,3897
404,223
405,1282
406,254
407,2636
408,225
409,116
410,437
411,280
412,915
413,46
414,183
415,1431
416,469
417,450
418,93
419,513
420,465
421,196
422,131
423,831
424,595
425,93
426,63
427,81
428,2870
429,1572
430,2452
431,411
432,103
433,42
434,53
435,43
436,616
437,990
438,216
439,974
440,101
441,25
442,31
443,4
444,33
445,128
446,37
447,357
448,174
449,221
450,676
451,418
452,87
453,46
454,3139
455,1430
456,152
457,292
458,85
459,67
460,9
461,302
462,152
463,19
464,1299
465,308
466,108
467,52
468,706
469,595
470,526
471,18
472,101
473,36
474,218
475,6
476,4
477,18
478,43
479,355
480,177
481,275
482,296
483,159
484,53
485,2165
486,1221
487,201
488,41
489,84
490,168
491,45
492,319
493,198
494,9
495,672
496,1871
497,1472
498,392
499,120
500,349
501,368
502,800
503,43
504,587
505,1599
506,493
507,108
508,25
509,260
510,1247
511,155
512,1415
513,452
514,225
515,193
516,922
517,389
518,238
519,168
520,74
521,63
522,1755
523,1645
524,1360
525,451
526,198
527,177
528,170
529,117
530,162
531,197
532,1134
533,1071
534,208
535,17
536,1083
537,20
538,2031
539,1070
540,902
541,22
542,14
543,49
544,1047
545,90
546,34
547,11
548,176
549,45
550,443
551,109
552,113
553,110
554,53
555,544
556,8
557,19
558,97
559,142
560,484
561,2225
562,278
563,243
564,55
565,311
566,357
567,58
568,17
569,79
570,8
571,775
572,169
573,121
574,75
575,825
576,714
577,798
578,13
579,460
580,92
581,61
582,55
583,516
584,117
585,554
586,68
587,31
588,914
589,573
590,414
591,25
592,132
593,144
594,21
595,1122
596,120
597,227
598,69
599,519
600,368
601,50
602,16
603,8
604,270
605,114
606,39
607,83
608,68
609,22
610,111
611,869
612,481
613,53
614,15
615,8
616,70
617,35
618,11
619,152
620,51
621,95
622,237
623,301
624,48
625,111
626,154
627,35
628,278
629,167
630,102
631,32
632,17
633,120
634,313
635,251
636,37
637,149
638,28
639,28
640,10
641,376
642,26
643,33
644,33
645,782
646,351
647,551
648,242
649,102
650,37
651,120
652,514
653,263
654,88
655,1735
656,203
657,510
658,13
659,36
660,9
661,339
662,215
663,74
664,39
665,29
666,487
667,278
668,2449
669,57
670,1037
671,48
672,1157
673,316
674,191
675,200
676,77
677,398
678,127
679,54
680,100
681,471
682,331
683,67
684,51
685,34
686,24
687,1277
688,806
689,118
690,142
691,60
692,135
693,510
694,29
695,276
696,398
697,1668
698,54
699,7
700,72
701,2213
702,861
703,806
704,731
705,1117
706,71
707,38
708,457
709,12
710,50
711,11
712,67
713,148
714,57
715,96
716,15
717,93
718,7
719,28
720,132
721,192
722,13
723,9
724,7
725,1113
726,356
727,37
728,19
729,37
730,3294
731,864
732,429
733,2426
734,181
735,77
736,13
737,350
738,43
739,30
740,671
741,72
742,12
743,173
744,373
745,33
746,180
747,155
748,80
749,2253
750,305
751,68
752,495
753,51
754,20
755,711
756,69
757,225
758,19
759,34
760,146
761,12
762,12
763,499
764,1607
765,12
766,46
767,48
768,749
769,8
770,622
771,254
772,411
773,84
774,2495
775,1239
776,238
777,402
778,3055
779,262
780,52
781,22
782,77
783,22
784,12
785,113
786,74
787,13
788,84
789,23
790,5
791,22
792,86
793,14
794,36
795,414
796,281
797,2064
798,234
