학교명,학년,학생수,교사수
가경초등학교,1,54,2
가경초등학교,2,68,4
가경초등학교,3,38,2
가경초등학교,4,61,4
가경초등학교,5,61,3
가경초등학교,6,65,4
가고파초등학교,1,222,9
가고파초등학교,2,261,10
가고파초등학교,3,244,9
가고파초등학교,4,275,10
가고파초등학교,5,260,10
가고파초등학교,6,269,10
가곡초등학교,1,82,5
가곡초등학교,2,80,4
가곡초등학교,3,92,4
가곡초등학교,4,83,5
가곡초등학교,5,83,4
가곡초등학교,6,90,4
가남초등학교,1,290,16
가남초등학교,2,343,14
가남초등학교,3,285,12
가남초등학교,4,244,13
가남초등학교,5,329,16
가남초등학교,6,260,12
가납초등학교,1,57,3
가납초등학교,2,59,4
가납초등학교,3,51,2
가납초등학교,4,68,3
가납초등학교,5,79,4
가납초등학교,6,64,3
가내초등학교,1,192,7
가내초등학교,2,234,10
가내초등학교,3,213,8
가내초등학교,4,241,9
가내초등학교,5,255,9
가내초등학교,6,252,9
가능초등학교,1,137,5
가능초등학교,2,171,7
가능초등학교,3,160,7
가능초등학교,4,146,6
가능초등학교,5,193,7
가능초등학교,6,189,8
가덕초등학교,1,6,1
가덕초등학교,2,2,1
가덕초등학교,3,5,1
가덕초등학교,4,6,1
가덕초등학교,5,11,1
가덕초등학교,6,10,1
가동초등학교,1,149,6
가동초등학교,2,167,7
가동초등학교,3,202,8
가동초등학교,4,186,8
가동초등학교,5,190,8
가동초등학교,6,225,9
가득초등학교,1,103,6
가득초등학교,2,112,6
가득초등학교,3,102,5
가득초등학교,4,112,5
가득초등학교,5,124,5
가득초등학교,6,139,6
가락초등학교,1,113,7
가락초등학교,2,116,9
가락초등학교,3,118,6
가락초등학교,4,90,5
가락초등학교,5,127,6
가락초등학교,6,85,5
가람초등학교,1,128,7
가람초등학교,2,132,5
가람초등학교,3,151,8
가람초등학교,4,145,6
가람초등학교,5,160,7
가람초등학교,6,192,10
가림초등학교,1,83,3
가림초등학교,2,83,3
가림초등학교,3,86,4
가림초등학교,4,70,3
