월별,강력범죄,교통범죄,사이버범죄,지능범죄,마약범죄,경범죄
2003-01,1098,248,1109,918,728,860
2003-02,973,157,142,762,521,1215
2003-03,1291,370,927,481,920,265
2003-04,681,411,575,593,1252,1014
2003-05,766,1123,154,1044,332,842
2003-06,526,329,222,741,640,444
2003-07,646,469,555,1108,528,977
2003-08,805,510,1080,1063,634,896
2003-09,28,1101,209,38,1059,1012
2003-10,1163,168,946,326,608,1203
2003-11,661,764,1124,256,599,1227
2003-12,941,1188,708,909,1290,474
2004-01,577,482,162,728,276,90
2004-02,725,1112,1080,545,884,977
2004-03,582,223,109,282,1047,292
2004-04,862,902,165,429,1177,1230
2004-05,619,502,165,896,878,143
2004-06,628,279,502,483,1235,719
2004-07,340,189,1052,914,183,33
2004-08,643,291,498,639,622,1047
2004-09,1133,196,330,418,1268,1133
2004-10,518,1062,923,154,1249,824
2004-11,709,924,1032,1174,463,212
2004-12,433,882,773,34,90,232
2005-01,702,382,669,1271,464,897
2005-02,987,397,426,76,856,962
2005-03,490,558,655,1085,266,681
2005-04,68,735,1065,235,1173,122
2005-05,1069,986,575,604,1206,845
2005-06,1248,37,1150,1015,801,57
2005-07,488,923,1288,679,248,99
2005-08,404,752,1090,891,457,303
2005-09,113,753,464,805,242,179
2005-10,700,1268,914,92,1124,429
2005-11,727,719,670,337,845,1225
2005-12,219,158,1204,1200,478,694
2006-01,471,1267,253,1085,703,630
2006-02,195,1293,797,637,745,1088
2006-03,892,151,136,337,187,1168
2006-04,453,1245,579,988,596,539
2006-05,730,156,518,967,994,639
2006-06,1074,163,488,451,537,389
2006-07,980,740,436,650,1080,895
2006-08,819,637,1290,850,430,184
2006-09,709,978,614,552,56,1038
2006-10,351,1164,619,423,555,884
2006-11,1101,1187,623,83,665,243
2006-12,1120,1213,330,467,794,1201
2007-01,489,262,578,918,694,869
2007-02,378,771,769,863,375,118
2007-03,49,1149,1181,1195,1152,631
2007-04,225,816,350,783,226,106
2007-05,1201,634,861,808,341,553
2007-06,410,902,753,1205,1055,238
2007-07,947,332,512,230,1012,125
2007-08,524,370,527,1135,728,807
2007-09,245,930,1014,1274,501,1271
2007-10,531,109,113,356,216,392
2007-11,557,702,1011,141,1134,927
2007-12,808,681,577,747,831,827
2008-01,532,285,756,920,1031,373
2008-02,1173,181,957,1195,463,745
2008-03,717,756,1177,670,775,430
2008-04,535,1065,984,914,658,902
2008-05,55,325,603,386,734,514
2008-06,800,166,346,797,899,680
2008-07,959,849,1167,857,365,369
2008-08,519,921,927,1195,157,969
2008-09,300,624,805,971,928,17
2008-10,564,137,1104,1199,175,55
2008-11,735,1075,391,135,1267,232
2008-12,514,309,210,530,20,818
2009-01,886,347,552,704,1114,1067
2009-02,952,187,1046,848,976,835
2009-03,1264,690,1002,415,347,467
2009-04,1001,1089,407,76,671,945
2009-05,170,1076,809,42,1220,359
2009-06,969,1182,84,916,480,197
2009-07,941,729,1139,192,555,1187
2009-08,274,108,1153,1059,1011,415
2009-09,234,31,65,135,751,390
2009-10,186,760,960,355,796,1236
2009-11,425,808,1034,160,851,357
2009-12,1031,227,1266,618,284,384
2010-01,1146,181,697,286,888,613
2010-02,1267,253,1119,980,513,27
2010-03,689,1063,941,910,514,1059
2010-04,875,546,209,976,1155,1183
2010-05,664,390,857,593,186,1229
2010-06,1126,565,788,788,259,276
2010-07,175,145,131,884,1215,601
2010-08,442,267,127,105,745,764
2010-09,678,260,1038,282,129,1075
2010-10,226,424,993,1198,1035,258
2010-11,126,307,41,880,1068,1216
2010-12,79,941,786,1037,946,377
2011-01,157,394,877,237,165,290
2011-02,936,59,304,81,262,1082
2011-03,371,384,951,70,813,373
2011-04,46,659,206,404,1288,154
2011-05,1164,425,810,74,1133,991
2011-06,757,943,811,198,109,958
2011-07,827,352,822,289,517,1077
2011-08,1147,1029,145,278,1161,397
2011-09,1255,418,1111,1186,1283,430
2011-10,1203,1140,558,1132,212,82
2011-11,723,36,119,1076,44,51
2011-12,197,868,591,909,1053,811
2012-01,889,712,134,765,1280,830
2012-02,471,888,699,168,686,564
2012-03,941,1020,916,558,971,795
2012-04,90,1098,866,561,793,450
2012-05,863,775,496,880,754,694
2012-06,580,446,191,231,289,563
2012-07,462,1126,800,1036,1079,110
2012-08,1038,102,1075,921,31,986
2012-09,485,505,1164,284,177,367
2012-10,140,251,45,683,20,1149
2012-11,1087,1197,824,950,722,1038
2012-12,387,192,555,702,748,778
2013-01,418,543,699,185,744,1174
2013-02,401,90,524,164,108,768
2013-03,1224,754,650,1101,97,1270
2013-04,1105,1091,38,424,581,617
2013-05,789,1211,1048,1173,458,164
2013-06,230,479,1247,1042,892,827
2013-07,130,922,671,1188,492,577
2013-08,942,923,458,766,341,15
2013-09,227,270,85,320,468,1114
2013-10,843,1293,567,528,578,952
2013-11,1026,878,712,335,855,616
2013-12,1063,976,1068,536,400,707
2014-01,1166,26,1096,905,734,1173
2014-02,1075,401,339,854,18,476
2014-03,1121,1224,1068,487,20,1272
2014-04,335,1197,955,472,863,313
2014-05,1212,470,487,462,1089,722
2014-06,975,358,1065,1016,250,220
2014-07,407,267,1182,222,443,1044
2014-08,1054,767,99,333,809,56
2014-09,495,68,1269,204,118,1263
2014-10,1202,152,486,245,896,1162
2014-11,614,1080,267,629,108,297
2014-12,1101,127,1251,839,869,320
2015-01,23,22,1140,1171,87,226
2015-02,183,406,177,1027,200,450
2015-03,119,34,1104,522,1051,33
2015-04,1016,393,994,278,567,975
2015-05,925,1114,55,1193,759,98
2015-06,1071,953,1271,1027,1257,405
2015-07,730,179,257,920,193,736
2015-08,857,977,506,1062,757,368
2015-09,556,1096,331,42,648,1069
2015-10,262,362,1237,936,1002,1105
2015-11,563,329,1134,515,790,848
2015-12,844,432,768,169,1129,832
2016-01,529,984,44,753,1113,449
2016-02,1287,733,892,87,935,198
2016-03,112,927,1004,54,511,876
2016-04,701,695,1279,979,1226,1225
2016-05,1133,168,269,679,1027,775
2016-06,39,974,370,799,969,266
2016-07,479,755,328,587,1028,676
2016-08,593,202,772,689,1186,1242
2016-09,533,917,1105,323,396,1012
2016-10,516,727,1126,875,794,408
2016-11,951,1253,1061,828,1286,646
2016-12,154,1043,15,336,362,247
2017-01,1193,48,1010,371,1242,187
2017-02,91,630,1256,861,161,1188
2017-03,844,496,724,275,802,1087
2017-04,103,22,873,1023,610,1070
2017-05,468,134,46,880,1034,840
2017-06,1064,903,468,881,662,764
2017-07,59,646,583,34,1293,672
2017-08,160,40,1134,757,251,759
2017-09,363,1276,1031,1132,42,372
2017-10,291,260,823,597,921,607
2017-11,660,149,1060,264,144,324
2017-12,509,887,977,1021,28,1003
2018-01,1143,134,551,250,484,1200
2018-02,513,669,228,1276,487,987
2018-03,356,1222,964,805,1232,1110
2018-04,1211,417,335,25,422,110
2018-05,1263,152,805,256,1091,888
2018-06,886,900,1004,755,860,1014
2018-07,812,507,837,767,46,1001
2018-08,504,417,923,606,92,188
2018-09,439,1224,963,1116,989,711
2018-10,982,608,735,731,979,129
2018-11,40,962,594,292,443,308
2018-12,1103,346,631,167,414,782
2019-01,1210,252,709,302,440,856
2019-02,96,935,384,68,20,752
2019-03,172,860,473,955,1235,836
2019-04,105,367,740,226,87,642
2019-05,1179,581,228,1038,728,345
2019-06,252,999,75,954,846,297
2019-07,612,1185,1216,1147,584,461
2019-08,321,57,541,717,378,1146
2019-09,1288,939,535,1082,1253,116
2019-10,880,328,274,580,510,311
2019-11,289,763,101,977,287,1129
2019-12,446,224,156,1226,148,905
2020-01,973,1092,1167,487,145,1053
2020-02,593,299,65,993,433,1224
2020-03,767,753,944,173,1042,141
2020-04,869,664,1208,125,965,373
2020-05,824,279,1131,799,1161,151
2020-06,74,948,403,732,896,653
2020-07,1088,412,1118,973,544,185
2020-08,1098,901,397,619,993,654
2020-09,1018,1225,217,35,155,421
2020-10,1211,1245,211,835,1189,176
2020-11,1094,172,1287,795,1002,957
2020-12,635,32,878,38,1216,47
2021-01,163,1197,336,966,365,187
2021-02,742,617,1292,624,1095,77
2021-03,603,885,1099,828,296,468
2021-04,517,539,874,960,415,475
2021-05,176,446,1258,1030,230,401
2021-06,1270,1137,501,227,1194,520
2021-07,554,563,603,517,835,311
2021-08,1265,845,1105,569,1138,86
2021-09,959,93,1072,1267,1180,52
2021-10,638,432,878,860,28,1180
2021-11,491,591,943,646,1002,1267
2021-12,393,1183,545,309,321,1275
2022-01,420,543,860,192,1067,447
2022-02,779,349,412,973,1152,1256
2022-03,374,932,549,525,517,1035
2022-04,189,1282,989,485,13,429
2022-05,437,862,96,450,814,1019
2022-06,656,62,101,723,519,665
2022-07,818,860,531,1289,866,697
2022-08,1194,464,335,1065,393,97
2022-09,747,1196,294,1270,961,72
2022-10,251,1285,542,675,555,831
2022-11,369,674,84,528,676,793
2022-12,730,771,502,555,1140,905
