main_topic,sub_topic,problem_id,student_id,correct
data science,data visualization,160,74,0
physics,quantum physics,90,48,0
mathematics,calculus,31,49,0
computer science,computer networks,32,85,0
mathematics,linear algebra,200,31,0
physics,thermodynamics,125,52,0
computer science,data structures,3,63,0
computer science,database systems,129,90,0
computer science,database systems,76,21,1
computer science,database systems,29,40,1
mathematics,calculus,88,49,0
physics,mechanics,55,17,1
computer science,database systems,164,45,1
data science,deep learning,122,54,1
mathematics,linear algebra,181,29,0
data science,big data analytics,46,15,1
physics,quantum physics,140,48,0
data science,data visualization,82,28,1
mathematics,calculus,97,16,0
computer science,database systems,122,27,1
computer science,computer networks,111,35,0
physics,electromagnetism,183,57,0
mathematics,calculus,125,40,1
data science,machine learning,176,61,1
computer science,algorithms,64,5,1
physics,quantum physics,51,87,1
data science,data preprocessing,57,2,0
physics,quantum physics,13,63,0
data science,deep learning,165,51,1
computer science,data structures,20,20,0
mathematics,calculus,35,6,0
computer science,data structures,71,95,1
data science,deep learning,190,12,1
mathematics,statistics,41,3,0
computer science,data structures,180,48,1
computer science,computer networks,157,48,1
data science,data visualization,10,63,1
mathematics,statistics,149,85,0
mathematics,statistics,33,85,0
data science,data visualization,115,79,0
mathematics,statistics,169,9,1
data science,big data analytics,46,85,1
computer science,data structures,48,81,1
mathematics,statistics,6,18,0
mathematics,statistics,7,4,0
computer science,operating systems,131,49,0
computer science,database systems,134,1,1
computer science,computer networks,79,91,1
data science,data preprocessing,16,17,1
physics,electromagnetism,11,44,0
computer science,data structures,81,36,1
computer science,algorithms,141,44,0
data science,machine learning,168,87,1
computer science,algorithms,116,11,0
data science,machine learning,117,96,1
data science,machine learning,117,15,1
data science,data preprocessing,191,70,1
computer science,data structures,171,15,0
computer science,algorithms,30,14,0
physics,electromagnetism,159,55,0
computer science,algorithms,100,20,0
mathematics,discrete mathematics,200,26,1
data science,data visualization,63,21,0
computer science,operating systems,158,31,0
physics,mechanics,36,6,1
physics,thermodynamics,73,14,1
physics,electromagnetism,139,56,0
computer science,data structures,35,16,1
computer science,database systems,156,92,0
mathematics,geometry,159,35,0
data science,data visualization,143,69,1
computer science,data structures,88,43,0
computer science,operating systems,37,57,0
data science,data visualization,84,77,1
physics,quantum physics,53,10,0
data science,data visualization,138,69,1
mathematics,geometry,179,34,0
data science,big data analytics,58,32,0
mathematics,discrete mathematics,44,67,0
physics,mechanics,150,40,1
computer science,algorithms,80,16,1
computer science,algorithms,200,90,0
computer science,algorithms,201,91,1
computer science,algorithms,202,92,1
physics,thermodynamics,38,6,0
mathematics,geometry,155,50,1
data science,data visualization,152,92,0
mathematics,discrete mathematics,174,78,0
mathematics,statistics,30,83,0
physics,mechanics,19,4,1
data science,data preprocessing,165,88,0
data science,deep learning,101,63,0
computer science,data structures,91,30,0
mathematics,linear algebra,42,9,1
computer science,operating systems,134,80,0
computer science,algorithms,89,88,0
data science,big data analytics,77,87,1
data science,data preprocessing,69,81,0
computer science,data structures,6,3,0
computer science,database systems,123,52,1
computer science,database systems,83,55,1
mathematics,linear algebra,69,77,1
computer science,operating systems,149,57,0
physics,electromagnetism,170,20,0
physics,thermodynamics,75,32,0
data science,machine learning,104,64,0
computer science,database systems,138,85,0
mathematics,statistics,10,62,0
mathematics,calculus,86,17,1
physics,electromagnetism,145,41,0
physics,electromagnetism,22,81,1
physics,quantum physics,175,95,1
physics,quantum physics,125,67,1
mathematics,calculus,150,54,0
data science,data visualization,43,85,0
computer science,database systems,71,4,1
physics,thermodynamics,51,45,0
mathematics,calculus,103,100,1
mathematics,statistics,26,2,1
data science,deep learning,109,43,1
mathematics,linear algebra,141,55,1
physics,quantum physics,28,61,0
data science,big data analytics,83,78,0
computer science,operating systems,142,28,0
physics,thermodynamics,132,51,0
mathematics,statistics,112,6,1
physics,optics,138,82,0
computer science,operating systems,136,90,1
computer science,data structures,91,50,1
physics,mechanics,133,76,1
computer science,data structures,131,63,0
data science,data visualization,13,21,1
physics,optics,117,39,1
mathematics,discrete mathematics,117,20,1
physics,mechanics,59,3,0
data science,data preprocessing,33,30,0
computer science,data structures,23,60,1
computer science,algorithms,176,91,0
physics,thermodynamics,110,53,1
physics,optics,158,64,1
physics,electromagnetism,170,91,1
data science,data visualization,94,42,0
data science,machine learning,161,71,1
mathematics,geometry,37,78,1
data science,data visualization,94,100,1
data science,data preprocessing,137,93,1
physics,mechanics,191,23,0
data science,data visualization,65,46,1
data science,big data analytics,85,65,1
data science,machine learning,197,35,0
mathematics,statistics,169,38,0
data science,data preprocessing,72,47,1
computer science,data structures,24,59,1
mathematics,geometry,129,46,0
physics,thermodynamics,70,9,0
physics,thermodynamics,38,38,0
physics,mechanics,8,53,0
physics,optics,183,95,1
mathematics,statistics,183,5,1
mathematics,linear algebra,159,15,0
physics,optics,133,80,1
physics,optics,83,54,1
data science,data visualization,72,8,0
physics,quantum physics,190,74,1
physics,thermodynamics,113,59,1
computer science,data structures,154,51,0
data science,machine learning,170,39,0
data science,machine learning,190,99,0
mathematics,calculus,44,74,1
data science,deep learning,109,27,0
physics,electromagnetism,175,41,0
mathematics,linear algebra,138,83,0
data science,big data analytics,70,78,1
computer science,data structures,184,49,0
computer science,database systems,61,20,1
data science,big data analytics,34,61,0
data science,data preprocessing,22,95,1
physics,electromagnetism,100,56,1
computer science,computer networks,47,9,0
computer science,database systems,20,20,0
data science,data visualization,125,60,0
physics,electromagnetism,196,99,1
computer science,database systems,81,74,1
computer science,computer networks,70,77,0
data science,data visualization,180,30,1
data science,machine learning,137,64,1
computer science,database systems,22,43,0
physics,thermodynamics,2,37,0
physics,quantum physics,48,42,0
physics,optics,193,91,0
computer science,database systems,157,38,0
computer science,data structures,168,69,0
data science,big data analytics,49,49,0
computer science,data structures,112,11,1
mathematics,statistics,18,90,0
computer science,operating systems,142,57,1
computer science,computer networks,185,10,1
data science,data visualization,191,67,0
physics,thermodynamics,190,48,0
mathematics,calculus,60,17,1
physics,quantum physics,47,8,1
computer science,database systems,116,28,1
mathematics,calculus,162,46,0
physics,electromagnetism,74,25,1
physics,quantum physics,152,54,1
physics,thermodynamics,175,93,0
physics,thermodynamics,18,17,1
mathematics,statistics,16,77,0
data science,data preprocessing,117,98,1
data science,data visualization,78,96,0
physics,mechanics,82,42,0
mathematics,discrete mathematics,67,59,1
mathematics,linear algebra,136,24,0
data science,data preprocessing,75,23,1
physics,thermodynamics,125,79,0
physics,optics,40,79,1
data science,deep learning,151,40,1
data science,big data analytics,145,39,0
mathematics,calculus,150,3,0
physics,optics,53,26,1
mathematics,linear algebra,165,74,1
mathematics,geometry,53,80,1
data science,data preprocessing,32,20,0
computer science,data structures,100,47,1
data science,deep learning,115,57,1
mathematics,calculus,167,38,0
computer science,algorithms,158,32,0
computer science,database systems,122,48,1
physics,electromagnetism,19,52,0
mathematics,linear algebra,111,51,0
physics,optics,91,5,1
computer science,computer networks,25,46,1
physics,optics,61,13,1
physics,mechanics,91,56,1
mathematics,linear algebra,106,33,1
physics,electromagnetism,193,22,1
computer science,data structures,48,30,1
computer science,operating systems,176,77,1
mathematics,statistics,20,88,1
computer science,database systems,102,62,1
mathematics,calculus,70,99,1
data science,data preprocessing,141,25,0
mathematics,linear algebra,61,4,0
computer science,database systems,191,17,0
physics,optics,99,64,1
computer science,operating systems,148,36,1
physics,electromagnetism,3,42,0
physics,thermodynamics,135,37,0
physics,mechanics,6,8,0
