order_date,category,item,price
2024.12.24 21:30:17,Beauty,Watch,15543
2025.10.02 23:41:01,Food,Smartphone,290785
2025.08.04 04:00:50,Toys,Console,713611
2025.03.15 23:43:28,Electronics,Console,522530
2025.10.06 16:35:18,Sports,Watch,340133
2024.05.01 18:55:32,Sports,Watch,429072
2024.04.15 23:00:41,Sports,Snack,303978
2025.05.03 19:42:22,Food,Smartphone,89007
2024.08.21 15:39:05,Clothing,Laptop,918834
2025.01.06 06:56:25,Sports,Console,330051
2025.12.10 21:08:26,Toys,Table,206453
2024.02.22 21:14:41,Home,Smartphone,80244
2025.06.05 02:11:57,Beauty,TV,789323
2025.11.18 02:47:40,Food,Table,209459
2024.02.03 00:56:27,Coffee,Mocha,699048
2025.02.18 13:55:42,Electronics,TV,978316
2025.08.06 07:11:46,Electronics,TV,317062
2025.01.27 00:46:44,Beauty,Watch,716910
2025.08.01 03:59:17,Home,Novel,400101
2024.10.14 12:30:00,Clothing,Bicycle,161735
2025.12.24 00:26:58,Coffee,Mocha,404324
2024.04.05 00:36:57,Food,Camera,704600
2024.10.14 05:44:34,Food,TV,249298
2024.11.29 00:06:07,Coffee,Mocha,304487
2025.12.09 14:46:22,Electronics,Perfume,826846
2024.02.27 23:37:43,Clothing,Table,445916
2024.07.03 05:38:07,Toys,Camera,289231
2024.08.29 16:43:00,Clothing,Sneakers,141161
2024.10.17 08:39:25,Toys,Watch,864889
2024.10.07 12:14:14,Electronics,Sneakers,425489
2024.09.25 13:20:19,Clothing,Console,815690
2024.04.25 09:08:27,Beauty,Headphones,849513
2024.01.25 05:43:05,Sports,Novel,73614
2024.09.08 18:01:58,Electronics,Table,663864
2025.08.26 22:08:10,Sports,Table,518004
2024.08.31 12:37:35,Toys,Perfume,204840
2025.08.01 21:19:45,Coffee,Cold Brew,950172
2025.06.19 08:16:49,Food,Table,931006
2025.01.03 14:28:32,Food,Laptop,50056
2025.05.06 00:49:39,Electronics,Laptop,390072
2025.03.15 11:41:08,Home,Camera,83715
2025.08.20 23:39:00,Sports,Novel,724061
2024.02.23 08:18:48,Electronics,Console,621450
2024.06.15 23:06:16,Clothing,Smartphone,820352
2024.06.04 13:28:02,Sports,Smartphone,871626
2024.12.25 21:48:09,Toys,Perfume,738922
2025.11.05 16:44:00,Sports,Headphones,468742
2025.03.04 04:33:48,Sports,Novel,31207
2024.12.25 22:49:21,Coffee,Mocha,894214
2024.11.13 10:30:19,Food,Perfume,497453
2024.12.30 07:24:07,Electronics,TV,648487
2025.03.15 13:56:50,Clothing,Smartphone,490979
2025.02.03 07:30:29,Clothing,Console,969560
2024.03.25 04:34:10,Clothing,Novel,380782
2025.04.23 00:49:42,Food,Perfume,353717
2025.05.31 20:31:14,Electronics,Smartphone,984441
2024.03.28 20:19:25,Food,Sneakers,694797
