building_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,meter_reading
578,Lodging/residential,71994,2004.0,4.0,12.2,2.0,7.2,0.0,1008.9,280.0,46.5833
603,Public services,29063,2004.0,3.0,14.4,2.0,12.2,0.0,1012.5,310.0,37.9
591,Entertainment/public assembly,59326,1932.0,1.0,12.8,0.0,10.0,0.0,1016.7,50.0,16.2489
592,Education,120694,2012.0,7.0,6.7,2.0,-0.6,0.0,1026.2,140.0,374.4
605,Education,51020,1924.0,5.0,11.7,4.0,6.7,0.0,1017.3,130.0,31.6225
610,Entertainment/public assembly,30160,1958.0,4.0,21.1,2.0,13.9,0.0,1016.1,300.0,50.75
611,Education,128126,1966.0,7.0,14.4,0.0,12.2,0.0,1015.0,330.0,532.225
637,Education,4189,1929.0,3.0,14.4,0.0,12.2,0.0,1011.1,330.0,0.32
575,Technology/science,33167,1963.0,4.0,12.8,2.0,10.0,0.0,1011.6,310.0,45.625
638,Education,7900,1923.0,4.0,9.4,2.0,5.0,0.0,1010.3,280.0,1.625
601,Entertainment/public assembly,11910,1903.0,2.0,17.2,2.0,12.8,0.0,1017.1,260.0,41.484
632,Education,41297,1959.0,6.0,22.8,2.0,10.6,0.0,1019.8,270.0,56.25
595,Education,270413,1971.0,14.0,22.8,2.0,11.1,0.0,1013.0,290.0,214.294
579,Education,7781,1910.0,4.0,14.4,2.0,12.2,0.0,1015.7,300.0,0.6779999999999999
617,Education,182943,1963.0,11.0,12.2,2.0,7.2,0.0,1008.7,280.0,731.798
621,Parking,387,1955.0,1.0,35.0,0.0,7.8,0.0,1013.8,300.0,21.433000000000003
625,Education,55516,1978.0,5.0,11.7,2.0,3.3,0.0,1022.8,0.0,53.575
605,Education,51020,1924.0,5.0,20.6,4.0,11.1,0.0,1019.0,260.0,15.06
614,Lodging/residential,185200,1930.0,8.0,18.3,0.0,10.0,0.0,1016.0,290.0,211.0
589,Education,305268,1952.0,8.0,21.1,2.0,13.3,0.0,1014.9,300.0,148.912
612,Education,77055,1917.0,4.0,18.3,4.0,9.4,0.0,1017.3,290.0,80.53
598,Public services,68701,1930.0,4.0,15.0,2.0,13.3,0.0,1016.7,330.0,40.46
618,Education,148032,1924.0,5.0,17.8,0.0,12.2,0.0,1012.3,270.0,191.4
595,Education,270413,1971.0,14.0,25.0,0.0,15.0,0.0,1019.0,270.0,176.395
591,Entertainment/public assembly,59326,1932.0,1.0,8.3,0.0,5.6,0.0,1019.2,30.0,23.5022
567,Entertainment/public assembly,82670,2016.0,4.0,8.9,2.0,7.8,0.0,1023.6,110.0,136.939
620,Education,220703,2011.0,9.0,17.8,2.0,7.2,0.0,1017.4,240.0,1180.3
584,Education,137806,1967.0,8.0,14.4,2.0,11.1,0.0,1013.2,320.0,279.712
611,Education,128126,1966.0,7.0,6.7,2.0,2.8,0.0,1020.5,50.0,429.225
565,Education,15326,1954.0,2.0,9.4,4.0,6.7,0.0,1016.6,0.0,8.25
646,Education,58733,1923.0,6.0,11.1,0.0,8.3,0.0,1026.9,0.0,36.125
571,Education,47954,1980.0,3.0,13.3,2.0,5.0,0.0,1013.5,280.0,23.75
579,Education,7781,1910.0,4.0,10.0,0.0,1.7,0.0,1017.4,100.0,1.2641
637,Education,4189,1929.0,3.0,16.1,2.0,1.1,0.0,1025.2,50.0,0.1525
588,Education,21866,1911.0,4.0,16.1,4.0,11.1,0.0,1011.4,330.0,46.45
611,Education,128126,1966.0,7.0,21.7,2.0,10.6,0.0,1012.9,0.0,608.45
617,Education,182943,1963.0,11.0,15.6,2.0,12.8,0.0,1012.5,290.0,675.975
632,Education,41297,1959.0,6.0,18.9,2.0,11.1,0.0,1013.0,300.0,59.75
584,Education,137806,1967.0,8.0,15.0,4.0,10.6,0.0,1015.2,170.0,231.552
648,Education,154706,2009.0,11.0,14.4,0.0,11.1,0.0,1015.0,0.0,1197.0
598,Public services,68701,1930.0,4.0,10.6,2.0,-1.7,0.0,1024.7,270.0,40.28
632,Education,41297,1959.0,6.0,7.8,4.0,6.7,0.0,1023.9,30.0,75.75
653,Education,420885,1930.0,8.0,17.2,2.0,12.8,0.0,1013.6,290.0,1037.91
587,Technology/science,53234,1942.0,5.0,18.3,2.0,11.1,0.0,1017.5,270.0,96.5
612,Education,77055,1917.0,4.0,13.9,4.0,10.0,0.0,1021.8,0.0,79.0767
578,Lodging/residential,71994,2004.0,4.0,21.7,2.0,13.3,0.0,1014.4,300.0,50.6263
570,Education,193202,1964.0,10.0,16.1,2.0,11.7,0.0,1012.3,250.0,209.088
578,Lodging/residential,71994,2004.0,4.0,10.0,2.0,8.9,0.0,1020.5,40.0,43.119
640,Entertainment/public assembly,36180,1966.0,9.0,15.0,4.0,11.1,0.0,1020.8,270.0,170.25
615,Education,153700,1990.0,7.0,17.2,2.0,13.3,0.0,1009.6,310.0,733.132
585,Public services,132394,1949.0,7.0,20.6,2.0,14.4,0.0,1012.0,310.0,199.0
603,Public services,29063,2004.0,3.0,8.9,2.0,-0.6,0.0,1025.5,40.0,10.8
566,Education,2010,1957.0,1.0,15.6,2.0,12.2,0.0,1013.0,0.0,0.277
655,Education,222434,1964.0,11.0,18.9,2.0,13.3,0.0,1015.3,260.0,142.901
623,Education,49388,1931.0,6.0,16.1,0.0,10.0,0.0,1013.1,300.0,15.5
625,Education,55516,1978.0,5.0,13.9,0.0,9.4,0.0,1022.2,0.0,203.322
622,Education,123612,1961.0,7.0,19.4,2.0,12.8,0.0,1018.7,230.0,248.975
637,Education,4189,1929.0,3.0,20.6,0.0,13.3,0.0,1020.4,230.0,0.1375
644,Entertainment/public assembly,261091,1923.0,3.0,20.0,2.0,13.3,0.0,1011.5,290.0,370.491
613,Entertainment/public assembly,1305,1995.0,1.0,9.4,0.0,3.3,0.0,1018.2,40.0,0.755
574,Education,56343,1905.0,4.0,17.8,2.0,11.7,0.0,1011.6,280.0,16.8735
608,Entertainment/public assembly,124197,1927.0,3.0,9.4,2.0,7.2,0.0,1018.7,0.0,84.75
612,Education,77055,1917.0,4.0,10.0,4.0,8.3,0.0,1024.1,0.0,106.372
595,Education,270413,1971.0,14.0,15.0,2.0,11.1,0.0,1013.1,0.0,281.853
576,Education,86465,2014.0,7.0,7.2,2.0,5.6,0.0,1029.3,0.0,136.0
589,Education,305268,1952.0,8.0,15.6,0.0,11.1,0.0,1015.3,0.0,123.773
566,Education,2010,1957.0,1.0,12.2,2.0,7.8,0.0,1019.9,290.0,0.4370000000000001
572,Education,94175,1964.0,9.0,12.2,4.0,7.8,0.0,1015.0,300.0,283.85
654,Education,43910,1912.0,5.0,8.9,2.0,7.2,0.0,1026.0,0.0,62.7038
566,Education,2010,1957.0,1.0,12.2,4.0,10.0,0.0,1018.9,0.0,0.409
608,Entertainment/public assembly,124197,1927.0,3.0,18.9,2.0,16.1,0.0,1016.6,0.0,62.0
584,Education,137806,1967.0,8.0,15.6,2.0,12.8,0.0,1011.6,300.0,81.2
646,Education,58733,1923.0,6.0,15.0,2.0,11.1,0.0,1012.3,300.0,23.7
592,Education,120694,2012.0,7.0,15.6,4.0,13.9,0.0,1014.0,310.0,403.2
600,Education,44182,1917.0,5.0,18.9,2.0,13.3,0.0,1010.3,250.0,60.25
639,Education,14524,1964.0,2.0,20.0,0.0,7.2,0.0,1018.8,300.0,4.7497
603,Public services,29063,2004.0,3.0,23.3,0.0,10.0,0.0,1012.6,290.0,27.9
585,Public services,132394,1949.0,7.0,15.0,2.0,7.8,0.0,1020.3,270.0,182.5
623,Education,49388,1931.0,6.0,20.6,2.0,12.8,0.0,1015.3,310.0,15.75
641,Education,109588,1994.0,8.0,6.7,0.0,4.4,0.0,1020.9,0.0,375.582
611,Education,128126,1966.0,7.0,10.0,2.0,-0.6,0.0,1026.4,0.0,486.15
