attrition,age,monthly_income,overtime
1,44,6679,0
1,38,6109,0
1,46,5071,0
0,55,4223,0
1,37,5837,2
1,37,5472,2
1,55,6074,0
1,47,5762,2
1,35,6259,1
0,45,4357,0
1,35,6580,0
0,35,5237,1
1,42,7490,1
0,20,4172,1
1,22,7083,0
0,34,5237,0
0,29,4218,0
0,43,4419,0
0,30,4615,0
0,25,5508,0
0,54,5627,2
1,37,4311,2
0,40,4970,0
1,25,7570,2
1,34,7073,0
0,41,5523,0
1,28,5045,0
0,43,5144,1
1,33,5736,2
0,37,3772,1
1,33,4691,0
0,58,2997,1
1,39,5479,0
0,29,5776,2
0,48,4420,1
1,27,6888,0
0,42,3529,1
0,20,3242,1
0,26,5269,0
1,41,6256,1
1,47,7020,0
0,41,4449,1
0,38,6294,2
0,36,4953,2
0,25,4792,1
1,32,6060,1
1,35,5782,0
0,50,3108,1
1,43,6771,0
1,22,6656,0
0,43,4249,0
0,36,5474,0
1,33,5592,1
1,46,5312,0
0,50,4339,1
0,49,4194,0
0,31,4969,0
1,36,6407,1
0,43,5652,0
0,49,4555,0
0,35,5926,1
0,38,1581,0
1,28,6378,2
0,28,2912,0
0,48,4565,0
0,53,3656,1
0,39,3446,0
1,50,6392,0
0,43,4438,0
0,33,5415,0
1,43,4943,2
1,55,5572,0
1,39,5092,1
0,55,3460,2
1,13,6195,0
1,48,4407,2
0,40,3132,0
0,37,4486,2
1,40,6800,0
0,20,6020,1
1,37,4581,0
0,43,4580,0
1,54,4614,1
1,34,7492,1
1,31,5458,0
1,34,5516,0
1,49,6236,1
0,43,5286,1
1,34,4689,2
0,45,4764,1
0,40,4914,2
0,49,4955,1
1,32,5873,0
1,36,5062,0
1,36,5879,1
0,25,4903,1
1,42,5094,0
0,42,2602,0
1,40,6099,2
1,37,5415,1
1,25,6197,0
1,35,1524,0
1,36,7506,0
0,31,4832,0
0,38,6329,0
0,44,3752,0
1,58,5735,1
0,41,3735,0
0,42,4251,2
1,39,7296,2
0,20,4771,0
1,39,5260,1
1,40,6044,0
1,64,5594,2
0,38,5180,0
1,43,5437,1
1,39,7884,1
0,28,4930,0
1,51,5241,0
1,47,6260,1
1,47,6326,1
1,30,6424,0
1,54,5766,1
0,25,3628,0
1,45,6960,1
0,61,3624,0
0,30,5363,2
0,34,4094,0
0,40,4923,0
1,34,5394,0
0,24,5385,0
1,40,5506,1
1,29,6936,0
1,44,5544,2
1,30,4707,0
1,55,6156,0
1,32,6427,0
0,36,3526,0
0,48,5716,0
1,27,5841,0
0,42,4642,0
1,53,6650,0
1,23,4819,1
0,41,5150,1
1,42,4792,0
0,47,5018,0
0,27,3684,2
0,26,3271,1
0,45,6913,1
0,42,3983,0
1,42,3810,1
0,43,2415,1
0,33,4233,1
0,42,3412,2
1,42,6970,0
0,32,6211,0
1,58,4174,1
1,44,7702,2
1,28,6178,0
0,46,4610,0
0,30,2000,0
1,47,7749,0
0,51,3332,1
0,31,3025,1
1,49,6227,0
1,44,7927,0
0,48,6661,0
1,58,5676,0
1,37,5713,1
1,32,6024,2
1,31,5910,2
1,31,5337,0
0,39,5125,2
1,43,4924,1
1,42,4095,1
0,48,4663,0
0,40,2968,0
1,54,4881,0
0,37,3813,0
0,67,3675,0
0,46,5215,0
1,31,6670,0
1,29,6101,1
