price,area,height,wall
1109,89,2,0
1064,77,2,0
1096,92,2,1
1288,110,2,0
1132,75,2,1
1093,75,3,0
1378,111,3,0
1199,95,2,0
1069,70,3,0
1117,90,3,0
973,70,2,1
870,70,2,0
1166,84,2,0
881,41,2,0
807,45,3,1
983,68,2,0
894,59,2,0
1133,86,1,0
1005,61,3,0
787,51,2,0
1300,109,3,1
1030,75,3,0
1093,81,3,0
895,51,2,0
981,69,1,1
1085,82,3,0
907,56,3,0
1179,87,3,0
1012,67,3,0
1043,74,2,0
929,67,3,0
1312,117,2,0
1119,79,3,0
930,58,3,0
1225,96,3,0
999,55,4,0
1157,84,3,1
804,40,2,1
863,53,2,1
970,83,2,1
1168,94,2,1
1081,83,2,1
1077,77,2,0
1025,73,3,1
849,50,2,0
888,65,3,0
963,70,3,1
1246,101,2,0
1208,86,2,0
823,44,3,1
1138,86,3,0
1066,72,2,0
938,66,2,1
1178,92,2,1
1178,100,2,0
1246,98,2,0
963,63,2,0
1048,73,3,1
1082,86,3,0
1247,99,3,0
1114,70,3,0
998,76,2,0
904,57,3,1
918,56,2,0
1228,96,3,1
1235,107,2,0
917,78,1,1
1283,100,2,1
1167,87,3,0
899,67,3,0
1097,87,3,0
1371,110,3,1
1142,79,3,0
1341,111,3,1
697,27,2,1
1193,96,2,1
1082,81,3,1
1092,74,3,0
1043,81,2,0
755,40,2,0
1094,75,3,1
1124,87,3,1
1347,109,2,1
963,69,1,0
957,63,2,0
955,69,2,1
1202,98,2,0
1046,86,2,0
975,69,2,1
1078,90,3,0
1124,81,3,0
1247,99,3,0
891,65,3,0
1092,73,2,1
1147,72,3,0
872,50,2,0
1086,85,3,0
1250,85,2,1
1005,80,2,0
1045,75,3,0
886,51,3,0
1081,71,2,0
1042,73,2,0
940,63,3,1
1001,76,2,1
1118,88,3,0
1286,117,2,0
1103,83,3,1
1082,85,2,0
991,78,3,1
867,41,2,0
1045,79,2,1
1020,81,3,1
1408,129,2,1
1053,76,3,1
1028,86,2,0
1086,79,2,1
856,56,2,0
1314,102,1,0
1205,95,2,1
1171,95,4,1
912,61,3,1
1266,108,2,0
908,51,2,1
1155,91,3,1
1372,123,3,0
936,60,2,0
968,68,3,0
1073,81,3,0
902,69,3,1
907,48,3,1
1099,81,3,1
889,58,3,1
1237,89,3,0
949,61,2,1
1238,110,2,0
1008,64,3,1
1053,73,3,0
1205,96,2,1
877,55,2,0
1129,84,3,0
1245,106,3,1
878,47,3,0
1006,83,3,1
1089,85,2,0
1274,95,3,1
859,55,2,0
857,53,2,0
1125,90,2,0
1051,85,2,0
999,85,2,0
1116,86,3,0
986,66,3,0
1105,84,3,0
1105,85,2,0
975,65,2,1
1386,117,2,0
1131,89,2,0
882,56,3,1
1154,93,3,0
964,60,2,1
1256,95,3,0
1207,103,3,0
967,63,3,0
1230,99,3,1
1080,88,2,1
1189,96,2,0
1264,117,2,0
951,75,2,1
988,64,3,0
933,62,3,0
970,63,2,1
1062,78,2,1
1074,86,3,0
1109,85,2,1
1134,96,4,1
1142,80,2,0
1211,109,3,0
1033,74,4,0
1403,134,3,1
1190,92,2,1
937,62,2,0
898,58,2,1
1188,89,3,0
1039,75,1,0
1204,94,3,0
1088,89,2,0
993,78,2,1
960,63,2,0
848,49,3,1
1039,71,2,0
1192,97,3,0
1120,84,4,1
816,55,2,0
1194,83,3,0
1119,87,2,0
987,62,3,1
1054,83,3,0
1096,81,2,0
851,57,3,0
1152,87,3,0
1135,91,2,1
1229,101,3,0
1254,101,2,0
818,52,2,0
910,61,3,0
1173,90,3,1
1252,90,3,0
1139,90,2,1
1643,157,2,0
1146,91,2,0
1332,102,3,1
1123,99,3,0
1169,93,2,1
948,73,2,1
1056,95,3,0
980,64,2,0
1048,75,2,1
998,70,4,0
1080,81,2,0
1553,126,2,0
799,42,2,0
1198,93,3,1
816,47,2,0
1022,70,2,0
1218,101,3,1
1067,81,3,0
1013,58,2,0
1029,65,2,1
1179,93,3,0
855,65,2,1
1089,84,3,1
1211,80,2,0
974,66,3,0
1427,122,2,0
1237,92,3,0
802,39,3,1
1056,83,2,1
859,66,2,0
1230,97,3,1
923,64,3,1
1069,77,3,1
1088,90,3,0
1179,97,2,0
912,55,3,0
1041,73,3,1
950,70,2,0
1040,66,2,0
1291,115,2,0
1050,88,3,0
892,54,2,0
1208,98,3,1
1376,122,2,0
1287,100,2,0
847,49,2,0
1002,70,3,0
1199,105,3,0
1015,65,2,0
1139,88,1,0
1162,95,3,0
851,61,3,0
1139,78,3,0
562,15,3,1
899,59,2,1
1059,74,3,0
843,55,3,0
1224,112,2,1
769,51,3,0
1048,71,2,1
1065,82,2,1
1424,108,3,0
823,51,2,0
1190,103,2,1
1048,80,3,0
947,60,2,0
1113,89,2,0
1135,83,3,0
939,67,2,1
1017,81,3,1
932,72,3,1
975,82,2,0
1140,93,2,0
1284,111,3,0
867,55,2,0
1434,122,2,0
864,40,3,1
1038,76,3,1
1067,91,2,0
1084,85,2,1
961,67,3,0
1017,75,3,0
973,70,3,1
960,68,3,0
1172,96,2,1
1091,87,2,1
989,66,3,0
1220,97,3,1
1075,86,3,0
1253,96,3,0
1110,92,2,0
880,63,3,0
1013,68,2,1
1137,94,2,0
1177,92,3,1
956,79,3,0
1168,82,4,0
1289,105,3,1
916,68,2,0
1078,90,3,0
1132,75,3,0
1006,75,2,0
1191,101,3,0
1077,96,3,1
1172,96,3,0
1248,106,3,0
1114,80,3,1
1102,93,3,0
954,73,2,1
1141,86,2,0
1104,77,2,0
1011,81,3,1
1214,91,3,0
963,63,3,1
1426,121,3,0
930,59,2,0
780,55,3,0
1226,103,2,0
1237,95,2,1
1119,92,3,0
1145,92,3,1
1063,79,2,1
804,62,2,0
1165,81,2,0
934,66,2,1
1239,99,3,1
1051,77,3,0
1023,63,3,0
1050,73,3,0
1121,88,3,1
949,68,2,0
1001,63,3,1
1016,84,3,0
1142,84,3,0
947,69,2,0
1066,70,1,0
1118,84,3,0
903,51,2,0
879,51,2,0
888,65,3,0
1001,75,2,0
1154,86,3,1
1291,109,3,0
1255,97,3,0
1069,76,2,0
1027,79,3,1
895,59,3,0
1076,79,2,1
919,74,3,1
1199,86,2,1
982,63,3,0
1206,90,2,1
1207,110,2,0
1118,77,2,0
1245,88,3,1
1104,93,2,0
1061,71,3,1
1105,84,2,0
995,80,2,1
1110,81,2,0
1011,64,3,0
1047,80,2,0
1201,89,2,1
1195,109,3,0
1135,99,3,0
1386,123,3,0
972,64,3,1
1160,97,2,0
1137,83,2,0
1407,123,2,0
1005,63,3,0
948,63,2,0
1018,68,2,0
756,37,3,1
1103,69,2,0
928,64,3,0
1199,83,2,0
1124,86,2,1
1266,117,2,1
1278,99,3,1
1003,68,3,0
987,62,2,0
1202,89,2,0
903,53,2,0
1300,116,2,0
1288,103,2,1
1005,70,2,1
867,45,2,1
1154,107,2,0
1081,77,3,1
1216,104,3,0
932,48,2,0
1022,68,3,1
1086,80,2,0
1105,80,2,0
966,70,3,0
1246,92,3,1
1021,58,2,1
1076,77,3,0
1173,82,3,1
1115,90,2,0
1136,94,3,0
923,57,3,1
879,49,2,1
1231,105,2,1
1150,86,3,0
986,65,3,1
1243,111,3,1
1117,82,3,1
1284,103,3,0
1089,81,2,1
1423,121,3,0
1262,115,3,0
1062,75,2,0
1152,99,2,0
1105,92,2,0
1236,107,3,1
894,60,3,0
1143,93,2,1
1215,101,3,0
869,44,2,0
894,56,3,0
707,39,2,0
1094,74,2,0
1133,94,2,0
1282,110,3,0
1106,81,2,0
1312,112,2,0
938,52,3,0
859,45,2,0
1020,78,2,1
1242,87,3,1
1083,79,3,1
774,38,2,0
1112,78,3,1
903,53,2,1
1189,93,3,1
1251,87,3,0
929,61,2,1
985,69,2,1
930,58,2,0
1117,78,2,1
1131,99,2,0
838,60,2,0
1114,90,2,0
920,69,3,1
