Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,1650.0,1824.9,2018.3394,2232.283376,2468.905414,2730.609388,3020.053983,3340.179706,3694.238754,4085.828062,4518.925837,4997.931976,5527.712765,6113.650318,6761.697252,7478.437161,8271.1515,9147.893559,10117.570276,11190.032725,12376.176194
United States,5300.0,5220.0,5140.0,5060.0,4980.0,4900.0,4820.0,4740.0,4660.0,4580.0,4500.0,4420.0,4340.0,4260.0,4180.0,4100.0,4020.0,3940.0,3860.0,3780.0,3700.0
India,1197.25,943.31,1219.62,1292.76,1253.88,1279.6,1329.67,1355.39,1330.67,1327.68,991.43,1356.8,1379.54,1369.11,1390.11,1436.01,1468.52,1488.18,1480.27,1470.63,1523.83
Russia,217.72,232.43,239.23,243.55,248.34,250.96,261.7,264.08,272.79,285.81,284.82,293.78,306.29,319.66,337.8,336.79,340.29,355.69,372.24,376.18,394.49
Japan,805.03,793.4,807.85,822.15,832.5,827.19,848.83,869.66,876.85,883.01,904.77,891.07,925.83,939.01,925.0,961.67,979.48,996.64,972.17,984.47,1028.76
Germany,821.58,862.03,883.56,891.26,929.21,949.61,962.72,1012.1,1019.78,1074.84,1100.97,1098.83,1121.96,1180.01,1199.3,1218.95,1257.31,1274.39,1300.83,1339.47,1369.49
Brazil,1302.99,1606.88,1531.12,1623.04,1693.05,1665.73,1665.66,1755.31,1784.05,1744.78,1815.61,1923.09,1889.07,1951.02,1979.27,2017.66,1503.39,2100.61,2084.64,2116.05,2144.15
Canada,240.19,249.98,264.22,265.64,275.72,290.57,300.08,308.69,320.67,332.43,355.73,352.31,366.81,385.14,389.12,425.58,423.76,445.74,449.58,479.96,493.52
United Kingdom,1450.48,1509.35,1572.7,1628.3,1683.64,1767.31,894.29,1862.13,883.07,2043.85,983.18,2182.34,2222.45,2392.3,2427.2,2535.45,2613.72,2729.68,2795.78,2932.54,3090.91
Australia,1452.45,1519.7,1492.35,1473.38,1526.28,1531.04,1570.99,1505.31,1291.4,1567.29,1610.63,1647.32,1237.68,1681.62,1689.71,1750.51,1717.9,1706.53,1791.17,1780.88,1873.68
South Korea,130.31,130.35,132.13,133.52,131.38,131.11,138.2,134.46,133.99,134.52,135.05,132.17,132.59,138.5,137.56,136.1,137.52,140.23,139.85,141.93,143.08
France,439.27,440.99,445.46,478.51,496.76,533.7,521.45,553.65,579.16,589.72,615.37,647.41,666.02,711.24,725.12,749.99,790.24,821.34,836.72,866.5,922.01
Italy,709.75,695.85,700.63,730.03,738.4,706.25,698.64,725.74,705.17,718.11,721.13,713.17,713.02,737.51,729.37,749.7,773.2,739.82,769.16,742.46,755.66
Mexico,950.73,1012.16,994.19,1035.94,1047.11,1084.52,1112.87,1157.23,1137.73,1191.94,1201.02,1220.11,1256.33,1292.63,1334.95,1333.52,1396.06,1416.97,1420.59,1456.74,1517.34
Indonesia,389.68,412.4,388.33,414.84,428.89,422.47,422.84,434.17,444.13,445.78,458.34,464.42,459.85,469.33,470.63,475.67,474.94,494.8,496.93,509.2,522.3
