datetime,temperature,illumination,noise,co2,humidity,pm25
2021-01-01 00:00:00,23.47,570.24,54.4,659.64,50.13,17.49
2021-01-01 06:00:00,26.790000000000006,705.49,,894.82,43.67,28.23
2021-01-01 12:00:00,,418.79,55.95,817.48,54.74,8.28
2021-01-01 18:00:00,26.66,491.49,52.34,840.68,44.49,14.9
2021-01-02 00:00:00,23.57,276.34,51.36,700.51,42.35,13.01
2021-01-02 06:00:00,24.85,448.93,29.96,620.24,42.85,19.29
2021-01-02 12:00:00,,549.46,47.34,680.42,48.07,23.48
2021-01-02 18:00:00,22.12,626.74,42.02,,37.35,17.59
2021-01-03 00:00:00,25.77,522.03,,881.19,44.36,11.06
2021-01-03 06:00:00,25.37,524.81,55.34,565.98,38.19,19.09
2021-01-03 12:00:00,24.0,453.12,36.86,796.74,33.75,14.36
2021-01-03 18:00:00,26.16,,47.22,602.0,46.37,
2021-01-04 00:00:00,23.51,412.96,43.95,564.61,,19.77
2021-01-04 06:00:00,23.72,477.58,42.46,699.35,48.1,30.98
2021-01-04 12:00:00,24.23,404.34,51.9,818.98,49.94,18.39
2021-01-04 18:00:00,25.51,652.86,46.54,731.01,44.16,15.21
2021-01-05 00:00:00,25.94,579.98,33.17,724.91,32.99,18.2
2021-01-05 06:00:00,,734.81,54.99,838.39,47.0,15.46
2021-01-05 12:00:00,26.739999999999995,525.05,38.35,779.56,,12.82
2021-01-05 18:00:00,26.51,570.07,46.67,,44.09,27.4
2021-01-06 00:00:00,25.91,577.75,30.07,604.82,47.56,18.43
2021-01-06 06:00:00,26.84,527.27,45.37,,50.4,14.32
2021-01-06 12:00:00,23.55,656.83,44.66,554.89,53.98,12.69
2021-01-06 18:00:00,24.66,356.68,61.03,826.48,61.28,14.82
2021-01-07 00:00:00,23.87,460.11,47.13,1015.78,52.05,11.76
2021-01-07 06:00:00,26.09,610.88,46.39,716.18,50.78,15.12
2021-01-07 12:00:00,26.88000000000001,297.6,43.39,598.76,35.82,22.41
2021-01-07 18:00:00,26.450000000000006,493.0,,680.32,51.9,8.12
2021-01-08 00:00:00,25.08,408.7,37.39,492.9,43.97,15.45
2021-01-08 06:00:00,25.399999999999995,,37.16,565.92,45.34,26.55
2021-01-08 12:00:00,24.3,473.5,60.28,745.96,56.72,22.08
2021-01-08 18:00:00,,576.14,45.11,816.15,47.78,23.29
2021-01-09 00:00:00,25.34,398.85,74.04,,48.33,18.99
2021-01-09 06:00:00,24.57,468.37,55.0,740.36,28.24,13.37
2021-01-09 12:00:00,25.27,411.33,56.33,803.92,57.8,22.13
2021-01-09 18:00:00,22.94,415.67,32.39,904.57,38.52,17.11
2021-01-10 00:00:00,25.290000000000006,631.28,43.26,814.3,43.25,20.88
2021-01-10 06:00:00,26.399999999999995,391.29,41.76,797.35,35.11,18.26
2021-01-10 12:00:00,24.71,544.37,38.56,599.78,46.6,22.4
2021-01-10 18:00:00,27.36,557.51,62.03,462.35,40.94,11.59
2021-01-11 00:00:00,,606.74,43.5,787.46,43.61,16.4
2021-01-11 06:00:00,24.37,421.51,48.08,517.95,43.65,21.26
2021-01-11 12:00:00,23.46,,46.53,909.21,43.92,13.0
2021-01-11 18:00:00,23.649999999999995,794.15,43.92,723.84,51.49,11.67
2021-01-12 00:00:00,24.63000000000001,599.79,53.93,623.5,39.4,15.11
2021-01-12 06:00:00,25.739999999999995,537.6,47.53,599.66,29.55,17.13
2021-01-12 12:00:00,24.47,467.46,55.05,660.55,48.94,13.98
2021-01-12 18:00:00,24.43,427.71,39.58,782.81,49.26,13.81
2021-01-13 00:00:00,22.97,371.02,40.43,785.99,38.08,12.47
2021-01-13 06:00:00,23.91,605.7,66.11,,48.05,18.35
2021-01-13 12:00:00,23.98,676.05,47.95,791.84,48.52,12.66
2021-01-13 18:00:00,24.59,305.0,54.61,,37.27,25.6
2021-01-14 00:00:00,27.26,398.14,52.29,840.06,42.99,33.72
2021-01-14 06:00:00,29.399999999999995,568.53,42.84,924.19,37.45,21.49
2021-01-14 12:00:00,,571.11,,895.3,38.02,25.96
2021-01-14 18:00:00,25.47,389.69,48.72,607.51,41.62,15.64
2021-01-15 00:00:00,,692.93,51.23,738.75,36.55,4.81
2021-01-15 06:00:00,23.82,488.97,59.08,718.85,52.35,17.64
2021-01-15 12:00:00,23.19,649.9,48.26,894.23,38.79,25.32
2021-01-15 18:00:00,24.399999999999995,505.38,51.37,921.21,60.47,24.42
2021-01-16 00:00:00,23.46,620.56,44.14,925.41,,18.13
2021-01-16 06:00:00,26.989999999999995,596.84,55.13,836.27,44.42,9.89
2021-01-16 12:00:00,22.02,529.69,48.96,686.25,48.08,11.05
2021-01-16 18:00:00,23.94,473.14,34.66,645.24,40.57,13.76
2021-01-17 00:00:00,21.17,383.44,53.87,877.35,39.43,13.27
2021-01-17 06:00:00,26.96,598.18,54.93,805.13,48.72,12.17
2021-01-17 12:00:00,,515.78,38.93,948.2,54.83,18.18
2021-01-17 18:00:00,24.84,583.7,34.42,877.42,50.13,21.84
2021-01-18 00:00:00,25.12,412.55,60.68,687.83,38.79,16.49
2021-01-18 06:00:00,26.85,649.51,45.06,807.42,46.87,17.63
