order_no,cus_id,product,quantity,price,status
T123923,U1035,Speaker,2,44.75,complete
T959552,U1042,Notebook,1,87.84,paid
T470334,U1009,Notebook,4,16.4,paid
T419666,U1033,Keyboard,1,90.07,paid
T614800,U1025,Headset,1,73.24,complete
T862270,U1047,Chair,2,90.58,shipped
T615575,U1019,Headset,2,43.61,complete
T577671,U1013,Chair,1,59.18,paid
T990132,U1035,Desk,3,66.21,shipped
T476398,U1057,Chair,3,85.34,complete
C123601,U1027,Tablet,2,67.4,cancelled
C951647,U1044,Tablet,3,18.78,cancelled
T682737,U1031,Keyboard,3,54.15,paid
C161898,U1000,Chair,3,24.3,cancelled
C956950,U1044,Notebook,3,51.87,cancelled
C210073,U1009,Monitor,2,76.11,cancelled
C584810,U1027,Chair,3,24.79,cancelled
T471319,U1042,Tablet,3,92.41,paid
T494539,U1031,Keyboard,2,61.3,paid
C909896,U1017,Chair,2,38.54,cancelled
T663992,U1012,Keyboard,3,68.94,paid
T755191,U1014,Tablet,4,6.47,shipped
T422146,U1059,Headset,2,9.69,complete
T335736,U1055,Webcam,2,32.57,complete
T751007,U1012,Keyboard,3,88.82,complete
T577177,U1059,Notebook,2,17.12,shipped
T563155,U1004,Keyboard,3,80.36,shipped
T179432,U1038,Chair,4,19.3,shipped
T653172,U1069,Monitor,4,56.91,paid
T479761,U1055,Headset,4,42.52,shipped
T108404,U1024,Notebook,2,48.75,paid
T596157,U1062,Notebook,1,51.13,paid
T595397,U1057,Chair,3,12.55,paid
T113098,U1056,Speaker,2,87.06,shipped
T288344,U1041,Webcam,3,76.08,shipped
C698167,U1034,Speaker,1,81.44,cancelled
T724541,U1051,Desk,3,10.0,shipped
C147081,U1005,Keyboard,1,90.91,cancelled
C493074,U1028,Webcam,3,27.63,cancelled
T743502,U1054,Monitor,4,46.78,shipped
T496116,U1040,Mouse,3,55.8,paid
T464035,U1044,Webcam,2,93.58,complete
T123437,U1066,Monitor,1,86.96,paid
C624941,U1041,Speaker,1,12.14,cancelled
T570758,U1050,Headset,4,94.77,shipped
C745005,U1002,Speaker,2,73.35,cancelled
T290432,U1056,Desk,2,36.45,shipped
T513332,U1039,Tablet,1,46.53,complete
T671714,U1031,Headset,2,55.15,shipped
T394496,U1011,Mouse,1,36.36,complete
T949969,U1049,Mouse,3,59.9,shipped
T580708,U1040,Tablet,2,58.69,paid
C956666,U1020,Chair,4,6.75,cancelled
T622295,U1052,Tablet,1,36.35,paid
T244548,U1027,Webcam,1,90.89,paid
T138577,U1012,Speaker,4,35.07,paid
T225875,U1044,Desk,1,27.04,complete
T417541,U1041,Speaker,2,27.51,complete
T977851,U1069,Headset,3,27.91,complete
T779503,U1019,Tablet,1,59.7,paid
T158139,U1065,Keyboard,4,18.64,paid
T893904,U1042,Webcam,4,47.17,complete
C919898,U1053,Desk,1,38.07,cancelled
T880966,U1047,Keyboard,1,68.93,complete
T448826,U1069,Speaker,4,21.68,complete
T645832,U1015,Notebook,4,77.29,shipped
T176392,U1020,Webcam,4,48.1,shipped
T536625,U1011,Keyboard,4,24.82,complete
T621591,U1033,Speaker,4,78.24,paid
T566832,U1045,Chair,3,28.45,shipped
T631932,U1062,Speaker,2,12.75,shipped
C475655,U1046,Monitor,4,32.49,cancelled
T996554,U1060,Headset,2,51.02,shipped
C909063,U1003,Tablet,1,62.99,cancelled
T542623,U1055,Chair,3,26.18,shipped
T256878,U1042,Speaker,4,85.98,paid
