인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20010713,1,20211130,"서울특별시 은평구 대조동 179-8 1,2층",파리바게뜨(역촌역점),제과점영업,은평구,대조동
20030507,1,20211130,서울특별시 은평구 갈현동 508-4번지 1층,파리바게뜨,제과점영업,은평구,갈현동
20021011,1,20211130,서울특별시 은평구 녹번동 278-1번지 (108호),신라명과(역촌현대점),제과점영업,은평구,녹번동
20011015,1,20211130,서울특별시 은평구 불광동 631-1번지 (지하1층)대호상가아파트,브르망,제과점영업,은평구,불광동
20050406,1,20211130,서울특별시 중랑구 중화동 288-27,케잌하우스밀레,제과점영업,중랑구,중화동
20050412,1,20211130,서울특별시 중랑구 신내동 802번지,뚜레쥬르,제과점영업,중랑구,신내동
20060417,1,20211130,서울특별시 중랑구 망우동 458-1번지,파리바게뜨(우림시장점),제과점영업,중랑구,망우동
20060822,1,20211130,서울특별시 중랑구 면목동 611-5번지,뚜레쥬르사가정역점,제과점영업,중랑구,면목동
20060822,1,20211130,서울특별시 중랑구 신내동 645,몽블랑제(신내점),제과점영업,중랑구,신내동
20061122,1,20211130,서울특별시 중랑구 망우동 209-27번지,파리바게뜨,제과점영업,중랑구,망우동
20070115,1,20211130,서울특별시 중랑구 면목동 1529 경남아너스빌 109동 101호,파리바게뜨 용마산역점,제과점영업,중랑구,면목동
20070124,1,20211130,서울특별시 중랑구 중화동 303-1,파리바게뜨 중화역점,제과점영업,중랑구,중화동
20070305,1,20211130,서울특별시 중랑구 면목동 103-11번지,델리카리,제과점영업,중랑구,면목동
20070305,1,20211130,서울특별시 중랑구 면목동 634-19번지,파리바게뜨 사가정점,제과점영업,중랑구,면목동
20070416,1,20211130,서울특별시 중랑구 면목동 379-1번지,뚜레쥬르용마산역점,제과점영업,중랑구,면목동
20070528,1,20211130,서울특별시 중랑구 면목동 114-1번지,빵나라,제과점영업,중랑구,면목동
20070720,1,20211130,서울특별시 중랑구 면목동 184-52번지,케익하우스 쥬떼므,제과점영업,중랑구,면목동
20080418,1,20211130,서울특별시 중랑구 묵동 175-7번지,던킨도너츠 먹골점,제과점영업,중랑구,묵동
20080516,1,20211130,서울특별시 중랑구 면목동 102-19,파리바게뜨 면목역점,제과점영업,중랑구,면목동
19950630,1,20211130,서울특별시 성북구 장위동 68-88,빵이가득한집,제과점영업,성북구,장위동
