인허가일자,상태코드,폐업일자,사업장명,구명,동명,설립년도,폐업년도,영업기간,영업일수
20010713,1,20211130,파리바게뜨(역촌역점),은평구,대조동,2001,2021,21,7445
20030507,1,20211130,파리바게뜨,은평구,갈현동,2003,2021,19,6782
20021011,1,20211130,신라명과(역촌현대점),은평구,녹번동,2002,2021,20,6990
20011015,1,20211130,브르망,은평구,불광동,2001,2021,21,7351
20050406,1,20211130,케잌하우스밀레,중랑구,중화동,2005,2021,17,6082
20050412,1,20211130,뚜레쥬르,중랑구,신내동,2005,2021,17,6076
20060417,1,20211130,파리바게뜨(우림시장점),중랑구,망우동,2006,2021,16,5706
20060822,1,20211130,뚜레쥬르사가정역점,중랑구,면목동,2006,2021,16,5579
20060822,1,20211130,몽블랑제(신내점),중랑구,신내동,2006,2021,16,5579
20061122,1,20211130,파리바게뜨,중랑구,망우동,2006,2021,16,5487
20070115,1,20211130,파리바게뜨 용마산역점,중랑구,면목동,2007,2021,15,5433
20070124,1,20211130,파리바게뜨 중화역점,중랑구,중화동,2007,2021,15,5424
20070305,1,20211130,델리카리,중랑구,면목동,2007,2021,15,5384
20070305,1,20211130,파리바게뜨 사가정점,중랑구,면목동,2007,2021,15,5384
20070416,1,20211130,뚜레쥬르용마산역점,중랑구,면목동,2007,2021,15,5342
20070528,1,20211130,빵나라,중랑구,면목동,2007,2021,15,5300
20070720,1,20211130,케익하우스 쥬떼므,중랑구,면목동,2007,2021,15,5247
20080418,1,20211130,던킨도너츠 먹골점,중랑구,묵동,2008,2021,14,4974
20080516,1,20211130,파리바게뜨 면목역점,중랑구,면목동,2008,2021,14,4946
19950630,1,20211130,빵이가득한집,성북구,장위동,1995,2021,27,9650
20080707,1,20211130,빵이가득한집,중랑구,면목동,2008,2021,14,4894
20080807,1,20211130,파리바게뜨면목중앙점,중랑구,면목동,2008,2021,14,4863
20081202,1,20211130,몽블랑제 면목점,중랑구,면목동,2008,2021,14,4746
20090223,1,20211130,우림베이커리,중랑구,망우동,2009,2021,13,4663
20090326,1,20211130,따끈따끈방이야기,중랑구,면목동,2009,2021,13,4632
19961011,1,20211130,파리바게뜨종암점,성북구,종암동,1996,2021,26,9181
19970918,1,20211130,파리바게트,성북구,석관동,1997,2021,25,8839
19940114,1,20211130,상제리아베이커리,성북구,장위동,1994,2021,28,10182
20130412,1,20211130,투썸플레이스엔타워점,용산구,용산동2가,2013,2021,9,3154
20181019,1,20211130,외계인방앗간 문정점,송파구,문정동,2018,2021,4,1138
20181113,1,20211130,앨리스 베이커리 카페,양천구,목동,2018,2021,4,1113
20190107,1,20211130,스위트 팔레트 케이크(sweet palette cake),은평구,대조동,2019,2021,3,1058
20181129,1,20211130,그리리,강동구,천호동,2018,2021,4,1097
20181102,1,20211130,도담도담식빵 고덕점,강동구,고덕동,2018,2021,4,1124
20181102,1,20211130,태극당 District C점,중구,을지로1가,2018,2021,4,1124
20181129,1,20211130,유한회사 마미갸또금천,금천구,독산동,2018,2021,4,1097
20181227,1,20211130,리블리롱제과,송파구,잠실동,2018,2021,4,1069
20181227,1,20211130,빚은 오금역점,송파구,가락동,2018,2021,4,1069
20160223,1,20211130,정수제빵소,중랑구,묵동,2016,2021,6,2107
20181105,1,20211130,어썸 도넛 서울,마포구,합정동,2018,2021,4,1121
20181108,1,20211130,포레포레,강동구,고덕동,2018,2021,4,1118
20190107,1,20211130,판이판 베이커리,서초구,우면동,2019,2021,3,1058
20181122,1,20211130,나폴레옹과자점,광진구,자양동,2018,2021,4,1104
20190122,1,20211130,홍미당,강남구,대치동,2019,2021,3,1043
20190122,1,20211130,브레드82(Bread82),은평구,역촌동,2019,2021,3,1043
20190129,1,20211130,밀포레이트,송파구,송파동,2019,2021,3,1036
20190117,1,20211130,브레댄코 신도림역점,구로구,신도림동,2019,2021,3,1048
20190122,1,20211130,연재스토리즈,관악구,남현동,2019,2021,3,1043
20190122,1,20211130,서라당,관악구,신림동,2019,2021,3,1043
20190111,1,20211130,미미가미미(米米加味美),마포구,성산동,2019,2021,3,1054
20190121,1,20211130,파리바게뜨(당산포스빌),영등포구,당산동5가,2019,2021,3,1044
20190121,1,20211130,몽쥬 빠티세리(Monge patisserie),성동구,하왕십리동,2019,2021,3,1044
20190123,1,20211130,뚜레쥬르 카페강남대로점,강남구,논현동,2019,2021,3,1042
20190220,1,20211130,모찌모찌브레드,강남구,역삼동,2019,2021,3,1014
20190211,1,20211130,파리크라상 서울대병원점,종로구,연건동,2019,2021,3,1023
20190125,1,20211130,수고한 나에게,은평구,신사동,2019,2021,3,1040
20190214,1,20211130,르솔레이,서대문구,연희동,2019,2021,3,1020
20190211,1,20211130,파이앤브라우니,마포구,창전동,2019,2021,3,1023
20190308,1,20211130,(주)신세계푸드 트레이더스월계점,노원구,월계동,2019,2021,3,998
20190308,1,20211130,롤링핀 신대방삼거리역점,동작구,대방동,2019,2021,3,998
20190219,1,20211130,프롬프랑(fromfranc),마포구,상암동,2019,2021,3,1015
20171010,1,20211130,"그럼,",송파구,잠실동,2017,2021,5,1512
20190219,1,20211130,좋은 아침 pastry,송파구,신천동,2019,2021,3,1015
20190130,1,20211130,서울연인,마포구,동교동,2019,2021,3,1035
20190321,1,20211130,(주)파리크라상 파리바게뜨 은평성모병원점,은평구,진관동,2019,2021,3,985
20190319,1,20211130,온베이커리,광진구,중곡동,2019,2021,3,987
20190315,1,20211130,153도씨,강서구,마곡동,2019,2021,3,991
20190319,1,20211130,브리오슈도레 종로타워점,종로구,종로2가,2019,2021,3,987
20190319,1,20211130,브리오슈도레 그랑서울점,종로구,청진동,2019,2021,3,987
20190308,1,20211130,제이몬티,서초구,잠원동,2019,2021,3,998
20190130,1,20211130,뚜레쥬르 카페신촌점,서대문구,창천동,2019,2021,3,1035
20180314,1,20211130,다음에또봐,용산구,한강로2가,2018,2021,4,1357
20190314,1,20211130,기프트(Gift),동작구,흑석동,2019,2021,3,992
20190130,1,20211130,서울연인단팥빵,용산구,동자동,2019,2021,3,1035
20190130,1,20211130,슈가파티,강서구,마곡동,2019,2021,3,1035
20190130,1,20211130,던킨 서울대병원점,종로구,연건동,2019,2021,3,1035
20190128,1,20211130,해피데이,구로구,개봉동,2019,2021,3,1037
20190128,1,20211130,밀브레드(Mill Bread),광진구,구의동,2019,2021,3,1037
20190225,1,20211130,김태우 과자점,송파구,송파동,2019,2021,3,1009
20190201,1,20211130,뚜레쥬르 상계점,노원구,중계동,2019,2021,3,1033
20190228,1,20211130,글림,도봉구,창동,2019,2021,3,1006
20190201,1,20211130,바른 고로케,은평구,진관동,2019,2021,3,1033
20190228,1,20211130,마호가니 커피 연세대학교 공학관점,서대문구,신촌동,2019,2021,3,1006
20190201,1,20211130,파파스브로트,강남구,역삼동,2019,2021,3,1033
20190326,1,20211130,스몰오븐,강서구,내발산동,2019,2021,3,980
20190321,1,20211130,오흐뒤구떼(heure du gouter),마포구,서교동,2019,2021,3,985
20190322,1,20211130,(주)이지에프앤비,강남구,청담동,2019,2021,3,984
20190107,1,20211130,블랑제리가마,동작구,상도동,2019,2021,3,1058
20190326,1,20211130,크리스피크림영등포점,영등포구,영등포동,2019,2021,3,980
20190321,1,20211130,Seasonable bakery(시즈너블 베이커리),송파구,오금동,2019,2021,3,985
20190114,1,20211130,칸텐,노원구,공릉동,2019,2021,3,1051
20190320,1,20211130,하오나공방,영등포구,양평동4가,2019,2021,3,986
20190107,1,20211130,파리바게뜨 신대방역점,관악구,신림동,2019,2021,3,1058
20190322,1,20211130,쿠아레비 구산,은평구,구산동,2019,2021,3,984
20190322,1,20211130,뚜레쥬르 북아현진로마트점,서대문구,북아현동,2019,2021,3,984
20190107,1,20211130,(주)떡메가,중구,봉래동2가,2019,2021,3,1058
20190214,1,20211130,유한회사 카페노티드,강남구,압구정동,2019,2021,3,1020
20190221,1,20211130,우뺑,금천구,가산동,2019,2021,3,1013
20190108,1,20211130,카페 드 몽슈슈,강남구,역삼동,2019,2021,3,1057
20190213,1,20211130,도담도담식빵 상도점,동작구,상도동,2019,2021,3,1021
20180608,1,20211130,제로베이커리,송파구,방이동,2018,2021,4,1271
20190214,1,20211130,드엠(DeM),종로구,원남동,2019,2021,3,1020
20190325,1,20211130,"그래, 좋아",마포구,망원동,2019,2021,3,981
20190325,1,20211130,크리에잇쿠키,중구,태평로1가,2019,2021,3,981
20190222,1,20211130,영스데이(O`DAY),성동구,성수동2가,2019,2021,3,1012
19780714,1,20211130,그랜드하얏트서울델리,용산구,한남동,1978,2021,44,15845
20140324,1,20211130,라쁘띠메종,용산구,한강로2가,2014,2021,8,2808
20140610,1,20211130,(주)케르반레스토랑 베이커리,용산구,이태원동,2014,2021,8,2730
20140721,1,20211130,케르반베이커리,용산구,한남동,2014,2021,8,2689
