customerID,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,TechInsurance,ServiceSatisfactionScore,MonthlyBonusUsage,FamilyPlanSize
7590-VHVEG,0,Yes,1,No,No phone service,DSL,No,No,No,Month-to-month,Yes,29.85,0,0,3.25,79.0,1.0
5575-GNVDE,0,No,34,Yes,No,DSL,No,No,No,One year,No,56.95,0,1,2.93,61.0,5.0
3668-QPYBK,0,No,2,Yes,No,DSL,No,No,No,Month-to-month,Yes,53.85,1,0,3.3449999999999998,93.09,0.08499999999999999
7795-CFOCW,0,No,45,No,No phone service,DSL,Yes,No,No,One year,No,42.3,0,0,3.76,86.0,1.0
9237-HQITU,0,No,2,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,70.7,1,0,2.905,24.09,1.085
9305-CDSKC,0,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,99.65,1,1,2.905,98.09,3.085
1452-KIOVK,0,No,22,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,89.1,0,1,3.79,6.0,1.0
6713-OKOMC,0,No,10,No,No phone service,DSL,No,No,No,Month-to-month,No,29.75,0,0,3.38,37.0,0.0
7892-POOKP,0,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,104.8,1,0,2.795,37.09,2.085
6388-TABGU,0,No,62,Yes,No,DSL,No,No,No,One year,No,56.15,0,1,3.27,67.0,1.0
9763-GRSKD,0,Yes,13,Yes,No,DSL,No,No,No,Month-to-month,Yes,49.95,0,1,2.77,97.0,0.0
7469-LKBCI,0,No,16,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,18.95,0,1,2.77,41.0,2.0
8091-TTVAX,0,Yes,58,Yes,Yes,Fiber optic,No,Yes,Yes,One year,No,100.35,0,1,3.12,85.0,3.0
0280-XJGEX,0,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,103.7,1,1,2.065,5.090000000000001,2.085
5129-JLPIS,0,No,25,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,105.5,0,1,2.14,63.0,2.0
3655-SNQYZ,0,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,No,113.25,0,1,2.72,49.0,3.0
8191-XWSZG,0,No,52,Yes,No,No,No internet service,No internet service,No internet service,One year,No,20.65,0,0,2.49,86.0,1.0
9959-WOFKT,0,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,106.7,0,0,3.16,14.0,1.0
4190-MFLUW,0,Yes,10,Yes,No,DSL,Yes,No,No,Month-to-month,No,55.2,1,1,2.5749999999999997,95.09,5.085
