customerID,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,TechInsurance,ServiceSatisfactionScore,MonthlyBonusUsage,FamilyPlanSize
7590-VHVEG,0,Yes,1,0,No phone service,DSL,No,No,No,Month-to-month,Yes,29.85,0,0,3,79,1
5575-GNVDE,0,No,34,1,No,DSL,No,No,No,One year,No,56.95,0,1,3,61,5
3668-QPYBK,0,No,2,1,No,DSL,No,No,No,Month-to-month,Yes,53.85,1,0,3,93,0
7795-CFOCW,0,No,45,0,No phone service,DSL,Yes,No,No,One year,No,42.3,0,0,4,86,1
9237-HQITU,0,No,2,1,No,Fiber optic,No,No,No,Month-to-month,Yes,70.7,1,0,3,24,1
9305-CDSKC,0,No,8,1,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,99.65,1,1,3,98,3
1452-KIOVK,0,No,22,1,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,89.1,0,1,4,6,1
6713-OKOMC,0,No,10,0,No phone service,DSL,No,No,No,Month-to-month,No,29.75,0,0,3,37,0
7892-POOKP,0,Yes,28,1,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,104.8,1,0,3,37,2
6388-TABGU,0,No,62,1,No,DSL,No,No,No,One year,No,56.15,0,1,3,67,1
9763-GRSKD,0,Yes,13,1,No,DSL,No,No,No,Month-to-month,Yes,49.95,0,1,3,97,0
7469-LKBCI,0,No,16,1,No,No,No internet service,No internet service,No internet service,Two year,No,18.95,0,1,3,41,2
8091-TTVAX,0,Yes,58,1,Yes,Fiber optic,No,Yes,Yes,One year,No,100.35,0,1,3,85,3
0280-XJGEX,0,No,49,1,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,103.7,1,1,2,5,2
5129-JLPIS,0,No,25,1,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,105.5,0,1,2,63,2
3655-SNQYZ,0,Yes,69,1,Yes,Fiber optic,Yes,Yes,Yes,Two year,No,113.25,0,1,3,49,3
8191-XWSZG,0,No,52,1,No,No,No internet service,No internet service,No internet service,One year,No,20.65,0,0,2,86,1
9959-WOFKT,0,No,71,1,Yes,Fiber optic,No,Yes,Yes,Two year,No,106.7,0,0,3,14,1
4190-MFLUW,0,Yes,10,1,No,DSL,Yes,No,No,Month-to-month,No,55.2,1,1,3,95,5
4183-MYFRB,0,No,21,1,No,Fiber optic,No,No,Yes,Month-to-month,Yes,90.05,0,1,2,72,5
8779-QRDMV,1,No,1,0,No phone service,DSL,No,No,Yes,Month-to-month,Yes,39.65,1,0,4,53,1
1680-VDCWW,0,Yes,12,1,No,No,No internet service,No internet service,No internet service,One year,No,19.8,0,1,3,24,5
1066-JKSGK,0,No,1,1,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.15,1,1,3,89,2
3638-WEABW,0,Yes,58,1,Yes,DSL,Yes,No,No,Two year,Yes,59.9,0,0,2,84,1
6322-HRPFA,0,Yes,49,1,No,DSL,Yes,No,No,Month-to-month,No,59.6,0,1,3,8,1
6865-JZNKO,0,No,30,1,No,DSL,No,No,No,Month-to-month,Yes,55.3,0,1,3,37,3
6467-CHFZW,0,Yes,47,1,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,99.35,1,0,2,22,5
8665-UTDHZ,0,Yes,1,0,No phone service,DSL,No,No,No,Month-to-month,No,30.2,1,0,3,87,1
5248-YGIJN,0,Yes,72,1,Yes,DSL,Yes,Yes,Yes,Two year,Yes,90.25,0,0,3,48,2
8773-HHUOZ,0,No,17,1,No,DSL,No,Yes,Yes,Month-to-month,Yes,64.7,1,1,3,68,0
3841-NFECX,1,Yes,71,1,Yes,Fiber optic,Yes,No,No,Two year,Yes,96.35,0,0,3,92,4
4929-XIHVW,1,Yes,2,1,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,95.5,0,1,4,14,1
6827-IEAUQ,0,Yes,27,1,No,DSL,Yes,No,No,One year,No,66.15,0,1,3,64,0
7310-EGVHZ,0,No,1,1,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.2,0,1,2,53,1
3413-BMNZE,1,No,1,1,No,DSL,No,No,No,Month-to-month,No,45.25,0,1,3,29,4
6234-RAAPL,0,Yes,72,1,Yes,Fiber optic,Yes,Yes,No,Two year,No,99.9,0,0,2,92,3
6047-YHPVI,0,No,5,1,No,Fiber optic,No,No,No,Month-to-month,Yes,69.7,1,0,3,20,3
6572-ADKRS,0,No,46,1,No,Fiber optic,No,No,No,Month-to-month,Yes,74.8,0,1,2,32,1
5380-WJKOV,0,No,34,1,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,106.35,1,0,2,100,1
8168-UQWWF,0,No,11,1,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,97.85,1,1,3,86,3
8865-TNMNX,0,Yes,10,1,No,DSL,No,No,No,One year,No,49.55,0,0,3,76,3
9489-DEDVP,0,Yes,70,1,Yes,DSL,No,Yes,No,Two year,Yes,69.2,0,1,3,6,2
9867-JCZSP,0,Yes,17,1,No,No,No internet service,No internet service,No internet service,One year,No,20.75,0,1,3,7,2
4671-VJLCL,0,No,63,1,Yes,DSL,Yes,Yes,No,Two year,Yes,79.85,0,0,3,27,3
4080-IIARD,0,Yes,13,1,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,76.2,0,1,2,44,4
3714-NTNFO,0,No,49,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,84.5,0,1,3,72,3
5948-UJZLF,0,No,2,1,No,DSL,No,No,No,Month-to-month,No,49.25,0,0,3,88,2
