회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기
0,683,113,69.0,기타,강남점,19,3.894736842,0.527027027,17
1,21,21,3.0,스포츠,잠실점,2,1.5,0.0,1
2,32,16,,남성 캐주얼,관악점,2,2.0,0.0,1
3,161,49,,기타,광주점,18,2.444444444,0.318181818,16
4,291,240,,보석,본  점,2,1.5,0.0,85
5,114,96,5.0,디자이너,일산점,3,1.666666667,0.2,42
6,101,76,46.0,시티웨어,강남점,5,2.4,0.333333333,42
7,5146,271,295.0,명품,본  점,63,2.634920635,0.222891566,5
8,6882,1731,,기타,본  점,18,5.944444444,0.411214953,15
9,266,137,,농산물,대전점,1,12.0,0.0,0
10,2451,673,225.0,디자이너,부산본점,25,2.12,0.226415094,13
11,245,106,,화장품,본  점,3,2.0,0.833333333,89
12,29,25,,남성 캐주얼,분당점,2,1.0,0.0,16
13,1032,146,132.0,시티웨어,분당점,27,2.148148148,0.103448276,10
14,1236,225,78.0,농산물,본  점,84,3.714285714,0.320512821,4
15,8024,1235,871.0,기타,본  점,152,3.585526316,0.177981651,2
16,3596,737,,골프,본  점,26,2.230769231,0.362068966,13
17,1144,286,594.0,화장품,본  점,23,2.260869565,0.230769231,14
18,439,240,,구두,본  점,2,3.5,0.714285714,10
19,31,5,,농산물,일산점,2,9.5,0.0,11
20,529,97,,기타,잠실점,11,3.272727273,0.027777778,26
21,2085,203,15.0,농산물,부산본점,278,5.471223022,0.266272189,1
22,1282,172,186.0,농산물,잠실점,65,3.492307692,0.207048458,5
23,5,2,,농산물,분당점,1,6.0,0.0,0
24,525,122,31.0,가공식품,영등포점,15,2.666666667,0.2,9
25,6,6,,스포츠,본  점,1,1.0,0.0,0
26,3019,531,212.0,기타,본  점,53,2.79245283,0.493243243,6
27,2171,357,44.0,기타,분당점,82,10.25609756,0.416171225,4
28,1392,190,,기타,영등포점,23,2.47826087,0.736842105,15
29,22,6,,가공식품,잠실점,3,3.666666667,0.0,28
30,2009,128,,시티웨어,관악점,27,2.777777778,0.266666667,12
31,4,3,,가공식품,분당점,2,2.0,0.75,48
32,4804,464,48.0,기타,미아점,108,4.796296296,0.370656371,3
33,381,79,139.0,기타,강남점,15,2.866666667,0.046511628,4
34,193,159,159.0,수산품,잠실점,8,1.75,0.142857143,33
35,1906,203,822.0,기타,일산점,122,6.516393443,0.27672956,2
36,163,151,,시티웨어,분당점,2,2.0,1.0,24
37,1059,289,230.0,기타,대전점,13,2.846153846,0.108108108,24
38,99,58,,화장품,본  점,3,1.0,0.0,40
39,1899,297,207.0,디자이너,부산본점,31,1.548387097,0.270833333,11
40,6810,432,,화장품,본  점,41,3.341463415,0.656934307,8
41,105,98,,수산품,본  점,3,1.666666667,0.2,77
42,588,87,,디자이너,강남점,14,2.428571429,0.588235294,21
43,266,119,,가공식품,분당점,7,2.285714286,0.1875,32
44,881,278,3.0,아동,강남점,20,2.55,0.352941176,16
45,69,21,,기타,본  점,21,2.714285714,0.175438596,14
46,37,35,,차/커피,본  점,2,2.5,0.0,18
47,73,22,,가공식품,강남점,5,4.2,0.047619048,35
48,1151,125,121.0,기타,본  점,42,4.714285714,0.378787879,8
49,128,9,,농산물,관악점,18,6.444444444,0.370689655,13
50,353,81,,캐주얼,광주점,12,2.583333333,0.290322581,30
51,135,94,,스포츠,잠실점,3,1.0,0.333333333,76
52,139,41,,가공식품,본  점,25,2.8,0.585714286,12
53,42,42,,화장품,본  점,1,1.0,0.0,0
54,1573,371,90.0,농산물,청량리점,96,3.666666667,0.301136364,3
55,1259,540,,가공식품,안양점,23,2.913043478,0.28358209,15
56,1336,160,,기타,본  점,19,4.368421053,0.168674699,16
57,4380,485,284.0,시티웨어,잠실점,38,1.315789474,0.44,8
58,20,3,,가공식품,본  점,7,1.142857143,0.0,38
59,992,340,647.0,가공식품,잠실점,17,4.294117647,0.356164384,19
60,32,25,,차/커피,잠실점,2,2.5,0.0,85
61,11,21,11.0,섬유잡화,영등포점,2,1.0,0.5,1
62,22,22,,명품,본  점,1,1.0,0.0,0
63,4,2,,농산물,본  점,1,7.0,0.0,0
64,167,29,,농산물,분당점,12,3.916666667,0.276595745,26
65,1257,143,40.0,기타,관악점,28,6.214285714,0.856321839,12
66,1393,214,,기타,부산본점,17,3.294117647,0.607142857,18
67,11,11,,화장품,본  점,1,1.0,1.0,0
68,6113,544,,화장품,대전점,29,2.620689655,0.302631579,11
69,14,10,,가공식품,일산점,2,1.5,0.0,61
70,1,1,,육류,청량리점,1,1.0,0.0,0
71,706,140,235.0,기타,본  점,33,3.121212121,0.155339806,10
72,62,17,,농산물,부평점,6,3.333333333,0.0,49
73,2,1,,축산가공,안양점,1,7.0,0.0,0
74,319,108,126.0,농산물,부산본점,18,1.833333333,0.212121212,19
75,27,23,,차/커피,부평점,2,1.5,0.0,78
76,142,24,,젓갈/반찬,본  점,12,3.083333333,0.378378378,20
77,89,38,,시티웨어,잠실점,1,4.0,1.0,0
78,271,127,32.0,명품,본  점,4,2.5,0.4,9
79,83,44,,기타,본  점,8,3.875,0.967741935,27
80,2519,203,94.0,가공식품,일산점,38,2.394736842,0.263736264,9
81,205,84,,구두,잠실점,5,1.8,0.666666667,25
82,586,212,,캐주얼,본  점,12,2.25,1.0,16
83,33,11,,농산물,분당점,5,3.0,0.733333333,40
84,2795,1178,1178.0,골프,분당점,21,2.523809524,0.056603774,15
85,7516,326,414.0,아동,대전점,176,3.136363636,0.342391304,2
86,2344,298,75.0,화장품,강남점,51,2.745098039,0.457142857,6
87,966,177,43.0,기타,본  점,24,3.458333333,0.289156627,13
88,3796,800,,시티웨어,미아점,12,2.416666667,0.448275862,25
89,61,61,,디자이너,잠실점,1,1.0,0.0,0
90,18,3,,가공식품,잠실점,5,5.6,0.857142857,62
91,26,26,,액세서리,부평점,2,1.0,0.5,36
92,54,48,48.0,피혁잡화,본  점,2,3.0,0.0,7
93,3418,430,575.0,농산물,동래점,81,2.740740741,0.216216216,4
94,1407,157,,화장품,본  점,21,3.095238095,0.538461538,15
95,90,86,30.0,시티웨어,부산본점,3,1.333333333,0.0,2
96,39,33,,기타,관악점,2,3.0,0.0,79
97,4832,228,,시티웨어,영등포점,43,3.88372093,0.437125749,8
98,54,44,,기타,본  점,2,2.5,0.0,58
99,1098,770,31.0,피혁잡화,본  점,12,1.416666667,0.470588235,10
100,560,350,7.0,기타,본  점,9,2.666666667,0.041666667,37
101,99,39,,섬유잡화,분당점,2,2.0,0.0,29
102,2,1,,차/커피,본  점,1,2.0,1.0,0
103,1,0,,가공식품,영등포점,2,4.0,0.0,1
104,817,207,,피혁잡화,본  점,4,2.0,0.5,27
105,808,282,,가공식품,일산점,10,4.7,0.191489362,29
106,41,4,,가공식품,본  점,7,5.714285714,0.0,17
107,63,30,,구두,본  점,4,1.25,0.2,69
108,963,130,,일용잡화,포항점,27,3.074074074,0.481927711,12
109,3165,922,267.0,기타,잠실점,57,2.385964912,0.169117647,6
110,259,198,,농산물,잠실점,15,1.333333333,0.05,22
111,372,285,,디자이너,강남점,4,1.25,0.8,28
112,461,98,,가공식품,본  점,38,2.368421053,0.288888889,9
113,179,86,,기타,잠실점,3,1.666666667,0.4,97
114,3,3,,일용잡화,본  점,1,1.0,0.0,0
115,447,168,,기타,분당점,20,5.15,0.233009709,16
116,3,1,,농산물,잠실점,1,4.0,1.0,0
117,712,170,,가공식품,본  점,12,3.833333333,0.717391304,27
118,2287,300,453.0,기타,노원점,69,2.68115942,0.248648649,5
119,11,11,,시티웨어,광주점,1,2.0,0.0,0
120,14,5,,가공식품,미아점,3,4.666666667,0.0,17
121,59,28,,디자이너,분당점,3,1.666666667,0.2,3
122,31,16,,남성 캐주얼,영등포점,2,1.5,0.666666667,2
123,56,54,,기타,안양점,1,5.0,1.0,0
124,799,197,,아동,부산본점,12,2.833333333,0.058823529,13
125,163,78,,수산품,영등포점,4,2.75,0.0,58
126,1697,268,,화장품,본  점,22,2.681818182,0.338983051,13
127,1224,302,,캐주얼,일산점,26,2.384615385,0.161290323,13
128,272,50,63.0,가공식품,미아점,19,4.578947368,0.287356322,17
129,412,115,78.0,기타,대전점,14,3.571428571,0.26,24
130,275,134,,가공식품,잠실점,11,4.636363636,0.156862745,25
131,1554,203,,기타,대전점,34,5.176470588,0.306818182,10
132,3508,449,40.0,명품,잠실점,39,2.230769231,0.264367816,9
