ID,calls,rating,purchases,gender,status
1,4,2,177,F,1
2,4,5,216,M,1
3,2,2,183,M,1
4,3,3,176,M,1
5,2,2,184,F,1
6,3,1,162,F,1
7,3,4,250,F,1
8,4,1,233,F,1
9,3,4,150,F,1
10,3,2,164,F,1
11,3,4,189,M,1
12,4,5,232,F,1
13,3,5,198,F,1
14,4,4,275,M,1
15,4,3,152,M,1
16,4,3,227,F,1
17,3,4,143,F,1
18,5,5,227,M,1
19,5,5,239,M,1
20,4,5,145,M,1
21,3,3,161,F,1
22,3,1,232,F,1
23,2,5,156,M,1
24,4,3,211,M,1
25,4,5,251,F,1
26,3,1,225,M,1
27,4,1,172,F,1
28,5,1,162,M,1
29,2,3,234,M,1
30,5,4,183,F,1
31,3,4,266,F,1
32,5,3,257,F,1
33,3,1,223,F,1
34,4,2,234,M,1
35,4,2,227,F,1
36,5,4,149,F,1
37,3,5,137,F,1
38,2,4,181,F,1
39,5,1,215,F,1
40,4,2,269,F,1
41,5,1,227,M,1
42,5,5,139,M,1
43,3,5,137,M,1
44,3,1,174,M,1
45,3,1,151,M,1
46,5,1,210,F,1
47,3,4,169,F,1
48,5,1,160,M,1
49,5,4,190,M,1
50,5,3,216,F,1
51,4,1,183,M,1
52,4,4,141,M,1
53,4,3,165,F,1
54,2,1,170,M,1
55,4,3,203,M,1
56,2,5,246,M,1
57,3,3,238,F,1
58,3,3,193,F,1
59,5,5,141,M,1
60,4,1,150,F,1
61,3,1,221,F,1
62,3,3,179,M,1
63,5,1,105,M,1
64,3,1,177,M,1
65,4,5,261,M,1
66,3,2,202,M,1
67,3,2,109,F,1
68,3,3,158,F,1
69,4,2,231,F,1
70,3,5,206,M,1
71,5,1,187,M,1
72,5,5,230,F,1
73,5,5,232,F,1
74,4,5,215,F,1
75,6,1,238,F,1
76,4,1,266,F,1
77,2,3,158,F,1
78,3,3,113,F,1
79,3,4,223,M,1
80,3,5,257,F,1
81,3,4,180,F,1
82,2,5,132,M,1
83,4,4,217,F,1
84,5,5,162,F,1
85,4,5,197,F,1
86,3,4,197,M,1
87,4,1,185,M,1
88,6,2,278,F,1
89,3,3,229,M,1
90,4,1,186,F,1
91,5,3,174,F,1
92,5,5,286,F,1
93,4,4,175,F,1
94,3,3,219,F,1
95,4,1,213,F,1
96,2,3,235,M,1
97,3,3,149,M,1
98,4,1,271,F,1
99,3,5,144,M,1
100,4,2,145,M,1
