회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기,성별
0,68282840,11264000,6860000.0,기타,강남점,19,3.894736842,0.527027027,17,0
1,2136000,2136000,300000.0,스포츠,잠실점,2,1.5,0.0,1,0
2,3197000,1639000,,남성 캐주얼,관악점,2,2.0,0.0,1,1
3,16077620,4935000,,기타,광주점,18,2.444444444,0.318181818,16,1
4,29050000,24000000,,보석,본  점,2,1.5,0.0,85,0
6,10056000,7612000,4582000.0,시티웨어,강남점,5,2.4,0.333333333,42,0
7,514570080,27104000,29524000.0,명품,본  점,63,2.634920635,0.222891566,5,0
8,688243360,173088000,,기타,본  점,18,5.944444444,0.411214953,15,0
11,24467500,10575000,,화장품,본  점,3,2.0,0.833333333,89,0
12,2895000,2475000,,남성 캐주얼,분당점,2,1.0,0.0,16,1
13,103217000,14616000,13173720.0,시티웨어,분당점,27,2.148148148,0.103448276,10,0
14,123565660,22500000,7833000.0,농산물,본  점,84,3.714285714,0.320512821,4,0
15,802390550,123488000,87054200.0,기타,본  점,152,3.585526316,0.177981651,2,1
19,3074660,500000,,농산물,일산점,2,9.5,0.0,11,1
20,52855460,9711000,,기타,잠실점,11,3.272727273,0.027777778,26,1
21,208520880,20280000,1524900.0,농산물,부산본점,278,5.471223022,0.266272189,1,1
23,450640,165000,,농산물,분당점,1,6.0,0.0,0,0
24,52498250,12201000,3146000.0,가공식품,영등포점,15,2.666666667,0.2,9,0
25,550000,550000,,스포츠,본  점,1,1.0,0.0,0,1
26,301903130,53050000,21241000.0,기타,본  점,53,2.79245283,0.493243243,6,1
28,139213500,19032000,,기타,영등포점,23,2.47826087,0.736842105,15,0
29,2156050,630000,,가공식품,잠실점,3,3.666666667,0.0,28,0
30,200934660,12835200,,시티웨어,관악점,27,2.777777778,0.266666667,12,0
31,355200,259200,,가공식품,분당점,2,2.0,0.75,48,1
33,38068520,7935000,13930000.0,기타,강남점,15,2.866666667,0.046511628,4,0
34,19296840,15900000,15900000.0,수산품,잠실점,8,1.75,0.142857143,33,1
36,16328000,15130000,,시티웨어,분당점,2,2.0,1.0,24,0
38,9850000,5750000,,화장품,본  점,3,1.0,0.0,40,0
40,680977340,43240000,,화장품,본  점,41,3.341463415,0.656934307,8,0
41,10512000,9750000,,수산품,본  점,3,1.666666667,0.2,77,1
43,26561200,11875000,,가공식품,분당점,7,2.285714286,0.1875,32,1
45,6895950,2050000,,기타,본  점,21,2.714285714,0.175438596,14,1
48,115107880,12500000,12085000.0,기타,본  점,42,4.714285714,0.378787879,8,0
50,35338450,8125000,,캐주얼,광주점,12,2.583333333,0.290322581,30,0
51,13461000,9384000,,스포츠,잠실점,3,1.0,0.333333333,76,0
52,13926390,4050000,,가공식품,본  점,25,2.8,0.585714286,12,1
53,4225000,4225000,,화장품,본  점,1,1.0,0.0,0,1
55,125864310,54000000,,가공식품,안양점,23,2.913043478,0.28358209,15,1
