날짜,매출,방문객수,지점
2023-01-01,958,1718,강남점
2023-01-02,632,1142,홍대점
2023-01-03,656,1196,수원점
2023-01-04,560,1035,인천점
2023-01-05,584,1089,대전점
2023-01-06,608,1063,강남점
2023-01-07,982,1747,홍대점
2023-01-08,1006,1801,수원점
2023-01-09,560,1010,인천점
2023-01-10,584,1064,대전점
2023-01-11,608,1118,강남점
2023-01-12,632,1172,홍대점
2023-01-13,656,1146,수원점
2023-01-14,910,1615,인천점
2023-01-15,934,1669,대전점
2023-01-16,608,1093,강남점
2023-01-17,632,1147,홍대점
2023-01-18,656,1201,수원점
2023-01-19,560,1040,인천점
2023-01-20,584,1014,대전점
2023-01-21,958,1698,강남점
2023-01-22,982,1752,홍대점
2023-01-23,656,1176,수원점
2023-01-24,560,1015,인천점
2023-01-25,584,1069,대전점
2023-01-26,608,1123,강남점
2023-01-27,632,1097,홍대점
2023-01-28,1006,1781,수원점
2023-01-29,910,1620,인천점
2023-01-30,584,1044,대전점
2023-01-31,608,1098,강남점
2023-02-01,596,1089,홍대점
2023-02-02,620,1144,수원점
2023-02-03,644,1198,인천점
2023-02-04,898,1586,대전점
2023-02-05,922,1640,강남점
2023-02-06,596,1064,홍대점
2023-02-07,620,1119,수원점
2023-02-08,644,1173,인천점
2023-02-09,548,1011,대전점
2023-02-10,572,1065,강남점
2023-02-11,946,1669,홍대점
2023-02-12,970,1724,수원점
2023-02-13,644,1148,인천점
2023-02-14,548,986,대전점
2023-02-15,572,1040,강남점
2023-02-16,596,1094,홍대점
2023-02-17,620,1149,수원점
2023-02-18,994,1753,인천점
2023-02-19,898,1591,대전점
2023-02-20,572,1015,강남점
2023-02-21,596,1069,홍대점
2023-02-22,620,1124,수원점
2023-02-23,644,1178,인천점
2023-02-24,548,1016,대전점
2023-02-25,922,1620,강남점
2023-02-26,946,1674,홍대점
2023-02-27,620,1099,수원점
2023-02-28,644,1153,인천점
2023-03-01,663,1153,대전점
2023-03-02,687,1207,강남점
2023-03-03,711,1261,홍대점
2023-03-04,1085,1946,수원점
2023-03-05,989,1784,인천점
2023-03-06,663,1208,대전점
2023-03-07,687,1262,강남점
2023-03-08,711,1316,홍대점
2023-03-09,735,1291,수원점
2023-03-10,639,1129,인천점
2023-03-11,1013,1813,대전점
2023-03-12,1037,1867,강남점
2023-03-13,711,1291,홍대점
2023-03-14,735,1346,수원점
2023-03-15,639,1184,인천점
2023-03-16,663,1158,대전점
2023-03-17,687,1212,강남점
2023-03-18,1061,1896,홍대점
2023-03-19,1085,1951,수원점
2023-03-20,639,1159,인천점
2023-03-21,663,1213,대전점
2023-03-22,687,1267,강남점
2023-03-23,711,1241,홍대점
2023-03-24,735,1296,수원점
2023-03-25,989,1764,인천점
2023-03-26,1013,1818,대전점
2023-03-27,687,1242,강남점
2023-03-28,711,1296,홍대점
2023-03-29,735,1351,수원점
2023-03-30,639,1189,인천점
2023-03-31,663,1163,대전점
2023-04-01,1051,1874,강남점
2023-04-02,1075,1929,홍대점
2023-04-03,749,1353,수원점
2023-04-04,653,1191,인천점
2023-04-05,677,1245,대전점
2023-04-06,701,1299,강남점
2023-04-07,725,1274,홍대점
2023-04-08,1099,1958,수원점
2023-04-09,1003,1796,인천점
2023-04-10,677,1220,대전점
2023-04-11,701,1274,강남점
2023-04-12,725,1329,홍대점
2023-04-13,749,1383,수원점
2023-04-14,653,1141,인천점
2023-04-15,1027,1825,대전점
2023-04-16,1051,1879,강남점
2023-04-17,725,1304,홍대점
2023-04-18,749,1358,수원점
2023-04-19,653,1196,인천점
2023-04-20,677,1250,대전점
2023-04-21,701,1224,강남점
2023-04-22,1075,1909,홍대점
2023-04-23,1099,1963,수원점
2023-04-24,653,1171,인천점
2023-04-25,677,1225,대전점
2023-04-26,701,1279,강남점
2023-04-27,725,1334,홍대점
2023-04-28,749,1308,수원점
2023-04-29,1003,1776,인천점
2023-04-30,1027,1830,대전점
2023-05-01,752,1359,강남점
2023-05-02,776,1413,홍대점
2023-05-03,800,1468,수원점
2023-05-04,704,1306,인천점
2023-05-05,728,1280,대전점
2023-05-06,1102,1964,강남점
2023-05-07,1126,2018,홍대점
2023-05-08,800,1443,수원점
2023-05-09,704,1281,인천점
2023-05-10,728,1335,대전점
2023-05-11,752,1389,강남점
2023-05-12,776,1363,홍대점
2023-05-13,1150,2048,수원점
2023-05-14,1054,1886,인천점
2023-05-15,728,1310,대전점
2023-05-16,752,1364,강남점
2023-05-17,776,1418,홍대점
2023-05-18,800,1473,수원점
2023-05-19,704,1231,인천점
2023-05-20,1078,1915,대전점
2023-05-21,1102,1969,강남점
2023-05-22,776,1393,홍대점
2023-05-23,800,1448,수원점
2023-05-24,704,1286,인천점
2023-05-25,728,1340,대전점
2023-05-26,752,1314,강남점
2023-05-27,1126,1998,홍대점
2023-05-28,1150,2053,수원점
2023-05-29,704,1261,인천점
2023-05-30,728,1315,대전점
2023-05-31,752,1369,강남점
2023-06-01,740,1361,홍대점
2023-06-02,764,1335,수원점
2023-06-03,1138,2019,인천점
2023-06-04,1042,1857,대전점
2023-06-05,716,1281,강남점
2023-06-06,740,1336,홍대점
2023-06-07,764,1390,수원점
2023-06-08,788,1444,인천점
2023-06-09,692,1282,대전점
2023-06-10,1066,1886,강남점
2023-06-11,1090,1941,홍대점
2023-06-12,764,1365,수원점
2023-06-13,788,1419,인천점
2023-06-14,692,1257,대전점
2023-06-15,716,1311,강남점
2023-06-16,740,1366,홍대점
2023-06-17,1114,1970,수원점
2023-06-18,1138,2024,인천점
2023-06-19,692,1232,대전점
2023-06-20,716,1286,강남점
2023-06-21,740,1341,홍대점
2023-06-22,764,1395,수원점
2023-06-23,788,1449,인천점
2023-06-24,1042,1837,대전점
2023-06-25,1066,1891,강남점
2023-06-26,740,1316,홍대점
2023-06-27,764,1370,수원점
2023-06-28,788,1424,인천점
2023-06-29,692,1262,대전점
2023-06-30,716,1316,강남점
2023-07-01,1151,2043,홍대점
2023-07-02,1175,2098,수원점
2023-07-03,849,1522,인천점
2023-07-04,753,1360,대전점
2023-07-05,777,1414,강남점
2023-07-06,801,1468,홍대점
2023-07-07,825,1523,수원점
2023-07-08,1199,2127,인천점
2023-07-09,1103,1965,대전점
2023-07-10,777,1389,강남점
2023-07-11,801,1443,홍대점
2023-07-12,825,1498,수원점
2023-07-13,849,1552,인천점
2023-07-14,753,1390,대전점
2023-07-15,1127,1994,강남점
2023-07-16,1151,2048,홍대점
2023-07-17,825,1473,수원점
2023-07-18,849,1527,인천점
2023-07-19,753,1365,대전점
2023-07-20,777,1419,강남점
2023-07-21,801,1473,홍대점
2023-07-22,1175,2078,수원점
2023-07-23,1199,2132,인천점
2023-07-24,753,1340,대전점
2023-07-25,777,1394,강남점
2023-07-26,801,1448,홍대점
2023-07-27,825,1503,수원점
2023-07-28,849,1557,인천점
2023-07-29,1103,1945,대전점
2023-07-30,1127,1999,강남점
2023-07-31,801,1423,홍대점
2023-08-01,839,1505,수원점
2023-08-02,863,1559,인천점
2023-08-03,887,1613,대전점
2023-08-04,791,1451,강남점
2023-08-05,1165,2136,홍대점
2023-08-06,1189,2110,수원점
2023-08-07,863,1534,인천점
2023-08-08,887,1588,대전점
2023-08-09,791,1426,강남점
2023-08-10,815,1481,홍대점
2023-08-11,839,1535,수원점
2023-08-12,1213,2219,인천점
2023-08-13,1237,2193,대전점
2023-08-14,791,1401,강남점
2023-08-15,815,1456,홍대점
2023-08-16,839,1510,수원점
2023-08-17,863,1564,인천점
2023-08-18,887,1618,대전점
2023-08-19,1141,2086,강남점
2023-08-20,1165,2061,홍대점
2023-08-21,839,1485,수원점
2023-08-22,863,1539,인천점
2023-08-23,887,1593,대전점
2023-08-24,791,1431,강남점
2023-08-25,815,1486,홍대점
2023-08-26,1189,2170,수원점
2023-08-27,1213,2144,인천점
2023-08-28,887,1568,대전점
2023-08-29,791,1406,강남점
2023-08-30,815,1461,홍대점
2023-08-31,839,1515,수원점
2023-09-01,827,1506,인천점
2023-09-02,1201,2190,대전점
2023-09-03,1105,1949,강남점
2023-09-04,779,1373,홍대점
2023-09-05,803,1427,수원점
2023-09-06,827,1481,인천점
2023-09-07,851,1535,대전점
2023-09-08,755,1374,강남점
2023-09-09,1129,2058,홍대점
2023-09-10,1153,2112,수원점
2023-09-11,827,1456,인천점
2023-09-12,851,1510,대전점
2023-09-13,755,1349,강남점
2023-09-14,779,1403,홍대점
2023-09-15,803,1457,수원점
2023-09-16,1177,2141,인천점
2023-09-17,1201,2195,대전점
2023-09-18,755,1324,강남점
2023-09-19,779,1378,홍대점
2023-09-20,803,1432,수원점
2023-09-21,827,1486,인천점
