tenure,drawing,color_theory,composition,3D_modeling,design
5,99,65,86,99,92
6,62,94,92,90,40
2,75,81,77,92,51
5,95,71,54,81,38
7,89,51,61,52,59
10,74,74,58,60,35
10,97,88,56,96,91
8,52,63,68,68,82
7,96,90,61,55,93
8,52,62,60,85,78
9,77,91,52,64,26
5,94,54,50,63,74
5,63,93,55,99,36
10,73,74,58,92,31
4,66,64,71,70,58
9,97,63,75,99,76
5,91,71,57,82,77
2,85,99,71,87,97
10,79,61,67,51,45
8,91,55,59,56,47
7,69,79,50,81,80
8,72,74,73,94,40
3,86,76,84,81,74
4,67,83,61,56,90
5,53,63,56,55,56
6,53,95,94,92,35
1,55,71,63,56,75
4,93,56,61,76,73
10,73,87,92,51,33
5,85,82,90,54,41
7,69,65,72,83,81
5,62,81,74,84,50
1,67,60,60,67,97
7,89,72,53,60,87
8,81,94,78,90,62
7,96,56,54,60,27
4,83,69,72,77,54
8,78,91,97,98,43
5,80,98,97,57,27
10,97,72,61,97,28
9,89,75,81,59,67
10,51,78,73,78,99
5,76,96,93,68,72
1,84,92,63,98,71
9,87,58,50,63,56
5,60,71,58,69,100
6,93,73,67,99,23
4,97,89,65,76,61
6,61,80,89,75,55
8,94,82,84,62,94
3,54,99,64,85,57
5,52,53,72,50,29
2,56,61,54,52,61
2,52,70,94,79,23
7,92,67,96,67,74
10,52,51,98,97,86
10,63,54,93,95,45
10,55,84,58,85,35
6,64,93,52,90,92
4,54,75,78,83,27
5,83,76,95,56,46
1,56,62,58,88,44
7,92,88,50,60,36
8,90,87,90,66,78
9,50,79,53,90,76
8,94,60,70,76,55
5,51,54,83,92,99
3,61,53,61,60,40
10,51,79,54,80,20
9,66,91,88,54,75
6,75,92,81,82,86
5,89,73,99,88,84
3,66,89,67,79,32
6,85,97,53,63,63
3,59,63,86,51,59
10,87,69,76,55,31
6,61,96,60,81,32
4,57,66,89,96,76
2,59,95,60,60,95
8,59,99,63,86,32
4,75,83,54,93,61
9,92,90,69,76,79
7,53,87,70,83,75
2,85,84,75,90,98
4,82,65,85,63,68
5,93,52,95,64,68
3,62,67,56,50,93
9,72,83,52,98,99
5,96,55,50,95,75
2,82,50,57,88,52
3,69,56,82,53,83
9,56,85,86,72,82
7,63,98,89,55,91
2,79,99,62,50,67
9,85,74,65,80,81
4,56,93,74,98,77
9,79,86,53,95,61
2,77,75,80,84,26
10,75,78,99,54,73
4,84,56,68,63,59
5,91,96,87,66,53
2,66,67,75,88,39
10,94,72,56,90,77
1,58,83,79,69,52
7,58,66,64,70,20
10,63,62,51,52,96
1,55,81,81,64,23
8,61,51,92,72,29
3,55,86,67,55,79
10,91,75,69,72,31
6,56,80,94,92,93
7,87,81,90,79,21
10,52,76,85,53,50
1,97,79,62,59,82
6,85,84,95,73,63
7,50,87,57,68,35
6,88,86,81,67,42
4,75,93,51,76,77
1,88,59,82,79,99
9,76,70,63,89,25
4,82,97,72,67,25
7,89,69,67,90,59
7,70,56,58,66,43
2,50,76,81,52,20
1,92,55,94,77,74
8,69,60,97,79,90
8,74,99,59,96,82
7,50,77,85,86,97
8,74,64,83,95,84
3,99,99,67,95,31
2,63,98,50,80,96
7,69,72,84,76,89
8,84,63,97,77,73
1,90,91,81,98,33
10,70,85,71,88,42
9,65,84,76,55,96
4,96,94,59,88,77
4,83,84,87,58,90
3,55,64,87,72,83
6,53,84,57,60,27
1,74,65,93,84,91
6,61,87,63,93,63
2,62,80,99,64,38
9,93,53,69,54,96
2,54,75,58,64,89
7,85,67,67,83,82
1,63,66,72,66,89
7,88,80,53,63,43
5,86,66,78,59,41
8,50,88,79,74,24
4,75,53,86,63,88
10,56,83,51,86,68
7,93,90,77,53,78
6,93,83,52,83,100
5,70,74,85,61,37
4,72,97,52,74,47
7,65,64,95,64,67
5,85,50,85,86,31
5,67,71,75,97,27
1,63,51,72,95,98
2,71,97,56,79,95
5,54,60,64,73,33
3,87,89,93,90,78
2,50,88,95,84,89
4,82,60,50,59,82
4,59,81,79,91,83
4,61,52,85,71,25
4,81,74,80,59,95
3,99,50,54,64,52
7,88,96,60,63,31
9,61,98,62,75,57
5,58,61,91,61,52
4,93,60,73,56,70
2,72,87,74,56,92
2,56,62,96,79,35
5,93,94,81,86,76
7,90,78,94,66,26
10,99,67,72,51,57
10,95,91,57,56,25
9,92,74,96,95,46
7,52,95,72,74,26
5,55,96,59,72,98
10,78,58,65,51,56
10,76,50,52,86,61
10,72,99,73,76,71
6,69,95,92,60,22
3,71,52,96,55,35
5,78,91,96,69,64
8,50,72,56,91,49
1,63,62,69,93,93
1,75,93,51,80,100
7,86,59,92,86,50
5,58,97,67,55,48
5,77,60,81,79,87
1,85,80,85,83,97
9,72,61,71,60,20
1,51,77,65,94,60
5,72,84,98,59,95
10,64,59,98,65,58
9,96,76,64,81,67
4,56,73,73,81,31
8,82,53,98,84,45
6,52,90,50,55,26
3,72,66,70,92,22
4,77,78,55,76,97
2,64,75,75,73,68
1,72,75,51,99,98
8,58,55,70,87,31
1,65,71,61,55,72
1,81,72,76,87,36
