game_level,character_level,weekly_play_time,chat_activity,item_level,quest_completed,pvp_score,guild_rank,inactive_days
1,103,25.1,135,102,207,1592,17,6
1,42,15.8,113,40,120,913,26,12
2,102,32.4,144,95,227,2148,7,6
1,114,33.6,238,141,272,2077,6,6
0,51,14.2,69,39,129,1288,30,12
0,37,16.4,78,39,141,1348,27,5
0,24,4.8,0,22,38,369,41,16
1,69,22.3,129,79,158,1447,22,3
0,82,18.4,74,93,132,1276,32,7
0,25,10.1,0,26,98,611,27,19
1,108,25.8,180,116,228,1623,9,4
1,79,25.7,128,86,233,1856,7,5
2,99,22.9,186,88,176,1924,8,2
1,94,29.2,125,103,200,1855,10,4
0,45,7.9,81,30,96,899,26,11
1,62,20.2,155,43,173,1739,11,3
0,49,13.8,47,49,90,1334,26,10
0,1,0.0,0,1,0,117,45,17
0,2,3.9,24,1,34,782,36,14
0,44,12.2,96,47,82,795,14,5
1,82,27.3,181,76,185,1898,13,4
1,61,23.5,109,67,126,1488,15,13
0,45,11.6,70,22,132,1072,26,12
2,93,31.1,181,101,188,1626,16,4
1,84,27.3,132,90,183,1964,15,11
1,52,14.3,79,33,130,835,22,12
1,81,27.6,146,80,178,1672,21,6
1,71,18.3,126,57,185,1460,15,8
1,98,26.3,199,111,235,1645,8,2
0,58,9.0,44,36,128,1077,22,5
0,14,4.9,42,1,34,841,38,21
0,1,0.0,0,1,0,0,50,24
0,56,11.8,58,64,133,1200,18,6
1,73,17.4,93,71,179,1922,23,9
0,12,6.3,23,12,3,913,46,12
1,54,24.1,58,38,101,1161,21,15
2,120,27.9,217,121,223,2071,9,6
0,1,0.0,0,1,0,227,43,21
1,79,18.7,125,91,231,1842,13,10
0,1,0.0,0,1,48,464,40,19
0,1,0.0,0,1,31,648,38,21
0,39,8.1,63,32,129,1068,28,11
1,74,17.1,140,62,131,1403,28,2
0,57,13.1,112,48,166,1773,18,11
0,45,14.3,121,45,159,1516,21,6
1,84,16.7,137,80,172,1432,21,13
0,1,0.0,0,1,3,105,42,24
0,17,9.3,53,8,54,875,42,19
0,1,1.0,0,1,0,430,46,19
1,54,19.0,64,37,149,1488,20,6
1,93,23.1,153,94,216,1285,14,8
1,62,14.7,71,59,141,1140,13,12
1,73,11.7,91,70,112,1493,17,9
1,80,18.1,149,84,229,1651,13,5
0,58,10.7,46,69,61,1157,32,7
1,65,22.8,112,73,227,1539,10,6
0,47,13.3,78,53,69,837,32,12
0,9,6.8,45,1,53,815,31,23
0,26,11.6,57,30,91,701,43,17
1,90,23.9,150,100,206,1749,16,6
0,27,9.8,55,12,47,938,34,17
0,30,6.6,59,16,63,414,40,11
0,26,11.0,81,19,120,829,26,13
1,84,32.4,170,98,239,1887,6,5
0,38,13.0,48,28,78,981,25,7
1,108,30.5,127,140,261,1877,12,3
1,94,29.1,161,106,165,1864,1,4
0,15,10.8,15,6,48,783,30,12
0,1,0.0,0,1,42,533,41,13
1,39,10.2,38,19,159,1065,26,9
0,47,10.4,52,38,68,951,23,7
0,45,15.1,71,29,67,739,33,14
0,42,14.5,74,43,129,1170,28,6
0,90,17.4,103,92,124,1570,21,6
1,36,7.3,72,26,158,1155,21,11
1,85,24.6,175,73,166,1980,3,6
1,68,14.6,121,60,161,1478,23,8
0,2,3.2,29,1,24,457,42,13
0,42,8.1,55,44,71,811,29,14
1,61,18.0,127,64,148,1367,35,3
0,25,0.0,22,1,35,763,32,15
1,53,13.0,75,23,147,1256,25,14
1,68,10.7,112,57,108,1292,12,11
1,97,28.1,105,104,203,1909,8,3
1,48,13.8,42,28,127,1260,24,5
1,88,29.9,143,94,209,1452,26,7
0,69,14.5,14,69,84,1421,22,5
1,78,21.6,129,66,153,1537,14,12
1,60,20.8,90,56,147,1506,15,12
1,44,14.1,98,42,96,1046,26,14
1,67,11.4,115,72,140,1396,20,6
1,54,5.3,136,56,130,1218,26,5
1,88,29.8,126,94,177,1836,10,0
1,74,21.0,130,67,223,1418,19,10
0,1,1.4,0,1,0,381,35,20
2,95,26.6,175,102,211,2127,10,4
1,93,30.6,186,103,198,1822,5,7
1,52,14.9,126,52,148,1081,26,5
1,82,18.5,140,70,113,1069,17,2
1,38,13.5,70,21,140,996,23,15
2,99,26.9,164,121,207,2010,11,4
1,84,28.0,144,91,217,1904,5,2
0,44,10.4,83,47,53,779,18,8
0,12,3.3,0,1,83,853,35,13
1,48,17.7,114,31,119,1278,31,12
2,121,20.6,171,127,246,2119,13,9
0,14,5.8,66,6,1,770,39,10
0,20,0.0,16,14,49,702,32,15
1,77,25.8,139,100,215,2022,10,6
1,41,11.4,98,47,148,1081,31,9
1,71,17.7,129,67,176,1714,14,2
0,46,6.5,53,38,156,1309,31,11
1,91,32.6,150,89,225,1522,15,9
1,55,18.9,97,44,113,879,29,5
1,55,14.9,78,40,135,1112,27,12
0,32,11.9,40,26,71,1100,34,14
1,79,20.5,132,91,175,1722,16,11
1,91,28.5,107,94,228,1493,14,0
0,39,16.9,64,51,60,759,30,6
1,47,18.1,81,40,122,1411,23,11
0,2,0.5,50,1,66,687,28,15
1,56,24.2,131,58,155,1649,14,4
0,31,6.7,68,25,61,1043,32,16
2,83,21.6,152,83,184,1632,18,3
0,11,6.8,0,1,22,399,41,17
1,23,17.9,125,20,119,997,16,13
0,45,10.8,56,28,92,699,29,8
0,50,15.6,98,39,121,1051,19,5
1,38,18.3,95,37,144,1118,31,10
0,47,21.1,99,44,142,1185,24,1
1,103,27.6,202,106,269,1786,13,2
2,137,34.1,255,153,238,2546,1,0
1,32,6.2,26,6,80,893,25,8
1,33,9.0,79,32,111,1011,34,11
1,76,23.9,100,77,180,1585,16,10
0,1,4.3,0,1,8,540,43,16
1,62,23.0,123,60,147,1253,15,11
1,97,29.0,148,108,240,1647,1,0
0,20,8.6,38,4,58,1090,26,13
0,57,11.2,80,58,125,1636,21,8
0,23,7.5,0,24,80,1120,31,9
1,76,26.8,151,99,145,1428,17,8
0,36,5.3,39,13,98,889,31,16
0,7,0.0,30,1,20,488,44,18
2,152,45.3,248,169,301,2176,1,0
0,7,4.8,0,1,0,176,30,15
1,60,18.0,105,62,181,1449,21,13
0,28,4.4,52,6,67,812,26,10
0,1,3.4,0,1,0,597,45,18
0,4,2.4,23,1,20,556,41,16
0,36,14.4,120,32,114,1004,25,7
2,105,25.5,111,104,233,1922,6,3
0,40,11.1,27,25,111,1086,32,11
2,98,27.6,180,116,281,1815,3,10
2,135,45.2,236,153,238,2494,1,0
0,1,0.0,0,1,94,397,48,17
1,52,10.4,102,50,104,1519,24,12
1,42,11.5,84,9,100,924,30,14
1,104,35.8,173,118,208,1719,9,5
1,67,15.7,118,79,152,1285,22,12
1,50,18.2,49,59,131,1140,23,13
0,12,5.9,2,1,5,736,33,16
0,31,1.6,71,25,115,561,27,9
0,37,9.8,42,38,139,643,31,17
0,63,21.7,111,66,100,1662,23,8
1,119,36.8,161,141,218,2151,10,3
1,38,18.0,77,35,137,1227,25,6
0,13,2.3,22,1,64,472,28,20
1,50,13.4,79,46,144,1313,28,7
1,63,17.2,111,55,118,1437,18,14
1,51,11.7,45,51,72,975,26,17
0,41,7.4,81,27,99,1046,20,10
1,47,6.7,53,38,152,781,23,13
1,69,17.7,104,55,165,1375,23,7
1,76,21.6,106,57,169,1263,11,3
1,80,26.4,145,72,143,1527,17,5
0,55,15.5,139,46,98,1342,27,10
1,53,17.9,91,59,156,1107,28,10
2,136,29.3,245,157,369,2765,1,5
1,68,21.0,155,58,73,1476,14,7
1,96,24.8,133,88,202,1689,12,11
0,52,18.1,74,51,117,1567,27,9
0,32,3.1,19,14,16,610,34,9
1,64,17.3,60,63,111,1444,28,13
1,63,23.0,78,55,131,1346,23,8
0,9,7.7,32,1,73,559,41,14
0,48,12.0,60,32,51,1385,25,12
0,12,5.2,64,1,54,921,41,20
0,49,12.8,96,35,176,1377,27,14
1,104,31.1,172,122,235,1941,1,5
2,117,27.2,180,125,258,1781,5,2
1,94,25.0,118,98,220,1590,9,4
