ID,height(cm),weight(kg)
0,171.2,63.1
1,171.1,68.5
2,159.8,58.8
3,158.2,45.5
4,180.3,67.2
5,177.3,64.5
6,156.1,55.0
7,164.8,79.1
8,180.9,73.2
9,161.8,71.0
10,161.9,77.9
11,157.6,52.7
12,155.3,42.8
13,165.0,61.8
14,164.3,69.6
15,175.1,64.5
16,178.2,81.4
17,173.2,92.5
18,171.2,44.8
19,157.6,52.0
20,163.6,48.6
21,180.4,80.4
22,169.6,57.3
23,178.0,68.3
24,183.6,78.3
25,180.1,64.3
26,162.7,51.9
27,181.7,95.9
28,162.3,53.4
29,156.8,54.6
30,174.1,71.8
31,159.5,78.2
32,161.1,58.9
33,180.6,92.8
34,160.5,65.2
35,175.9,82.5
36,167.4,55.6
37,176.5,78.3
38,173.1,48.4
39,167.8,55.5
40,178.7,77.4
41,156.2,60.4
42,167.2,49.2
43,176.0,100.8
44,173.2,69.6
45,149.6,51.3
46,161.8,54.5
47,182.4,67.3
48,175.8,94.1
49,178.4,64.4
50,182.9,83.8
51,164.0,54.7
52,171.5,76.8
53,171.4,46.6
54,162.3,47.5
55,174.9,59.8
56,171.8,81.9
57,183.1,79.6
58,169.1,64.0
59,184.8,78.5
60,164.7,54.5
61,162.8,39.5
62,168.7,75.9
63,163.3,66.5
64,173.3,77.0
65,168.3,66.0
66,169.8,77.6
67,169.1,64.9
68,165.2,75.2
69,160.3,59.6
70,186.6,30.4
71,169.7,72.2
72,176.7,91.9
73,158.1,65.4
74,173.8,61.9
75,173.4,64.5
76,165.2,54.4
77,180.4,73.5
78,171.6,59.2
79,181.5,86.6
80,162.5,73.1
81,168.6,80.5
82,160.9,61.0
83,165.2,49.6
84,168.7,62.3
85,168.4,73.5
86,177.5,57.2
87,170.9,67.2
88,160.2,56.0
89,170.6,81.4
90,162.1,51.2
91,159.2,50.6
92,155.4,46.0
93,175.2,93.7
94,153.7,58.1
95,164.9,62.3
96,168.6,61.3
97,168.6,63.0
98,167.8,61.5
99,178.1,63.4
100,176.3,58.4
101,165.6,67.9
102,171.8,70.6
103,160.8,43.1
104,162.3,53.8
105,179.0,77.4
106,178.2,48.9
107,166.4,85.5
108,167.8,68.2
109,176.6,70.9
110,175.2,82.1
111,169.0,73.4
112,157.1,60.6
113,181.9,72.5
114,169.1,47.9
115,177.9,72.4
116,166.2,54.2
117,177.7,72.2
118,162.0,57.7
119,175.0,76.5
120,184.6,78.5
121,179.6,73.6
122,161.7,48.2
123,162.0,68.0
124,161.7,85.1
125,171.8,53.3
126,159.0,63.6
127,162.4,68.0
128,185.0,68.1
129,167.9,80.8
130,168.5,62.5
131,159.0,68.4
132,182.5,55.8
133,165.5,76.0
134,162.4,63.2
135,172.6,46.4
136,167.7,73.1
137,173.5,58.0
138,169.5,66.0
139,154.7,54.7
140,163.8,63.7
141,174.7,76.0
142,127.60000000000001,40.0
143,174.5,56.3
144,183.0,89.3
145,177.5,75.1
146,164.3,76.4
147,177.0,91.4
148,171.5,52.0
149,161.2,76.9
150,160.7,60.1
151,178.3,59.0
152,164.8,75.9
153,171.3,69.6
154,171.2,67.1
155,160.6,65.7
156,160.4,43.8
157,160.6,56.0
158,174.4,65.2
159,224.10000000000002,128.8
160,160.9,72.9
161,159.9,72.4
162,164.8,69.7
163,164.8,47.4
164,172.4,78.7
165,169.1,68.3
166,179.6,40.9
167,157.4,52.0
168,161.0,56.4
169,174.8,79.7
170,171.2,68.1
171,168.4,77.9
172,181.2,78.2
173,163.9,65.8
174,158.6,54.0
175,174.9,69.6
176,111.79999999999998,37.4
177,161.7,77.2
178,163.7,45.2
179,168.1,82.3
180,175.3,91.9
181,181.4,67.4
182,156.7,55.5
183,180.3,81.9
184,162.5,56.2
185,147.1,42.7
186,158.0,64.4
187,154.0,56.8
188,168.1,76.1
189,169.1,52.6
190,161.1,57.8
191,176.3,72.2
192,160.3,44.9
193,158.1,73.2
194,160.0,40.0
195,177.3,90.5
196,160.8,52.1
197,181.8,64.2
198,164.8,66.6
199,166.6,57.0
200,151.9,31.5
201,164.2,70.8
202,175.1,90.1
203,161.0,68.0
204,162.9,65.8
205,168.9,63.8
206,171.9,63.0
207,162.8,68.1
208,158.9,62.9
209,154.9,58.3
210,171.1,58.6
211,151.6,54.7
212,153.8,62.7
213,157.3,69.7
214,179.5,84.8
215,175.5,50.6
216,183.4,91.0
217,173.5,73.6
218,171.0,55.7
219,177.4,81.9
220,160.7,42.6
221,154.8,37.9
222,170.4,58.9
223,172.1,69.5
224,157.7,47.0
225,151.9,50.4
226,152.9,52.3
227,162.9,61.1
228,168.8,70.8
229,180.7,37.2
230,164.3,58.5
231,154.4,73.0
232,170.1,52.3
233,219.89999999999998,95.1
234,177.3,82.1
235,121.39999999999999,28.7
236,175.9,71.3
237,176.5,72.7
238,184.6,88.4
239,153.1,33.4
240,156.7,50.6
241,180.5,80.6
242,175.4,74.2
243,174.6,73.7
244,167.9,80.5
245,170.0,65.0
246,147.4,58.2
247,174.8,95.9
248,166.0,60.5
249,175.6,70.7
250,160.4,59.7
251,169.6,69.0
252,167.4,76.2
253,164.3,63.8
254,182.9,64.9
255,182.9,84.0
256,166.4,63.1
257,170.2,76.1
258,162.4,48.4
259,165.7,51.2
260,164.5,62.9
261,158.5,60.1
262,166.9,72.5
263,166.6,78.4
264,179.4,77.7
265,183.8,73.5
266,172.4,80.8
267,161.2,71.3
268,166.9,67.4
269,179.4,51.9
270,154.1,55.8
271,171.6,80.9
272,156.4,61.6
273,166.7,69.2
274,162.3,69.7
275,173.0,72.4
276,175.5,73.2
277,182.7,70.0
278,157.4,49.9
279,179.7,64.1
280,160.5,58.3
281,176.4,68.8
282,172.8,87.9
283,185.2,74.3
284,180.4,71.4
285,173.7,73.5
286,155.6,58.6
287,163.4,70.2
288,165.9,49.5
289,152.2,64.7
290,180.2,72.2
291,101.1,19.7
292,170.1,75.2
293,180.8,92.6
294,180.7,94.1
295,178.8,103.2
296,185.5,67.6
297,163.1,68.5
298,173.5,64.6
299,161.5,71.5
300,158.6,56.5
301,161.7,76.1
302,166.3,53.6
303,169.8,66.9
304,173.2,69.7
305,166.4,49.4
306,179.4,95.8
307,171.6,53.6
308,182.9,103.3
309,164.2,70.0
310,180.3,56.1
311,173.6,45.3
312,159.5,61.4
313,173.7,72.3
314,178.8,92.1
315,179.4,68.9
316,165.2,69.1
317,167.7,66.7
318,161.7,77.5
319,163.4,69.3
320,154.2,58.2
321,161.3,67.7
322,171.0,67.8
323,172.3,71.5
324,181.7,71.0
325,165.6,58.9
326,163.4,62.5
327,160.3,58.1
328,163.8,46.0
329,165.5,63.6
330,181.2,55.7
331,172.5,63.1
332,155.7,48.6
333,164.6,81.5
334,184.7,99.7
335,165.7,40.6
336,167.4,79.2
337,175.0,79.3
338,177.8,72.1
339,174.7,82.3
340,172.0,70.1
341,168.5,76.8
342,161.8,73.1
343,178.3,83.7
344,170.2,84.5
345,173.1,55.9
346,161.1,44.9
347,178.3,74.1
348,167.8,44.2
349,172.8,74.8
350,177.3,82.5
351,170.0,69.6
352,184.4,73.2
353,167.0,74.0
354,175.1,76.9
355,166.5,67.7
356,158.5,67.4
357,159.1,59.3
358,176.8,91.2
359,164.8,67.4
360,182.9,64.9
361,167.9,53.0
362,158.4,49.0
363,169.0,66.3
364,158.2,56.2
365,173.0,73.5
366,162.1,76.6
367,180.7,79.5
368,173.8,76.5
369,169.0,61.5
370,177.5,48.4
371,160.2,65.5
372,174.0,65.7
373,150.6,54.2
374,175.9,74.5
375,166.7,96.2
376,165.8,78.9
377,180.3,75.0
378,125.2,64.1
379,160.5,61.7
380,162.5,60.5
381,167.8,62.8
382,155.1,52.6
383,170.2,59.2
384,156.8,54.2
385,170.0,86.2
386,179.7,59.3
387,178.2,75.6
388,177.7,62.8
389,166.8,60.4
390,167.9,49.7
391,181.3,46.1
392,158.3,64.2
393,168.6,64.4
394,160.6,69.4
395,168.6,74.0
396,161.5,52.3
397,173.1,74.1
398,182.7,73.3
399,167.3,48.8
400,169.5,61.6
401,165.5,57.3
402,167.7,69.2
403,170.9,57.8
404,156.9,57.3
405,162.7,55.0
406,180.6,72.5
407,169.7,27.6
408,158.0,82.3
409,169.5,61.5
410,163.0,67.6
411,176.6,81.6
412,178.4,70.6
413,174.1,50.7
414,160.7,52.2
415,159.8,63.2
416,168.8,60.7
417,172.0,71.8
418,157.6,75.5
419,165.9,54.9
420,157.6,68.3
421,160.6,51.4
422,181.0,61.0
423,181.2,67.3
424,184.0,78.1
425,174.9,69.6
426,162.5,65.3
427,156.4,40.0
428,164.7,74.3
429,168.4,65.8
430,167.5,54.7
431,160.3,61.1
432,166.7,75.9
433,162.3,47.2
434,175.0,60.0
435,176.2,57.4
436,178.9,64.0
437,175.0,62.2
438,175.8,58.9
439,174.9,84.6
440,166.4,69.1
441,162.6,55.5
442,174.9,74.2
443,163.5,46.3
444,163.8,42.5
445,165.4,70.9
446,158.3,50.4
447,181.2,81.1
448,170.9,72.8
449,152.6,46.1
450,161.1,63.5
451,165.8,76.2
452,167.9,65.3
453,160.1,59.5
454,162.3,54.1
455,185.1,68.7
456,173.5,58.5
457,122.39999999999999,24.6
458,157.1,57.0
459,167.2,48.2
460,170.4,68.2
461,154.8,58.9
462,164.5,69.4
463,173.9,77.4
464,180.3,58.3
465,183.8,69.3
466,163.1,65.8
467,181.9,68.6
468,180.4,80.9
469,175.6,64.0
470,166.8,63.5
471,169.1,59.5
472,157.4,55.8
473,185.8,79.5
474,178.4,68.4
475,174.2,58.6
476,160.9,44.0
477,170.1,69.4
478,160.4,55.5
479,166.1,62.6
480,154.9,41.7
481,178.7,77.7
482,179.4,51.0
483,169.5,45.8
484,183.8,104.1
485,172.0,74.5
486,186.8,90.2
487,186.0,104.1
488,156.4,53.1
489,164.9,70.0
490,166.7,83.3
491,164.9,68.8
492,158.5,52.5
493,180.7,62.0
494,180.6,70.2
495,173.3,78.9
496,173.0,69.4
497,173.0,69.2
498,164.2,62.9
499,177.1,77.9
500,161.2,62.9
501,169.3,69.7
502,176.8,75.7
503,153.2,34.3
504,176.4,71.3
505,181.6,62.1
506,160.3,72.1
507,171.4,77.9
508,155.0,56.2
509,177.0,69.4
510,165.2,47.1
511,160.5,56.0
512,178.0,75.3
513,177.8,89.7
514,176.6,55.6
515,171.0,76.9
516,178.6,74.0
517,173.4,62.1
518,173.0,80.3
519,149.7,47.4
520,161.2,51.6
521,163.8,61.8
522,172.2,58.4
523,158.2,58.9
524,165.0,45.8
525,172.8,75.1
526,185.2,111.8
527,174.7,71.9
528,164.9,55.6
529,172.5,61.2
530,151.9,51.8
531,177.9,76.1
532,171.2,61.3
533,182.3,53.2
534,162.1,38.5
535,174.0,64.5
536,162.5,77.1
537,159.1,54.9
538,171.7,58.0
539,174.0,73.1
540,172.5,89.1
541,171.0,72.4
542,150.8,54.5
543,175.6,68.7
544,160.6,65.2
545,157.6,38.5
546,167.9,68.6
547,154.0,68.7
548,185.6,77.7
549,172.9,73.2
550,163.2,74.2
551,167.9,69.6
552,155.0,49.6
553,161.9,77.3
554,155.7,75.0
555,155.2,66.4
556,182.0,75.9
557,163.8,57.6
558,173.8,48.2
559,160.6,66.2
560,168.1,67.5
561,176.2,67.1
562,162.6,68.0
563,175.1,78.1
564,158.5,41.9
565,160.1,48.4
566,164.9,63.5
567,170.4,59.4
568,150.7,47.9
569,172.4,63.3
570,174.5,59.3
571,155.1,60.3
572,176.0,65.6
573,176.8,60.7
574,171.5,66.9
575,182.9,55.7
