Gender,Bank_Loan,Capital_Loan,Region_Code,Year,Total_Loan
M,43350000,1360000,4211000000,2023,44710000
F,42890000,19150000,4111100000,2020,62040000
M,10000,16380000,4399000000,2023,16390000
M,25230000,22000000,4146510700,2022,47230000
M,26130000,1710000,4273000000,2022,27840000
F,27160000,19030000,4146510700,2023,46190000
M,40360000,7210000,4291000000,2020,47570000
M,30110000,1320000,4111100000,2020,31430000
M,4460000,7170000,4111100000,2024,11630000
F,47610000,21070000,4273000000,2021,68680000
M,10790000,19530000,4280000000,2024,30320000
M,12310000,21060000,4111100000,2020,33370000
M,560000,14740000,4211000000,2023,15300000
M,13720000,28540000,4279000000,2021,42260000
F,40110000,9080000,4111100000,2023,49190000
M,10150000,4880000,4279000000,2024,15030000
F,650000,21740000,4146510700,2022,22390000
F,44340000,19530000,GANGWON,2023,63870000
F,800000,2320000,4280000000,2024,3120000
M,9320000,17930000,4399000000,2024,27250000
F,5020000,9870000,GYEONGGI,2024,14890000
M,11550000,29560000,4280000000,2022,41110000
F,20810000,15230000,GYEONGGI,2022,36040000
F,26760000,8170000,4146510700,2022,34930000
F,15430000,23940000,4280000000,2021,39370000
F,35640000,7690000,4399000000,2022,43330000
F,39540000,28470000,GYEONGGI,2022,68010000
F,10340000,7050000,4273000000,2022,17390000
F,26620000,5440000,4211000000,2023,32060000
F,32380000,6070000,4280000000,2022,38450000
M,6200000,190000,4146510700,2021,6390000
M,44100000,1920000,4111100000,2024,46020000
F,12830000,4790000,4399000000,2023,17620000
F,30640000,9200000,GYEONGGI,2020,39840000
F,12120000,19890000,GYEONGGI,2022,32010000
M,23110000,11600000,4211000000,2024,34710000
F,27750000,3800000,GYEONGGI,2024,31550000
M,43620000,16500000,4279000000,2023,60120000
M,43400000,970000,4291000000,2020,44370000
M,46380000,29840000,4279000000,2021,76220000
M,28040000,4030000,GYEONGGI,2024,32070000
M,18640000,22190000,4399000000,2024,40830000
F,27510000,550000,4280000000,2024,28060000
F,45510000,610000,4146510700,2024,46120000
F,15850000,440000,4111100000,2023,16290000
F,12150000,8220000,4280000000,2020,20370000
F,43540000,16110000,4273000000,2024,59650000
M,46410000,12230000,4280000000,2021,58640000
F,13980000,13640000,4280000000,2021,27620000
F,40950000,27040000,4146510700,2022,67990000
M,24720000,21920000,4211000000,2024,46640000
F,47840000,5120000,GYEONGGI,2024,52960000
M,20270000,22670000,4211000000,2024,42940000
F,27530000,17320000,4273000000,2024,44850000
M,45620000,29770000,GANGWON,2024,75390000
F,5400000,22670000,4111100000,2021,28070000
F,28200000,3640000,4279000000,2020,31840000
M,4150000,10460000,4111100000,2020,14610000
M,46020000,8380000,GYEONGGI,2022,54400000
M,29480000,12950000,4111100000,2021,42430000
M,33350000,19670000,4291000000,2024,53020000
M,23160000,21820000,4279000000,2020,44980000
M,37190000,11550000,4273000000,2023,48740000
M,3280000,7900000,GYEONGGI,2023,11180000
M,17450000,17790000,4399000000,2023,35240000
F,48510000,270000,4273000000,2024,48780000
F,22190000,530000,4291000000,2024,22720000
M,44880000,5270000,4279000000,2022,50150000
F,20220000,18640000,4146510700,2022,38860000
F,8430000,16220000,4291000000,2022,24650000
F,15140000,9200000,4273000000,2023,24340000
F,15460000,27770000,GYEONGGI,2024,43230000
M,31770000,26480000,GANGWON,2023,58250000
F,22220000,26080000,GYEONGGI,2022,48300000
M,13600000,29870000,4279000000,2024,43470000
F,1370000,1120000,GANGWON,2021,2490000
F,29010000,10200000,4211000000,2020,39210000
F,40900000,4590000,4279000000,2020,45490000
M,1430000,5090000,4279000000,2022,6520000
F,35210000,13050000,4291000000,2023,48260000
M,34090000,23730000,GYEONGGI,2021,57820000
F,26730000,29590000,4273000000,2024,56320000
M,16370000,22790000,4146510700,2023,39160000
F,39380000,20250000,4111100000,2022,59630000
M,11210000,28700000,4280000000,2023,39910000
M,23680000,29310000,4146510700,2022,52990000
F,30220000,15940000,4111100000,2020,46160000
M,44440000,11040000,4211000000,2020,55480000
F,40100000,4640000,4273000000,2023,44740000
F,24560000,10530000,GYEONGGI,2021,35090000
F,10990000,8890000,4399000000,2024,19880000
F,40920000,28600000,4279000000,2022,69520000
F,26260000,9010000,4146510700,2024,35270000
F,39990000,2020000,4111100000,2020,42010000
F,21820000,19790000,4399000000,2021,41610000
F,21590000,15960000,4146510700,2021,37550000
F,37020000,27690000,4273000000,2024,64710000
F,36310000,19170000,GYEONGGI,2020,55480000
F,8970000,14510000,GANGWON,2024,23480000
M,36180000,28640000,4146510700,2023,64820000
M,28990000,1760000,4146510700,2021,30750000
F,17640000,10820000,GYEONGGI,2021,28460000
F,16150000,19620000,4211000000,2023,35770000
F,9960000,25800000,4291000000,2020,35760000
F,7540000,27560000,4146510700,2021,35100000
F,5380000,5360000,GYEONGGI,2022,10740000
F,12150000,15840000,4291000000,2022,27990000
F,14510000,880000,GYEONGGI,2020,15390000
F,19670000,25630000,GYEONGGI,2023,45300000
M,23060000,15230000,4211000000,2024,38290000
F,48110000,15530000,GYEONGGI,2020,63640000
M,23590000,6220000,4273000000,2024,29810000
F,18980000,13940000,4146510700,2020,32920000
F,39240000,14640000,4111100000,2022,53880000
M,2630000,7850000,4111100000,2023,10480000
F,3130000,29980000,4111100000,2022,33110000
M,27430000,23910000,GYEONGGI,2023,51340000
