Gender,Bank_Loan,Capital_Loan,Region_Code,Year
M,43350000,1360000,4211000000,2023
F,42890000,19150000,4111100000,2020
M,10000,16380000,4399000000,2023
M,25230000,22000000,4146510700,2022
M,26130000,1710000,4273000000,2022
F,27160000,19030000,4146510700,2023
M,40360000,7210000,4291000000,2020
M,30110000,1320000,4111100000,2020
M,4460000,7170000,4111100000,2024
F,47610000,21070000,4273000000,2021
M,10790000,19530000,4280000000,2024
M,12310000,21060000,4111100000,2020
M,560000,14740000,4211000000,2023
M,13720000,28540000,4279000000,2021
F,40110000,9080000,4111100000,2023
M,10150000,4880000,4279000000,2024
F,650000,21740000,4146510700,2022
F,44340000,19530000,GANGWON,2023
F,800000,2320000,4280000000,2024
M,9320000,17930000,4399000000,2024
F,5020000,9870000,GYEONGGI,2024
M,11550000,29560000,4280000000,2022
F,20810000,15230000,GYEONGGI,2022
F,26760000,8170000,4146510700,2022
F,15430000,23940000,4280000000,2021
F,35640000,7690000,4399000000,2022
F,39540000,28470000,GYEONGGI,2022
F,10340000,7050000,4273000000,2022
F,26620000,5440000,4211000000,2023
F,32380000,6070000,4280000000,2022
M,6200000,190000,4146510700,2021
M,44100000,1920000,4111100000,2024
F,12830000,4790000,4399000000,2023
F,30640000,9200000,GYEONGGI,2020
F,12120000,19890000,GYEONGGI,2022
M,23110000,11600000,4211000000,2024
F,27750000,3800000,GYEONGGI,2024
M,43620000,16500000,4279000000,2023
M,43400000,970000,4291000000,2020
M,46380000,29840000,4279000000,2021
M,28040000,4030000,GYEONGGI,2024
M,18640000,22190000,4399000000,2024
F,27510000,550000,4280000000,2024
F,45510000,610000,4146510700,2024
F,15850000,440000,4111100000,2023
F,12150000,8220000,4280000000,2020
F,43540000,16110000,4273000000,2024
M,46410000,12230000,4280000000,2021
F,13980000,13640000,4280000000,2021
F,40950000,27040000,4146510700,2022
M,24720000,21920000,4211000000,2024
F,47840000,5120000,GYEONGGI,2024
M,20270000,22670000,4211000000,2024
F,27530000,17320000,4273000000,2024
M,45620000,29770000,GANGWON,2024
F,5400000,22670000,4111100000,2021
F,28200000,3640000,4279000000,2020
M,4150000,10460000,4111100000,2020
