customer_id,visit_count,page_time,ad_clicks,promotion_budget,sales
1,38,132,7,3391,35585
2,20,187,10,5743,43473
3,21,125,11,3572,17894
4,16,238,13,4223,37679
5,32,90,9,2808,27819
6,7,71,10,4225,26405
7,39,76,5,5527,18089
8,19,110,8,4897,47505
9,28,100,11,2978,34961
10,23,238,13,7206,61642
11,37,135,9,5506,29043
12,9,90,15,6512,33062
13,22,200,14,6178,46551
14,22,124,10,4003,25973
15,34,94,4,2082,42006
16,16,189,6,3627,25171
17,24,178,8,6838,45482
18,18,130,13,3420,34274
19,25,213,11,6224,36216
20,30,156,5,4081,22809
21,16,223,9,5590,36572
22,34,173,14,2264,48842
23,32,220,9,6751,36256
24,29,155,8,4940,23757
25,32,95,15,6329,36607
26,20,260,10,5285,34935
27,24,125,9,6197,39710
28,18,141,11,4847,39693
29,23,118,10,6115,35314
30,29,141,9,2736,22720
31,19,161,13,3379,38676
32,22,159,13,6088,48192
33,20,180,12,4941,37791
34,18,231,10,4657,35036
35,20,145,13,4731,37849
36,25,95,10,5753,44325
37,16,97,11,4110,28161
38,27,120,13,5765,43889
39,38,75,12,3626,41407
40,31,187,14,4389,50919
41,23,128,11,6477,53859
42,18,136,6,6607,34262
43,19,150,7,3354,30394
44,39,87,13,6258,29124
45,25,111,9,3441,35278
46,20,180,11,6100,61748
47,27,178,8,2152,17443
48,42,130,13,3324,29901
49,26,231,9,4237,30147
50,30,91,14,4750,52971
51,27,134,9,7135,41460
52,22,140,13,6356,37521
53,16,24,12,7363,38921
54,22,237,8,6810,44801
55,23,166,13,4576,46912
56,30,103,8,4601,54699
57,32,242,8,6603,45869
58,32,176,12,5061,43978
59,27,169,8,4765,36728
60,32,123,9,2997,25993
61,19,155,9,4840,20969
62,35,81,7,1000,23563
63,29,186,13,4316,45891
64,23,133,12,3530,21114
65,29,156,10,6039,31548
66,24,204,10,4282,30007
67,34,163,11,4506,40129
68,37,162,14,7021,45869
69,42,162,12,3426,43577
70,14,117,9,5475,31768
71,13,188,12,2157,43304
72,21,219,10,5135,17325
73,26,184,10,5615,53273
74,32,190,15,6290,63676
75,28,111,9,3652,30394
76,9,111,9,5479,36556
77,23,85,5,5477,29547
78,32,205,6,4971,20238
79,27,139,11,5225,38784
80,31,213,8,5695,41351
81,23,115,11,5597,39890
82,23,130,7,3506,35693
83,26,154,8,3206,28284
84,28,191,12,8759,47066
85,27,153,14,7880,40291
86,26,160,11,2912,29494
87,20,151,13,5675,36364
88,28,158,14,5941,62772
89,26,100,13,6127,44608
90,34,154,8,5211,21750
91,35,142,10,3610,37688
92,26,147,12,4726,36320
93,22,172,9,4263,-722
94,20,119,11,5202,40529
95,28,146,6,4597,9602
96,26,137,8,4802,35763
97,22,169,11,6528,29002
98,25,185,4,6846,10280
99,20,107,7,3228,28608
100,31,176,10,4310,19171
101,21,243,6,3814,19993
102,35,84,10,6836,40339
103,28,113,8,4911,36270
104,30,110,9,7173,43938
105,16,137,9,4284,28972
106,26,223,10,5039,27142
107,31,151,9,2977,49711
108,17,119,10,6954,29686
109,23,178,8,4456,47955
110,25,123,11,2772,27615
111,14,201,14,4111,52317
112,28,164,10,1543,40243
113,32,212,10,4952,25625
114,18,120,7,5169,30366
115,28,286,12,5432,49771
116,15,187,8,7247,40148
117,25,179,8,4549,27763
118,12,148,11,6211,39525
119,34,117,10,5468,32131
120,28,111,13,4710,28077
121,25,144,14,1885,47636
122,19,114,9,6421,27383
123,35,163,10,4244,49238
124,41,113,14,5027,51291
125,10,178,12,3094,24071
126,35,193,12,5424,40040
127,38,118,13,5162,39784
128,28,204,8,5044,22548
129,15,139,12,4798,41651
130,32,202,14,6574,42618
131,24,170,14,6449,62395
132,20,201,8,6089,40861
133,15,105,9,9982,29378
134,29,145,11,4100,35380
135,31,215,9,4431,30948
136,20,122,9,3478,12232
137,29,58,12,5654,48675
138,16,63,9,3969,37501
139,31,37,6,1000,27891
140,25,55,11,3180,27237
141,24,131,9,5108,43059
142,24,208,8,6515,31300
143,32,130,6,2665,32428
144,31,165,13,4081,59168
145,29,145,4,4791,23336
146,26,150,6,3907,9524
147,26,142,9,5797,30417
148,30,142,13,5006,48129
149,27,171,13,5482,54869
150,30,97,7,3912,14472
151,23,195,10,7305,36740
152,6,191,6,4999,25760
153,33,141,13,6940,49807
154,42,186,6,4342,37574
155,29,118,10,5885,26302
156,24,126,13,3981,34120
157,24,157,9,3574,40189
158,24,141,14,3943,44840
159,25,130,8,4931,34367
160,16,120,11,4672,45638
161,21,125,12,7309,42645
162,17,192,10,3277,36204
163,27,63,13,3364,33731
164,23,166,11,7550,26912
165,29,139,6,5913,14584
166,24,183,20,2178,51910
167,33,173,12,5746,39558
168,27,25,10,5356,26685
169,43,176,7,1783,29197
170,10,165,10,4446,21969
171,20,151,9,4974,32564
172,32,129,12,6097,41187
173,45,188,11,6432,34225
174,23,131,15,5144,20896
175,25,233,10,6550,53382
176,23,175,11,4781,39471
177,36,246,11,3714,10078
178,23,115,10,3599,26724
179,30,71,10,5814,39508
180,22,182,13,2063,33362
181,15,188,12,6017,45304
182,28,152,8,3340,17775
183,29,81,7,4461,28535
184,35,130,10,5758,36521
185,24,178,13,6827,42281
186,20,142,10,2089,26163
187,30,145,14,3791,43653
188,27,142,8,5074,40136
189,27,108,10,4106,27085
190,24,126,4,6292,19131
191,34,86,9,1870,29098
192,28,230,9,5543,33685
193,40,129,11,5639,43801
194,34,171,14,5074,52279
195,30,104,10,6653,50727
196,12,186,14,3156,36907
197,30,66,12,6663,17528
198,28,191,12,3946,37248
199,31,148,9,6088,38778
200,33,245,13,4514,40791
