show_id,type,title,director,country,date_added,release_year,rating,duration
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min
s2,TV Show ,Blood & Water,,South Africa,2021-09-24,2021,TV-MA,2 Seasons
s3,TV Show,Ganglands,Julien Leclercq,United Kingdom,2021-09-24,2021,TV-MA,1 Season
s4,TV Show,Jailbirds New Orleans,,United Kingdom,2021-09-24,2021,TV-MA,1 Season
s5,TV Show,Kota Factory,,India,2021-09-24,2021,TV-MA,2 Seasons
s6,TV Show,Midnight Mass,Mike Flanagan,United Kingdom,2021-09-24,2021,TV-MA,1 Season
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, Jos Luis Ucha",United Kingdom,2021-09-24,2021,PG,91 min
s8,Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,1993,TV-MA,125 min
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,2021-09-24,2021,TV-MA,1 Season
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,United Kingdom,2021-09-23,2021,TV-MA,1 Season
s13,Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic",2021-09-23,2021,TV-MA,127 min
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,United Kingdom,2021-09-22,2021,TV-PG,91 min
s15,TV Show,Crime Stories: India Detectives,,,2021-09-22,2021,TV-MA,1 Season
s16,TV Show,Dear White People,,United States,2021-09-22,2021,TV-MA,4 Seasons
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave ,,2021-09-22,2020,TV-MA,67 min
s18,TV Show,Falsa identidad,,Mexico,2021-09-22,2020,TV-MA,2 Seasons
s19,Movie,Intrusion,Adam Salky,United Kingdom,2021-09-22,2021,TV-14,94 min
s20,TV Show,Jaguar,,United Kingdom,2021-09-22,2021,TV-MA,1 Season
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United Kingdom,2021-09-22,2021,TV-14,1 Season
s22,TV Show,Resurrection: Ertugrul,,Turkey,2021-09-22,2018,TV-14,5 Seasons
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,United Kingdom,2021-09-21,1996,TV-PG,161 min
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",,2021-09-21,2021,TV-Y,61 min
s25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166 min
s26,TV Show,Love on the Spectrum,,Australia,2021-09-21,2021,TV-14,2 Seasons
s27,Movie,Minsara Kanavu,Rajiv Menon,United Kingdom,2021-09-21,1997,TV-PG,147 min
s28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103 min
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97 min
s30,Movie,Paranoia,Robert Luketic,"United States, India, France",2021-09-19,2013,PG-13,106 min
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,2021-09-17,2021,TV-14,111 min
s32,TV Show,Chicago Party Aunt,,United Kingdom,2021-09-17,2021,TV-MA,1 Season
s33,TV Show,Sex Education,,United Kingdom,2021-09-17,2020,TV-MA,3 Seasons
s34,TV Show,Squid Game,,United Kingdom,2021-09-17,2021,TV-MA,1 Season
s35,TV Show,Tayo and Little Wizards,,United Kingdom,2021-09-17,2020,TV-Y7,1 Season
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,United Kingdom,2021-09-17,2021,TV-MA,110 min
s37,Movie,The Stronghold,Jimenez,United Kingdom,2021-09-17,2021,TV-MA,105 min
s38,TV Show,Angry Birds,,Finland,2021-09-16,2018,TV-Y7,1 Season
s39,Movie,Birth of the Dragon,George Nolfi,"China, Canada, United States",2021-09-16,2017,PG-13,96 min
s40,TV Show,Chhota Bheem,,India,2021-09-16,2021,TV-Y7,3 Seasons
s41,TV Show,He-Man and the Masters of the Universe,,United States,2021-09-16,2021,TV-Y7,1 Season
s42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124 min
s43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116 min
s44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98 min
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91 min
s46,Movie,My Heroes Were Cowboys,Tyler Greco,United Kingdom,2021-09-16,2021,PG,23 min
s47,Movie,Safe House,Daniel Espinosa,"South Africa, United States, Japan",2021-09-16,2012,R,115 min
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,United Kingdom,2021-09-16,2020,TV-MA,1 Season
s49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122 min
s50,TV Show,Castle and Castle,,Nigeria,2021-09-15,2021,TV-MA,2 Seasons
s51,TV Show,Dharmakshetra,,India,2021-09-15,2014,TV-PG,1 Season
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99 min
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99 min
