ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
9902,F,Ship,3,5,214,2,medium,F,6,4578,0
9501,A,Ship,4,2,201,3,medium,F,4,4613,0
6111,A,Ship,4,2,264,3,low,M,10,5137,1
588,F,Ship,3,5,194,2,medium,M,4,3496,1
10806,F,Road,5,5,269,5,medium,F,3,1120,0
2138,F,Ship,5,3,239,4,low,M,3,3734,1
6096,F,Ship,6,4,195,5,high,F,10,4225,0
7376,F,Road,3,1,194,2,medium,F,1,5931,0
8145,A,Ship,4,5,266,3,medium,F,2,4867,0
8800,B,Ship,2,4,248,3,low,F,7,4142,0
5830,B,Ship,4,5,207,2,low,F,3,5270,1
4494,F,Ship,5,2,219,4,low,F,7,4787,1
4761,A,Ship,6,5,290,4,medium,M,2,1867,1
4518,F,Flight,5,4,219,4,low,F,8,4540,0
7432,B,Ship,3,2,166,2,medium,M,6,4765,0
4003,D,Ship,4,1,202,3,low,M,4,4029,0
1382,F,Flight,3,2,243,2,low,F,38,3850,1
6955,D,Ship,3,2,245,2,low,F,7,4692,0
6207,A,Ship,3,2,177,4,low,F,3,4199,1
5378,F,Ship,5,1,170,4,high,M,6,5258,1
6795,A,Ship,4,3,134,10,medium,M,8,4337,0
1496,F,Road,4,3,199,2,low,F,28,2607,1
9246,F,Ship,4,3,174,3,medium,M,2,4069,1
8439,A,Ship,6,5,246,5,high,F,3,4660,1
386,F,Road,2,5,182,2,medium,F,57,2896,1
6535,D,Ship,4,5,242,2,low,M,4,5341,0
7865,C,Ship,5,3,143,3,low,M,6,4761,1
2176,B,Road,3,5,230,3,low,F,49,3477,1
331,D,Ship,3,4,197,3,medium,F,56,3427,1
8795,C,Ship,3,5,188,4,medium,M,3,4033,0
2120,F,Ship,3,3,218,3,low,M,19,3770,1
7774,B,Ship,6,1,214,2,low,M,5,4708,0
2423,C,Ship,3,2,154,2,high,F,4,1009,1
4639,D,Road,5,4,223,2,low,M,5,4424,1
1067,C,Ship,3,4,165,2,low,M,48,1706,1
5850,F,Ship,4,3,248,2,medium,M,2,4701,1
3327,A,Ship,4,2,156,3,low,M,3,5923,0
3318,F,Ship,5,3,141,3,low,M,9,4857,0
2901,A,Ship,3,3,274,3,low,M,6,2986,1
8737,D,Ship,4,4,229,2,low,F,9,5672,1
6152,F,Road,4,3,158,3,high,F,5,5602,0
3556,B,Road,4,1,173,3,low,F,5,5232,0
3892,B,Ship,3,4,243,2,high,M,7,4024,0
9449,C,Flight,4,2,223,6,low,F,10,1650,1
599,C,Ship,4,5,270,2,low,F,34,2821,1
5994,F,Ship,3,4,148,3,low,F,8,5267,1
3839,C,Flight,4,1,190,4,medium,F,5,5570,1
3514,B,Ship,3,2,262,4,low,M,1,4745,1
5195,C,Road,4,2,262,3,low,F,9,4941,0
2913,A,Ship,3,2,182,3,low,F,54,3972,1
8170,B,Ship,5,4,228,6,medium,M,5,4974,1
5768,F,Flight,5,4,259,5,low,F,2,1627,1
2031,A,Road,4,5,266,3,medium,M,5,3718,1
9760,B,Ship,4,5,135,3,low,F,6,4557,0
774,F,Ship,3,2,137,3,medium,F,23,1246,1
1641,A,Flight,3,2,227,3,medium,M,21,2351,1
7383,A,Road,6,3,232,5,high,M,10,4576,1
7664,F,Road,3,1,252,2,low,M,9,5050,0
6520,B,Ship,3,2,270,3,medium,M,9,5873,1
8576,F,Ship,3,1,269,8,medium,F,4,4290,0
5713,D,Ship,6,5,263,7,high,M,7,5216,1
7957,D,Flight,5,5,229,6,low,F,6,1857,0
7285,D,Ship,5,4,257,2,medium,M,10,5095,0
5298,F,Ship,3,2,263,3,medium,F,3,4181,0
7464,F,Ship,5,5,266,5,medium,M,7,1440,0
824,F,Flight,5,3,178,2,medium,F,60,1830,1
5851,D,Ship,2,4,114,5,high,F,5,5334,1
8308,B,Ship,6,2,254,4,low,F,9,1626,0
8451,A,Ship,4,3,214,2,medium,F,6,4345,0
1403,C,Ship,5,4,199,4,low,M,24,3443,1
5730,F,Road,4,5,175,3,medium,F,5,4194,0
2274,F,Ship,3,3,181,2,medium,M,58,3719,1
9052,B,Flight,2,1,271,3,low,M,1,4537,0
5709,A,Ship,3,2,174,3,low,M,3,4132,0
7934,F,Road,4,1,272,2,low,F,8,5328,1
6140,F,Road,4,5,222,3,medium,F,7,5844,0
6538,B,Ship,6,4,279,4,low,F,1,1246,1
809,C,Road,4,5,163,5,low,M,24,1658,1
2462,F,Flight,3,3,246,3,low,M,27,3648,1
10131,A,Road,5,1,151,3,medium,F,1,4981,0
3529,D,Ship,4,4,218,2,low,M,9,5637,0
4815,A,Ship,7,3,286,4,low,F,3,1670,0
1137,A,Ship,5,5,198,5,medium,M,36,2803,1
2580,F,Road,4,2,128,5,low,F,28,1247,1
7794,F,Road,3,5,241,3,low,F,5,4861,1
1011,A,Ship,2,5,228,2,low,F,49,3024,1
8580,F,Ship,5,1,181,3,low,F,3,5118,0
2998,B,Road,4,2,185,4,medium,F,36,2583,1
5892,F,Flight,3,3,255,2,medium,F,3,4824,0
3853,D,Flight,6,4,148,4,low,F,10,5088,0
2887,D,Flight,3,1,231,4,medium,F,60,3755,1
4769,C,Road,4,5,273,2,low,F,9,5724,0
9153,A,Road,7,2,267,4,medium,M,8,1285,0
2510,F,Ship,5,1,235,2,low,M,27,2451,1
2292,F,Ship,5,4,192,3,medium,M,46,3709,1
5400,F,Ship,5,1,263,3,medium,M,6,4505,1
5958,F,Ship,4,5,187,3,low,M,7,5022,1
3071,C,Ship,5,3,206,4,low,M,18,3104,1
8943,A,Ship,3,1,266,3,low,F,8,4574,0
6003,A,Road,6,4,282,4,low,M,6,1580,0
2588,F,Road,5,4,211,6,low,M,33,3955,1
2239,D,Ship,2,5,236,3,medium,F,13,2171,1
6873,A,Ship,2,3,164,5,low,M,7,1243,0
6114,F,Ship,4,2,252,2,high,F,4,5233,1
8780,F,Flight,4,2,257,2,high,M,3,4108,1
7596,F,Ship,5,2,269,2,medium,F,9,5672,0
2828,F,Ship,6,2,131,5,medium,F,5,1718,1
5813,C,Ship,6,1,141,5,low,F,9,5113,0
32,F,Ship,5,3,257,2,low,F,61,3341,1
10257,A,Road,2,2,163,3,low,M,5,5887,0
4504,B,Road,3,5,174,6,medium,F,7,4608,0
3369,A,Ship,4,2,296,2,medium,F,2,1233,0
4651,D,Road,3,2,180,2,high,F,8,4408,0
10337,C,Ship,3,3,214,3,medium,M,3,4056,1
5582,F,Ship,5,5,266,2,medium,M,7,5712,1
4237,D,Road,3,4,247,2,medium,F,2,5016,1
6580,B,Flight,5,5,240,6,medium,F,9,1117,0
2836,B,Ship,3,3,186,3,low,M,24,3262,1
8390,F,Ship,3,1,226,2,low,M,7,4703,0
6323,C,Ship,3,3,176,3,low,F,1,5168,0
8545,D,Ship,3,1,188,4,medium,F,8,5884,1
8164,B,Ship,5,1,146,3,high,F,3,4345,1
9193,D,Flight,7,1,280,5,low,M,10,1199,1
3280,B,Road,3,2,243,2,low,F,5,4769,0
4634,F,Road,4,3,134,4,low,M,3,5233,0
10598,F,Ship,2,2,258,3,medium,F,3,5365,1
10776,F,Ship,5,3,230,5,low,M,7,1996,0
1344,F,Road,4,5,218,3,low,M,25,2682,1
4725,A,Ship,5,3,199,4,medium,F,8,5362,0
160,B,Ship,3,3,149,3,low,F,63,1946,1
7473,A,Ship,4,4,254,5,low,M,2,1573,1
10301,C,Ship,4,2,207,3,medium,F,5,4702,1
8819,C,Ship,4,5,234,5,low,F,2,1087,1
7300,B,Ship,5,4,250,4,low,M,2,4183,0
1671,A,Ship,4,2,209,4,low,F,10,3370,1
1321,D,Ship,5,1,134,3,high,F,12,1775,1
10050,F,Ship,4,2,239,4,medium,M,8,4039,0
5419,D,Ship,5,5,209,2,low,F,3,4348,0
5031,A,Ship,6,3,281,4,medium,F,7,1599,1
2969,C,Ship,4,3,165,3,low,M,4,1484,1
10773,A,Ship,4,4,229,5,medium,F,7,1716,1
6020,F,Road,6,5,282,4,medium,M,3,1385,0
5365,D,Ship,4,1,200,2,low,M,5,5072,1
4835,C,Ship,3,3,153,3,medium,M,5,4578,1
788,F,Ship,5,1,160,3,medium,F,22,1693,1
5281,D,Ship,6,5,261,4,low,F,3,1217,1
1146,F,Ship,5,1,186,10,low,M,64,2529,1
5888,F,Flight,3,2,227,2,medium,M,10,4290,0
460,B,Ship,5,2,168,3,low,M,26,1526,1
1600,B,Ship,3,3,198,3,low,M,49,2446,1
10296,F,Ship,5,5,132,4,low,F,8,4339,1
5266,B,Ship,6,3,282,4,medium,M,3,1661,0
3968,F,Road,3,1,135,2,low,M,7,5682,0
182,F,Ship,4,5,157,3,low,M,20,1487,1
441,A,Ship,3,5,251,2,high,M,23,2426,1
801,A,Road,5,5,170,2,medium,F,36,1278,1
3115,D,Ship,4,2,217,3,low,M,1,3133,1
6687,A,Road,4,5,105,5,high,M,4,5824,1
8151,A,Ship,3,3,164,3,high,M,9,5070,0
5206,B,Flight,3,5,247,3,low,F,4,5891,1
8582,F,Ship,4,4,243,5,medium,M,10,4356,0
140,F,Flight,5,1,237,2,low,F,10,3860,1
4331,C,Ship,5,2,168,4,low,M,10,5373,1
10841,C,Ship,3,1,139,2,medium,M,2,4534,0
4097,C,Road,3,5,215,3,low,M,4,4828,1
2832,F,Ship,4,2,167,3,low,M,21,1637,1
10957,D,Flight,4,3,192,4,high,M,7,4949,0
664,B,Road,3,2,178,2,medium,F,22,1247,1
2534,F,Ship,3,4,229,3,medium,F,46,3223,1
5137,D,Ship,4,1,273,4,low,M,1,4857,0
4164,F,Ship,2,5,221,3,low,M,2,5847,0
2179,D,Road,3,5,161,3,medium,F,10,1978,1
9543,A,Ship,3,1,242,5,low,F,3,4026,0
4047,A,Ship,4,5,233,4,low,F,6,4652,0
4870,B,Ship,3,2,264,3,low,F,8,5831,0
1309,D,Ship,5,4,141,3,medium,M,64,1677,1
3235,D,Ship,5,3,169,2,low,M,8,5352,1
4967,C,Ship,4,1,198,3,medium,F,1,4090,0
5387,C,Ship,4,4,219,2,medium,M,7,4604,0
10040,F,Ship,5,3,229,2,medium,F,1,5294,1
7435,D,Ship,5,1,171,2,low,M,9,5252,0
8703,A,Ship,4,3,228,3,medium,F,1,5408,1
4028,F,Ship,4,5,249,2,medium,F,10,4562,0
3747,A,Ship,2,2,180,2,high,M,1,4407,0
3642,F,Ship,5,1,162,3,medium,M,5,4064,1
8465,C,Ship,4,3,241,2,medium,M,3,4636,1
6736,B,Ship,6,4,235,6,low,M,1,5533,1
2680,B,Ship,3,1,185,2,low,F,41,3787,1
1402,B,Ship,3,5,152,6,low,F,32,1158,1
1994,F,Ship,4,3,239,3,low,F,28,2741,1
531,A,Road,3,2,237,2,high,M,26,3103,1
1929,A,Flight,5,5,177,2,high,F,31,2000,1
5587,D,Ship,5,2,274,4,medium,F,7,4929,0
929,C,Ship,3,2,180,4,medium,M,55,1165,1
7454,F,Ship,6,5,305,4,low,F,6,1787,1
249,A,Road,2,2,134,3,low,F,38,1530,1
4447,D,Ship,6,3,219,4,medium,M,6,4885,1
7453,D,Ship,7,4,295,4,low,F,10,1217,1
10430,F,Ship,5,4,222,3,medium,M,8,5559,1
3193,D,Ship,4,5,273,3,medium,M,2,4374,0
329,C,Ship,5,1,274,2,medium,M,24,2423,1
9593,C,Flight,4,3,249,4,medium,M,10,5614,0
1219,D,Road,4,4,184,4,medium,M,8,2306,1
4282,B,Ship,4,2,224,3,medium,F,3,4511,0
6528,F,Ship,5,3,222,3,medium,F,10,4597,0
4863,A,Ship,4,3,223,3,low,F,10,5560,1
10478,F,Ship,5,1,248,5,low,M,3,1642,1
1612,B,Ship,3,5,153,2,low,F,44,1585,1
7716,F,Ship,5,5,262,5,low,M,6,1887,1
8623,D,Road,4,2,261,5,medium,M,5,1073,1
7358,F,Ship,2,4,268,4,low,M,5,4400,1
2249,C,Ship,5,1,189,3,medium,M,13,3492,1
2065,D,Flight,3,4,156,4,medium,F,7,1492,1
8931,A,Ship,6,3,273,5,low,M,8,1746,1
5573,C,Ship,3,1,225,3,medium,M,2,4284,0
2722,B,Road,4,4,238,3,low,F,13,2042,1
1177,D,Ship,6,4,269,2,high,M,47,4000,1
7343,C,Ship,4,4,238,3,low,F,7,4709,0
1570,B,Ship,5,1,129,5,medium,M,35,1458,1
8006,F,Ship,6,3,247,4,low,F,6,1537,0
2295,A,Ship,4,5,155,4,high,F,54,1408,1
9354,F,Ship,6,3,285,4,medium,F,1,1606,0
5285,C,Ship,7,4,305,4,medium,F,6,1873,0
6174,F,Flight,5,3,269,5,low,F,8,5833,1
2694,F,Ship,3,1,202,3,low,F,51,3551,1
3066,F,Ship,3,3,243,3,medium,F,27,2052,1
10795,D,Ship,5,5,224,5,low,F,7,1505,0
473,C,Ship,2,2,189,4,low,M,9,3413,1
4745,C,Ship,4,1,205,3,low,F,10,4923,0
4541,C,Ship,3,2,255,7,low,F,3,5936,0
7509,A,Road,6,4,290,4,low,M,3,1710,0
10924,B,Ship,5,5,221,5,low,F,3,1220,0
3770,F,Ship,3,1,196,3,medium,M,8,4516,0
1280,F,Ship,3,2,213,2,medium,F,54,2809,1
533,C,Road,4,3,192,3,low,F,43,3498,1
10043,C,Ship,4,4,200,3,low,F,7,5807,1
8360,F,Flight,6,3,255,4,medium,F,8,1805,0
2491,D,Ship,4,5,268,2,high,M,32,3675,1
5960,F,Ship,3,4,133,8,medium,F,10,5439,1
8461,D,Ship,3,5,167,2,medium,F,8,5083,0
6695,C,Road,5,3,261,4,medium,F,5,4623,1
5826,F,Ship,4,4,272,3,low,M,9,5458,0
7106,F,Road,6,2,278,4,high,F,8,1967,0
9436,B,Road,6,4,256,4,medium,F,9,1791,0
130,B,Road,4,5,224,4,medium,M,21,2026,1
10416,F,Flight,5,4,259,6,low,M,1,1206,1
2200,B,Flight,5,5,216,2,high,M,33,3202,1
8803,D,Ship,3,3,211,3,medium,M,3,5379,1
6464,F,Ship,3,2,131,5,low,F,8,5084,0
8998,B,Ship,4,2,184,3,medium,F,5,5931,1
9655,D,Ship,6,3,304,4,low,M,5,1215,1
5908,B,Flight,4,3,96,4,medium,M,1,4984,1
822,F,Flight,2,1,98,3,low,F,29,1806,1
4040,F,Ship,4,3,129,6,medium,F,5,5626,0
2671,D,Ship,5,2,246,2,low,F,4,3617,1
9064,B,Ship,6,2,225,4,low,M,6,5787,1
9855,A,Road,3,3,274,3,low,F,5,5981,1
7114,B,Road,4,5,213,3,low,F,7,4490,0
8577,A,Ship,4,1,224,2,low,F,6,4454,1
2660,F,Ship,5,5,145,3,medium,F,37,1993,1
3994,B,Ship,3,3,221,3,high,M,5,4568,1
1925,C,Flight,3,3,219,2,low,F,41,3932,1
1151,C,Ship,3,4,148,10,high,F,12,1779,1
2776,B,Ship,4,1,178,3,low,M,19,1906,1
10540,B,Road,4,1,171,3,medium,M,10,5971,0
3586,B,Ship,4,5,214,2,low,M,3,5546,0
1516,B,Flight,4,4,261,3,low,F,33,3678,1
2950,B,Ship,3,5,207,4,low,F,45,3770,1
2551,D,Ship,3,1,178,3,low,F,11,1481,1
3690,F,Road,4,3,266,3,low,M,9,5621,1
7850,F,Ship,6,3,170,4,low,M,1,4912,0
