Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Ship,3,5,214,2,medium,F,6,4578,No
A,Ship,4,2,201,3,medium,F,4,4613,No
A,Ship,4,2,264,3,low,M,10,5137,Yes
F,Ship,3,5,194,2,medium,M,4,3496,Yes
F,Road,5,5,269,5,medium,F,3,1120,No
F,Ship,5,3,239,4,low,M,3,3734,Yes
F,Ship,6,4,195,5,high,F,10,4225,No
F,Road,3,1,194,2,medium,F,1,5931,No
A,Ship,4,5,266,3,medium,F,2,4867,No
B,Ship,2,4,248,3,low,F,7,4142,No
B,Ship,4,5,207,2,low,F,3,5270,Yes
F,Ship,5,2,219,4,low,F,7,4787,Yes
A,Ship,6,5,290,4,medium,M,2,1867,Yes
F,Flight,5,4,219,4,low,F,8,4540,No
B,Ship,3,2,166,2,medium,M,6,4765,No
D,Ship,4,1,202,3,low,M,4,4029,No
F,Flight,3,2,243,2,low,F,38,3850,Yes
D,Ship,3,2,245,2,low,F,7,4692,No
A,Ship,3,2,177,4,low,F,3,4199,Yes
F,Ship,5,1,170,4,high,M,6,5258,Yes
A,Ship,4,3,134,10,medium,M,8,4337,No
F,Road,4,3,199,2,low,F,28,2607,Yes
F,Ship,4,3,174,3,medium,M,2,4069,Yes
A,Ship,6,5,246,5,high,F,3,4660,Yes
F,Road,2,5,182,2,medium,F,57,2896,Yes
D,Ship,4,5,242,2,low,M,4,5341,No
C,Ship,5,3,143,3,low,M,6,4761,Yes
B,Road,3,5,230,3,low,F,49,3477,Yes
D,Ship,3,4,197,3,medium,F,56,3427,Yes
C,Ship,3,5,188,4,medium,M,3,4033,No
F,Ship,3,3,218,3,low,M,19,3770,Yes
B,Ship,6,1,214,2,low,M,5,4708,No
C,Ship,3,2,154,2,high,F,4,1009,Yes
D,Road,5,4,223,2,low,M,5,4424,Yes
C,Ship,3,4,165,2,low,M,48,1706,Yes
F,Ship,4,3,248,2,medium,M,2,4701,Yes
A,Ship,4,2,156,3,low,M,3,5923,No
F,Ship,5,3,141,3,low,M,9,4857,No
A,Ship,3,3,274,3,low,M,6,2986,Yes
D,Ship,4,4,229,2,low,F,9,5672,Yes
F,Road,4,3,158,3,high,F,5,5602,No
B,Road,4,1,173,3,low,F,5,5232,No
B,Ship,3,4,243,2,high,M,7,4024,No
C,Flight,4,2,223,6,low,F,10,1650,Yes
C,Ship,4,5,270,2,low,F,34,2821,Yes
F,Ship,3,4,148,3,low,F,8,5267,Yes
C,Flight,4,1,190,4,medium,F,5,5570,Yes
B,Ship,3,2,262,4,low,M,1,4745,Yes
C,Road,4,2,262,3,low,F,9,4941,No
A,Ship,3,2,182,3,low,F,54,3972,Yes
B,Ship,5,4,228,6,medium,M,5,4974,Yes
F,Flight,5,4,259,5,low,F,2,1627,Yes
A,Road,4,5,266,3,medium,M,5,3718,Yes
B,Ship,4,5,135,3,low,F,6,4557,No
F,Ship,3,2,137,3,medium,F,23,1246,Yes
A,Flight,3,2,227,3,medium,M,21,2351,Yes
A,Road,6,3,232,5,high,M,10,4576,Yes
F,Road,3,1,252,2,low,M,9,5050,No
B,Ship,3,2,270,3,medium,M,9,5873,Yes
F,Ship,3,1,269,8,medium,F,4,4290,No
D,Ship,6,5,263,7,high,M,7,5216,Yes
D,Flight,5,5,229,6,low,F,6,1857,No
D,Ship,5,4,257,2,medium,M,10,5095,No
F,Ship,3,2,263,3,medium,F,3,4181,No
F,Ship,5,5,266,5,medium,M,7,1440,No
F,Flight,5,3,178,2,medium,F,60,1830,Yes
D,Ship,2,4,114,5,high,F,5,5334,Yes
B,Ship,6,2,254,4,low,F,9,1626,No
A,Ship,4,3,214,2,medium,F,6,4345,No
C,Ship,5,4,199,4,low,M,24,3443,Yes
F,Road,4,5,175,3,medium,F,5,4194,No
F,Ship,3,3,181,2,medium,M,58,3719,Yes
B,Flight,2,1,271,3,low,M,1,4537,No
A,Ship,3,2,174,3,low,M,3,4132,No
F,Road,4,1,272,2,low,F,8,5328,Yes
F,Road,4,5,222,3,medium,F,7,5844,No
B,Ship,6,4,279,4,low,F,1,1246,Yes
C,Road,4,5,163,5,low,M,24,1658,Yes
F,Flight,3,3,246,3,low,M,27,3648,Yes
A,Road,5,1,151,3,medium,F,1,4981,No
D,Ship,4,4,218,2,low,M,9,5637,No
A,Ship,7,3,286,4,low,F,3,1670,No
A,Ship,5,5,198,5,medium,M,36,2803,Yes
F,Road,4,2,128,5,low,F,28,1247,Yes
F,Road,3,5,241,3,low,F,5,4861,Yes
A,Ship,2,5,228,2,low,F,49,3024,Yes
F,Ship,5,1,181,3,low,F,3,5118,No
B,Road,4,2,185,4,medium,F,36,2583,Yes
F,Flight,3,3,255,2,medium,F,3,4824,No
D,Flight,6,4,148,4,low,F,10,5088,No
D,Flight,3,1,231,4,medium,F,60,3755,Yes
C,Road,4,5,273,2,low,F,9,5724,No
A,Road,7,2,267,4,medium,M,8,1285,No
F,Ship,5,1,235,2,low,M,27,2451,Yes
F,Ship,5,4,192,3,medium,M,46,3709,Yes
F,Ship,5,1,263,3,medium,M,6,4505,Yes
F,Ship,4,5,187,3,low,M,7,5022,Yes
C,Ship,5,3,206,4,low,M,18,3104,Yes
A,Ship,3,1,266,3,low,F,8,4574,No
A,Road,6,4,282,4,low,M,6,1580,No
F,Road,5,4,211,6,low,M,33,3955,Yes
D,Ship,2,5,236,3,medium,F,13,2171,Yes
A,Ship,2,3,164,5,low,M,7,1243,No
F,Ship,4,2,252,2,high,F,4,5233,Yes
F,Flight,4,2,257,2,high,M,3,4108,Yes
F,Ship,5,2,269,2,medium,F,9,5672,No
F,Ship,6,2,131,5,medium,F,5,1718,Yes
C,Ship,6,1,141,5,low,F,9,5113,No
F,Ship,5,3,257,2,low,F,61,3341,Yes
A,Road,2,2,163,3,low,M,5,5887,No
B,Road,3,5,174,6,medium,F,7,4608,No
A,Ship,4,2,296,2,medium,F,2,1233,No
D,Road,3,2,180,2,high,F,8,4408,No
C,Ship,3,3,214,3,medium,M,3,4056,Yes
F,Ship,5,5,266,2,medium,M,7,5712,Yes
D,Road,3,4,247,2,medium,F,2,5016,Yes
B,Flight,5,5,240,6,medium,F,9,1117,No
B,Ship,3,3,186,3,low,M,24,3262,Yes
F,Ship,3,1,226,2,low,M,7,4703,No
C,Ship,3,3,176,3,low,F,1,5168,No
D,Ship,3,1,188,4,medium,F,8,5884,Yes
B,Ship,5,1,146,3,high,F,3,4345,Yes
D,Flight,7,1,280,5,low,M,10,1199,Yes
B,Road,3,2,243,2,low,F,5,4769,No
F,Road,4,3,134,4,low,M,3,5233,No
F,Ship,2,2,258,3,medium,F,3,5365,Yes
F,Ship,5,3,230,5,low,M,7,1996,No
F,Road,4,5,218,3,low,M,25,2682,Yes
A,Ship,5,3,199,4,medium,F,8,5362,No
B,Ship,3,3,149,3,low,F,63,1946,Yes
A,Ship,4,4,254,5,low,M,2,1573,Yes
C,Ship,4,2,207,3,medium,F,5,4702,Yes
C,Ship,4,5,234,5,low,F,2,1087,Yes
B,Ship,5,4,250,4,low,M,2,4183,No
A,Ship,4,2,209,4,low,F,10,3370,Yes
D,Ship,5,1,134,3,high,F,12,1775,Yes
F,Ship,4,2,239,4,medium,M,8,4039,No
D,Ship,5,5,209,2,low,F,3,4348,No
A,Ship,6,3,281,4,medium,F,7,1599,Yes
C,Ship,4,3,165,3,low,M,4,1484,Yes
A,Ship,4,4,229,5,medium,F,7,1716,Yes
F,Road,6,5,282,4,medium,M,3,1385,No
D,Ship,4,1,200,2,low,M,5,5072,Yes
C,Ship,3,3,153,3,medium,M,5,4578,Yes
F,Ship,5,1,160,3,medium,F,22,1693,Yes
D,Ship,6,5,261,4,low,F,3,1217,Yes
F,Ship,5,1,186,10,low,M,64,2529,Yes
F,Flight,3,2,227,2,medium,M,10,4290,No
B,Ship,5,2,168,3,low,M,26,1526,Yes
B,Ship,3,3,198,3,low,M,49,2446,Yes
F,Ship,5,5,132,4,low,F,8,4339,Yes
B,Ship,6,3,282,4,medium,M,3,1661,No
F,Road,3,1,135,2,low,M,7,5682,No
F,Ship,4,5,157,3,low,M,20,1487,Yes
A,Ship,3,5,251,2,high,M,23,2426,Yes
A,Road,5,5,170,2,medium,F,36,1278,Yes
D,Ship,4,2,217,3,low,M,1,3133,Yes
A,Road,4,5,105,5,high,M,4,5824,Yes
A,Ship,3,3,164,3,high,M,9,5070,No
B,Flight,3,5,247,3,low,F,4,5891,Yes
F,Ship,4,4,243,5,medium,M,10,4356,No
F,Flight,5,1,237,2,low,F,10,3860,Yes
C,Ship,5,2,168,4,low,M,10,5373,Yes
C,Ship,3,1,139,2,medium,M,2,4534,No
C,Road,3,5,215,3,low,M,4,4828,Yes
F,Ship,4,2,167,3,low,M,21,1637,Yes
D,Flight,4,3,192,4,high,M,7,4949,No
B,Road,3,2,178,2,medium,F,22,1247,Yes
F,Ship,3,4,229,3,medium,F,46,3223,Yes
D,Ship,4,1,273,4,low,M,1,4857,No
F,Ship,2,5,221,3,low,M,2,5847,No
D,Road,3,5,161,3,medium,F,10,1978,Yes
A,Ship,3,1,242,5,low,F,3,4026,No
A,Ship,4,5,233,4,low,F,6,4652,No
B,Ship,3,2,264,3,low,F,8,5831,No
D,Ship,5,4,141,3,medium,M,64,1677,Yes
D,Ship,5,3,169,2,low,M,8,5352,Yes
C,Ship,4,1,198,3,medium,F,1,4090,No
C,Ship,4,4,219,2,medium,M,7,4604,No
F,Ship,5,3,229,2,medium,F,1,5294,Yes
D,Ship,5,1,171,2,low,M,9,5252,No
A,Ship,4,3,228,3,medium,F,1,5408,Yes
F,Ship,4,5,249,2,medium,F,10,4562,No
A,Ship,2,2,180,2,high,M,1,4407,No
F,Ship,5,1,162,3,medium,M,5,4064,Yes
C,Ship,4,3,241,2,medium,M,3,4636,Yes
B,Ship,6,4,235,6,low,M,1,5533,Yes
B,Ship,3,1,185,2,low,F,41,3787,Yes
B,Ship,3,5,152,6,low,F,32,1158,Yes
F,Ship,4,3,239,3,low,F,28,2741,Yes
A,Road,3,2,237,2,high,M,26,3103,Yes
A,Flight,5,5,177,2,high,F,31,2000,Yes
D,Ship,5,2,274,4,medium,F,7,4929,No
C,Ship,3,2,180,4,medium,M,55,1165,Yes
F,Ship,6,5,305,4,low,F,6,1787,Yes
A,Road,2,2,134,3,low,F,38,1530,Yes
D,Ship,6,3,219,4,medium,M,6,4885,Yes
D,Ship,7,4,295,4,low,F,10,1217,Yes
F,Ship,5,4,222,3,medium,M,8,5559,Yes
D,Ship,4,5,273,3,medium,M,2,4374,No
