no,cause,result,season,daywk,dclr_hour,dclr_min,dsp_hour,dsp_min,spt_arvl_hour,spt_arvl_min
20114501201S00001,위치확인,기타,겨울,토요일,0,28,0,29,0,34
20114501201S00002,위치확인,기타,겨울,토요일,2,40,2,47,2,50
20114501201S00003,화재,기타,겨울,토요일,3,26,3,26,3,28
20114501201S00004,교통,기타,겨울,토요일,5,15,5,15,5,18
20114506103S00001,산악,인명구조,겨울,토요일,8,31,8,31,8,51
20114504201S00004,동물포획,기타,겨울,토요일,10,41,10,43,10,55
20114504201S00007,기타,기타,겨울,토요일,11,16,11,17,11,43
20114504107S00004,교통,인명구조,겨울,토요일,11,49,11,52,12,1
20114510104S00002,교통,인명구조,겨울,토요일,13,24,13,26,13,40
20114507201S00002,동물포획,기타,겨울,토요일,14,41,14,42,14,47
20114504201S00006,산악,인명구조,겨울,토요일,15,16,15,22,15,37
20114504101S00001,산악,인명구조,겨울,토요일,15,16,15,22,15,38
20114506103S00002,추락,인명구조,겨울,토요일,15,54,15,56,16,25
20114504107S00002,교통,인명구조,겨울,토요일,16,36,16,38,16,47
20114508201S00001,화재,안전조치,겨울,토요일,17,2,17,3,17,10
20114508201S00002,교통,안전조치,겨울,토요일,17,10,17,11,17,20
20114505201S00001,교통,기타,겨울,토요일,17,10,17,11,17,26
20114504201S00009,화재,인명검색,겨울,토요일,17,18,17,19,17,39
