주문일시,주문번호,매출구분명,결제수단,공급가액,부가세,합계
2021-06-01,B0YN00RRGV,기타매출,회원포인트,45 원,5 원,50 원
2021-06-01,B0YN00U9DS,기타매출,네이버페이,302 원,30 원,332 원
2021-06-01,B0YN01PR1R,카드매출,신용카드,"13,182 원","1,318 원","14,500 원"
2021-06-01,B0YN00QY6M,현금매출,네이버페이,"14,545 원","1,455 원","16,000 원"
2021-06-01,B0YN00RRGV,현금매출,배민페이(계좌이체),"11,318 원","1,132 원","12,450 원"
2021-06-01,B0YN00U9DS,현금매출,네이버페이,"12,516 원","1,252 원","13,768 원"
2021-06-01,B0YN01IL7J,현금매출,카카오페이,"10,909 원","1,091 원","12,000 원"
2021-06-01,B0YN01NZ1W,현금매출,카카오페이,"4,545 원",455 원,"5,000 원"
2021-06-02,B0YO00OE62,기타매출,쿠폰,"1,818 원",182 원,"2,000 원"
2021-06-02,B0YO00OE62,기타매출,회원포인트,182 원,18 원,200 원
2021-06-02,B0YO01N03E,기타매출,회원포인트,55 원,5 원,60 원
2021-06-02,B0YO00N7VI,카드매출,배민페이(카드결제),"4,545 원",455 원,"5,000 원"
2021-06-02,B0YO00OE62,카드매출,배민페이(카드결제),"12,091 원","1,209 원","13,300 원"
2021-06-02,B0YO00RMQS,카드매출,신용카드,"13,636 원","1,364 원","15,000 원"
2021-06-02,B0YO012KWB,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-02,B0YO01N03E,카드매출,배민페이(카드결제),"14,855 원","1,485 원","16,340 원"
2021-06-02,B0YO01NBAL,카드매출,신용카드,"18,364 원","1,836 원","20,200 원"
2021-06-02,B0YO00MJTE,현금매출,카카오페이,"14,091 원","1,409 원","15,500 원"
2021-06-02,B0YO01TGX5,현금매출,배민페이(계좌이체),"18,364 원","1,836 원","20,200 원"
2021-06-03,B0YP00KZOM,카드매출,신용카드,"21,818 원","2,182 원","24,000 원"
2021-06-03,B0YP010UP5,카드매출,신용카드,"16,091 원","1,609 원","17,700 원"
2021-06-03,B0YP011YEU,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-06-03,B0YP01A8TC,카드매출,신용카드,"15,273 원","1,527 원","16,800 원"
2021-06-03,B0YP01YYF3,카드매출,배민페이(카드결제),"10,909 원","1,091 원","12,000 원"
2021-06-03,B0YP01Z2IO,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-03,B0YP020RZI,카드매출,배민페이(카드결제),"14,091 원","1,409 원","15,500 원"
2021-06-03,B0YP00WJRE,현금매출,카카오페이,"25,455 원","2,545 원","28,000 원"
2021-06-04,B0YQ00EAC0,기타매출,네이버페이,35 원,4 원,39 원
2021-06-04,B0YQ00P9FX,기타매출,회원포인트,143 원,14 원,157 원
2021-06-04,B0YQ00TYWG,기타매출,쿠폰,"9,091 원",909 원,"10,000 원"
2021-06-04,B0YQ00TYWG,기타매출,회원포인트,182 원,18 원,200 원
2021-06-04,B0YQ01ZAT9,기타매출,회원포인트,455 원,45 원,500 원
2021-06-04,B0YQ01ZAT9,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-04,B0YQ00EAC0,카드매출,네이버페이,"13,692 원","1,369 원","15,061 원"
2021-06-04,B0YQ00P9FX,카드매출,배민페이(카드결제),"10,766 원","1,077 원","11,843 원"
2021-06-04,B0YQ00TYWG,카드매출,배민페이(카드결제),"5,455 원",545 원,"6,000 원"
2021-06-04,B0YQ01ZAT9,카드매출,배민페이(카드결제),"10,909 원","1,091 원","12,000 원"
2021-06-04,B0YQ012ORT,현금매출,네이버페이,"13,182 원","1,318 원","14,500 원"
2021-06-05,B0YR02BPV7,기타매출,회원포인트,91 원,9 원,100 원
2021-06-05,B0YR01XN72,카드매출,배민페이(카드결제),"12,455 원","1,245 원","13,700 원"
2021-06-05,B0YR024JDT,카드매출,신용카드,"11,818 원","1,182 원","13,000 원"
2021-06-05,B0YR025K7T,카드매출,신용카드,"20,636 원","2,064 원","22,700 원"
2021-06-05,B0YR02BPV7,카드매출,카카오페이,"21,636 원","2,164 원","23,800 원"
2021-06-05,B0YR027TRV,현금매출,토스,"13,182 원","1,318 원","14,500 원"
2021-06-06,B0YS012N4L,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-06,B0YS02EJ4D,기타매출,회원포인트,253 원,25 원,278 원
2021-06-06,B0YS02FC0L,기타매출,휴대폰,"11,364 원","1,136 원","12,500 원"
2021-06-06,B0YS012N4L,카드매출,신용카드,"11,818 원","1,182 원","13,000 원"
2021-06-06,B0YS016LKA,카드매출,신용카드,"15,182 원","1,518 원","16,700 원"
2021-06-06,B0YS017WK7,카드매출,신용카드,"17,455 원","1,745 원","19,200 원"
2021-06-06,B0YS01LCUB,카드매출,신용카드,"12,909 원","1,291 원","14,200 원"
2021-06-06,B0YS025KWL,카드매출,신용카드,"17,909 원","1,791 원","19,700 원"
2021-06-06,B0YS02EJ4D,카드매출,배민페이(카드결제),"15,111 원","1,511 원","16,622 원"
2021-06-06,B0YS02F8TS,카드매출,배민페이(카드결제),"4,545 원",455 원,"5,000 원"
2021-06-06,B0YS013NET,현금매출,카카오페이,"18,818 원","1,882 원","20,700 원"
2021-06-06,B0YS022IOE,현금매출,카카오페이,"11,818 원","1,182 원","13,000 원"
2021-06-07,B0YT00NM4F,카드매출,신용카드,"14,091 원","1,409 원","15,500 원"
2021-06-07,B0YT00PXS6,현금매출,토스,"14,909 원","1,491 원","16,400 원"
2021-06-07,B0YT01831P,현금매출,배민페이(계좌이체),"9,900 원",990 원,"10,890 원"
2021-06-07,B0YT01GQ34,현금매출,네이버페이,"10,909 원","1,091 원","12,000 원"
2021-06-08,B0YU01FL3A,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-08,B0YU00KZZU,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-08,B0YU00YNMS,카드매출,배민페이(카드결제),"13,727 원","1,373 원","15,100 원"
2021-06-08,B0YU01FL3A,카드매출,배민페이(카드결제),"11,364 원","1,136 원","12,500 원"
2021-06-08,B0YU00STCR,현금매출,카카오페이,"12,273 원","1,227 원","13,500 원"
2021-06-08,B0YU015433,현금매출,카카오페이,"11,818 원","1,182 원","13,000 원"
2021-06-08,B0YU01KBET,현금매출,카카오페이,"15,636 원","1,564 원","17,200 원"
2021-06-09,B0YV00MZA9,카드매출,신용카드,"20,909 원","2,091 원","23,000 원"
2021-06-09,B0YV00QFUE,카드매출,네이버페이,"20,909 원","2,091 원","23,000 원"
2021-06-09,B0YV00V86A,카드매출,카카오페이,"19,273 원","1,927 원","21,200 원"
2021-06-09,B0YV01QYOX,카드매출,신용카드,"19,727 원","1,973 원","21,700 원"
2021-06-09,B0YV01UE92,카드매출,신용카드,"10,545 원","1,055 원","11,600 원"
2021-06-09,B0YV01I3B0,현금매출,카카오페이,"4,091 원",409 원,"4,500 원"
2021-06-10,B0YW01EXZ9,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-10,B0YW00KSX2,카드매출,카카오페이,"13,182 원","1,318 원","14,500 원"
2021-06-10,B0YW00N8GB,카드매출,신용카드,"13,182 원","1,318 원","14,500 원"
2021-06-10,B0YW00NVXS,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-10,B0YW01EXZ9,카드매출,네이버페이,"15,909 원","1,591 원","17,500 원"
2021-06-10,B0YW01LT5T,현금매출,카카오페이,"11,727 원","1,173 원","12,900 원"
2021-06-10,B0YW01XU04,현금매출,카카오페이,"11,364 원","1,136 원","12,500 원"
2021-06-11,B0YX01X0T7,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-11,B0YX01X0T7,기타매출,회원포인트,126 원,13 원,139 원
2021-06-11,B0YX00FR9W,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-11,B0YX00M48Z,카드매출,배민페이(카드결제),"16,091 원","1,609 원","17,700 원"
2021-06-11,B0YX00ZK79,카드매출,신용카드,"12,727 원","1,273 원","14,000 원"
2021-06-11,B0YX018LM7,카드매출,배민페이(카드결제),"13,636 원","1,364 원","15,000 원"
2021-06-11,B0YX01DVPA,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-06-11,B0YX01X0T7,카드매출,배민페이(카드결제),"12,055 원","1,206 원","13,261 원"
2021-06-11,B0YX025BK9,카드매출,배민페이(카드결제),"17,455 원","1,745 원","19,200 원"
2021-06-11,B0YX026U53,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-06-11,B0YX019NEN,현금매출,배민페이머니,"15,273 원","1,527 원","16,800 원"
2021-06-11,B0YX01KIKL,현금매출,카카오페이,"13,273 원","1,327 원","14,600 원"
2021-06-12,B0YY01TCQ7,기타매출,회원포인트,273 원,27 원,300 원
2021-06-12,B0YY01AO8H,카드매출,신용카드,"14,636 원","1,464 원","16,100 원"
2021-06-12,B0YY01TCQ7,카드매출,배민페이(카드결제),"12,182 원","1,218 원","13,400 원"
2021-06-12,B0YY01ZOND,카드매출,네이버페이,"2,182 원",218 원,"2,400 원"
2021-06-12,B0YY02CM5Q,카드매출,신용카드,"15,000 원","1,500 원","16,500 원"
