year,type,subject,score
2000,간호사                                  ,성인간호학,80
2000,간호사                                  ,모성간호학,40
2000,간호사                                  ,아동간호학,40
2000,간호사                                  ,지역사회간호학,40
2000,간호사                                  ,정신간호학,40
2000,간호사                                  ,간호관리학,40
2000,간호사                                  ,기본간호학,30
2000,간호사                                  ,보건의약관계 법규,20
2000,물리치료사                              ,의료관계법규,20
2000,물리치료사                              ,공중보건학 개론,20
2000,물리치료사                              ,해부생리학 개론,35
2000,물리치료사                              ,물리치료학 개요,50
2000,물리치료사                              ,운동치료학 개요,50
2000,물리치료사                              ,질환별 물리치료학 개요,25
2000,물리치료사                              ,물리치료사 실기,100
2000,방사선사                                ,의료관계법규,20
2000,방사선사                                ,공중보건학 개론,20
2000,방사선사                                ,해부생리학 개론,20
2000,방사선사                                ,방사선이론,40
2000,방사선사                                ,방사선응용,30
2000,방사선사                                ,영상진단기술학,40
2000,방사선사                                ,방사선치료기술학,15
2000,방사선사                                ,핵의학기술학,15
2000,방사선사                                ,방사선사 실기,100
2000,보건의료정보관리사                      ,의료관계법규,20
2000,보건의료정보관리사                      ,의학용어,60
2000,보건의료정보관리사                      ,공중보건학 개론,20
2000,보건의료정보관리사                      ,의무기록관리학,100
2000,보건의료정보관리사                      ,의무기록사 실기,100
2000,안경사                                  ,의료관계법규,20
2000,안경사                                  ,안광학,30
2000,안경사                                  ,안경학,40
2000,안경사                                  ,안과학,30
2000,안경사                                  ,안경사 실기,100
2000,약사(4년제),정성분석학,25
2000,약사(4년제),정성분석학,25
2000,약사(4년제),정량분석학,25
2000,약사(4년제),정량분석학,25
2000,약사(4년제),생약학,25
2000,약사(4년제),생약학,25
2000,약사(4년제),무기약품제조학,25
2000,약사(4년제),무기약품제조학,25
2000,약사(4년제),유기약품제조학,25
2000,약사(4년제),유기약품제조학,25
2000,약사(4년제),위생화학,25
2000,약사(4년제),위생화학,25
2000,약사(4년제),생화학,25
2000,약사(4년제),생화학,25
2000,약사(4년제),약제학,25
2000,약사(4년제),약제학,25
2000,약사(4년제),미생물학,25
2000,약사(4년제),미생물학,25
2000,약사(4년제),약물학,25
2000,약사(4년제),약물학,25
2000,약사(4년제),약전,25
2000,약사(4년제),약전,25
