기준년도,시군명,지역명,학교명,설립구분명,1학년전입학생수(명),1학년전출학생수(명),1학년전체학생수(명),2학년전입학생수(명),2학년전출학생수(명),2학년전체학생수(명),3학년전입학생수(명),3학년전출학생수(명),3학년전체학생수(명),4학년전입학생수(명),4학년전출학생수(명),4학년전체학생수(명),5학년전입학생수(명),5학년전출학생수(명),5학년전체학생수(명),6학년전입학생수(명),6학년전출학생수(명),6학년전체학생수(명),전입학생수합계(명),전출학생수합계(명),전체학생수합계(명)
2020,가평군,경기도 가평군,조종고등학교,공립,3,1,48,6,3,59,1,1,74,10,5,181,,,,,,,,,
2020,가평군,경기도 가평군,설악고등학교,공립,0,1,56,0,0,56,0,0,61,0,1,173,,,,,,,,,
2020,가평군,경기도 가평군,가평북중학교,공립,1,2,12,4,0,11,2,1,14,7,3,37,,,,,,,,,
2020,가평군,경기도 가평군,설악중학교,공립,1,4,71,3,0,77,0,1,74,4,5,222,,,,,,,,,
2020,가평군,경기도 가평군,조종중학교,공립,3,3,56,5,2,73,0,3,76,8,8,205,,,,,,,,,
2020,가평군,경기도 가평군,청평중학교,공립,1,6,80,6,3,79,6,1,95,13,10,254,,,,,,,,,
2020,가평군,경기도 가평군,가평마장초등학교,공립,4,1,14,1,2,17,0,0,9,1,0,15,1,0,16,0,0,9,7,3,80
2020,가평군,경기도 가평군,가평초등학교,공립,3,3,135,3,1,132,2,6,135,4,9,123,6,2,140,1,4,153,19,25,818
2020,가평군,경기도 가평군,대성초등학교,공립,0,0,11,1,2,16,1,0,16,0,1,16,1,4,11,0,0,15,3,7,85
2020,가평군,경기도 가평군,목동초등학교,공립,0,1,18,0,1,18,0,3,17,0,1,15,0,2,18,3,0,13,3,8,99
2020,가평군,경기도 가평군,목동초등학교명지분교장,공립,0,0,3,0,1,2,1,0,2,1,0,4,0,0,2,0,1,1,2,2,14
2020,가평군,경기도 가평군,미원초등학교,공립,0,0,52,0,0,44,0,0,48,1,1,47,1,1,46,0,0,53,2,2,290
2020,가평군,경기도 가평군,미원초등학교위곡분교장,공립,0,0,6,0,1,3,0,0,4,0,1,5,0,1,9,0,1,5,0,4,32
2020,가평군,경기도 가평군,미원초등학교장락분교장,공립,0,0,1,1,0,0,0,1,0,1,0,4,0,1,2,0,0,2,2,2,9
2020,가평군,경기도 가평군,청평고등학교,공립,12,5,64,6,3,86,1,1,104,19,9,254,,,,,,,,,
2020,가평군,경기도 가평군,방일초등학교,공립,0,0,9,0,3,11,0,1,8,1,1,9,0,0,6,0,0,16,1,5,59
2020,가평군,경기도 가평군,상면초등학교,공립,0,2,12,1,0,12,1,1,16,1,1,13,3,0,11,0,2,18,6,6,82
2020,가평군,경기도 가평군,상색초등학교,공립,1,1,6,1,0,6,1,2,5,0,0,5,0,1,10,2,2,7,5,6,39
2020,가평군,경기도 가평군,상천초등학교,공립,0,3,6,2,0,8,0,1,10,1,0,10,1,0,7,1,1,21,5,5,62
2020,가평군,경기도 가평군,연하초등학교,공립,2,0,18,2,1,18,3,4,22,1,2,5,0,3,12,1,0,11,9,10,86
2020,가평군,경기도 가평군,율길초등학교,공립,1,0,11,0,0,3,2,1,11,0,0,11,0,3,8,0,0,9,3,4,53
2020,가평군,경기도 가평군,조종초등학교,공립,2,5,74,4,13,64,4,7,54,4,13,61,5,4,57,3,7,60,22,49,370
2020,가평군,경기도 가평군,청평초등학교,공립,7,6,60,1,5,67,2,5,77,4,3,63,1,2,70,1,2,68,16,23,405
2020,가평군,경기도 가평군,청심국제고등학교,사립,1,0,105,1,0,103,0,0,101,2,0,309,,,,,,,,,
2020,가평군,경기도 가평군,청심국제중학교,사립,0,2,108,3,1,106,0,0,106,3,3,320,,,,,,,,,
2020,가평군,경기도 가평군,가평고등학교,공립,4,2,207,1,4,208,0,1,238,5,7,653,,,,,,,,,
2020,가평군,경기도 가평군,가평중학교,공립,6,9,162,10,8,167,5,4,174,21,21,503,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,덕은초등학교,공립,7,1,54,4,12,43,8,15,41,8,8,36,4,7,39,4,5,38,35,48,251
2020,고양시,경기도 고양시 일산서구,덕이초등학교,공립,6,1,53,4,6,55,5,5,44,2,1,43,2,3,45,7,0,49,26,16,289
2020,고양시,경기도 고양시 덕양구,무원초등학교,공립,6,3,141,9,18,171,9,8,151,9,13,155,6,10,156,4,9,177,43,61,951
2020,고양시,경기도 고양시 일산서구,문촌초등학교,공립,4,4,76,3,3,73,5,2,73,4,7,61,5,6,85,4,2,90,25,24,458
2020,고양시,경기도 고양시 일산서구,문화초등학교,공립,11,5,115,8,4,128,23,5,132,18,7,142,10,4,158,12,5,186,82,30,861
2020,고양시,경기도 고양시 일산동구,백마초등학교,공립,10,3,97,11,2,105,17,5,126,16,4,105,10,5,159,10,3,123,74,22,715
2020,고양시,경기도 고양시 일산동구,백신초등학교,공립,5,5,83,5,10,89,8,13,95,4,6,80,2,11,94,3,5,115,27,50,556
2020,고양시,경기도 고양시 일산서구,한산초등학교,공립,0,0,166,0,0,158,0,0,154,0,0,150,0,0,139,0,1,147,0,1,914
2020,고양시,경기도 고양시 일산서구,백송초등학교,공립,8,4,159,20,11,144,20,12,134,13,5,118,13,9,125,11,4,143,85,45,823
2020,고양시,경기도 고양시 덕양구,향동중학교,공립,68,0,0,41,0,0,10,0,0,119,0,0,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,백송고등학교,사립,9,11,126,4,10,123,0,11,122,13,32,371,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양외국어고등학교,사립,5,9,244,7,4,235,1,0,255,13,13,734,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양고등학교,공립,5,2,199,5,4,190,0,0,205,10,6,594,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,토당초등학교,공립,0,4,44,2,7,69,2,4,50,3,3,50,1,3,65,3,3,72,11,24,350
2020,고양시,경기도 고양시 일산동구,풍산초등학교,공립,9,10,159,11,13,166,9,13,183,4,11,153,8,10,191,6,10,199,47,67,1051
2020,고양시,경기도 고양시 일산서구,한수초등학교,공립,3,5,104,7,14,119,5,4,109,3,5,124,7,4,111,6,2,124,31,34,691
2020,고양시,경기도 고양시 덕양구,행남초등학교,공립,0,4,47,0,9,40,1,6,36,0,4,37,0,2,62,0,3,43,1,28,265
2020,고양시,경기도 고양시 덕양구,행신초등학교,공립,2,7,63,4,6,60,3,7,67,2,7,92,2,5,74,1,2,62,14,34,418
2020,고양시,경기도 고양시 덕양구,행주초등학교,공립,0,2,14,0,4,17,1,1,20,0,4,13,0,0,7,0,2,7,1,13,78
2020,고양시,경기도 고양시 일산서구,현산초등학교,공립,0,5,146,10,16,146,4,12,157,6,12,136,9,2,166,7,6,184,36,53,935
2020,고양시,경기도 고양시 일산서구,호곡초등학교,공립,16,10,253,31,8,226,28,13,203,23,5,181,14,8,176,12,4,186,124,48,1225
2020,고양시,경기도 고양시 일산동구,호수초등학교,공립,1,7,95,1,10,91,1,11,94,1,7,84,2,4,109,2,9,106,8,48,579
2020,고양시,경기도 고양시 덕양구,화중초등학교,공립,3,4,94,4,4,97,3,14,91,2,5,85,8,9,92,4,6,111,24,42,570
2020,고양시,경기도 고양시 일산서구,황룡초등학교,공립,4,4,83,5,11,70,3,4,75,3,12,67,1,5,84,5,5,105,21,41,484
2020,고양시,경기도 고양시 덕양구,흥도초등학교,공립,12,7,258,17,22,287,8,9,232,13,5,208,6,8,167,7,4,178,63,55,1330
2020,고양시,경기도 고양시 덕양구,서정초등학교,공립,0,0,92,1,3,86,4,11,85,1,9,94,3,12,109,0,9,105,9,44,571
2020,고양시,경기도 고양시 덕양구,무원고등학교,공립,3,16,259,2,1,281,2,0,325,7,17,865,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,백마고등학교,공립,7,7,333,2,3,320,0,0,400,9,10,1053,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,백석고등학교,공립,8,9,316,9,1,323,2,0,349,19,10,988,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,백신고등학교,공립,8,5,327,4,6,322,2,1,380,14,12,1029,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,백양고등학교,공립,4,6,310,5,1,271,0,0,328,9,7,909,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양오금초등학교,공립,4,5,98,6,5,119,3,18,86,2,4,66,2,4,25,1,1,23,18,37,417
2020,고양시,경기도 고양시 덕양구,능곡고등학교,공립,9,17,301,7,9,274,1,1,321,17,27,896,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,고양국제고등학교,공립,0,1,204,0,2,200,0,1,189,0,4,593,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,저현고등학교,공립,5,4,326,5,6,306,1,0,325,11,10,957,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양동산고등학교,공립,16,7,214,7,4,207,1,0,233,24,11,654,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,도래울고등학교,공립,6,4,267,1,4,229,1,0,242,8,8,738,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,대화고등학교,공립,7,6,330,3,1,314,0,0,328,10,7,972,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,덕이고등학교,공립,9,8,309,5,6,294,1,1,323,15,15,926,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양관산초등학교,공립,2,3,105,4,12,109,1,7,106,2,6,122,4,6,106,1,5,114,14,39,662
2020,고양시,경기도 고양시 일산서구,고양한내초등학교,공립,8,3,87,10,5,66,18,4,67,13,6,79,20,4,77,5,3,79,74,25,455
2020,고양시,경기도 고양시 일산서구,한뫼초등학교,공립,0,7,153,7,12,181,8,22,165,6,10,175,3,22,173,4,9,183,28,82,1030
2020,고양시,경기도 고양시 일산동구,세원고등학교,사립,0,2,174,5,3,147,1,0,187,6,5,508,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,소만초등학교,공립,5,1,62,4,4,76,3,5,69,11,4,71,2,3,66,4,2,81,29,19,425
2020,고양시,경기도 고양시 일산서구,송포초등학교,공립,1,2,96,3,2,88,2,3,96,1,1,90,3,5,88,5,0,90,15,13,548
