subject,score,attendance,homework_score
history,46.0,76.0,61.0
science,52.0,89.0,56.0
math,,98.0,78.0
math,87.0,84.0,60.0
math,42.0,80.0,
science,83.0,77.0,
history,94.0,98.0,
math,74.0,90.0,64.0
science,48.0,76.0,
english,93.0,95.0,100.0
history,44.0,88.0,
math,54.0,92.0,72.0
science,45.0,80.0,75.0
math,86.0,80.0,83.0
history,88.0,93.0,95.0
math,87.0,90.0,83.0
english,85.0,73.0,78.0
math,65.0,77.0,
science,43.0,93.0,66.0
english,67.0,72.0,84.0
science,84.0,,62.0
english,69.0,,90.0
english,73.0,71.0,88.0
history,92.0,,
history,99.0,81.0,
english,98.0,99.0,78.0
math,99.0,75.0,
science,94.0,71.0,81.0
math,99.0,97.0,
science,,,96.0
math,45.0,,
math,73.0,81.0,69.0
english,51.0,,
science,87.0,91.0,
science,100.0,,76.0
math,68.0,81.0,
english,,,66.0
math,88.0,,93.0
science,,96.0,77.0
history,42.0,96.0,78.0
english,82.0,100.0,70.0
science,50.0,79.0,
english,82.0,97.0,65.0
english,68.0,97.0,86.0
history,55.0,85.0,69.0
history,85.0,84.0,55.0
english,93.0,99.0,68.0
history,96.0,99.0,
history,89.0,84.0,52.0
english,,,50.0
science,95.0,88.0,87.0
english,,,
science,86.0,92.0,
english,50.0,89.0,
english,71.0,94.0,98.0
science,45.0,72.0,
science,51.0,74.0,73.0
science,78.0,,61.0
math,60.0,76.0,67.0
english,57.0,,64.0
science,78.0,78.0,93.0
math,78.0,,65.0
science,56.0,87.0,76.0
science,58.0,73.0,57.0
math,95.0,,95.0
math,,,74.0
english,77.0,83.0,66.0
english,99.0,,78.0
english,44.0,95.0,
math,58.0,,64.0
math,,,
english,91.0,90.0,95.0
english,90.0,71.0,99.0
math,42.0,,56.0
english,91.0,97.0,52.0
english,40.0,84.0,78.0
math,94.0,,
english,92.0,76.0,73.0
math,56.0,,52.0
science,81.0,98.0,
science,90.0,77.0,95.0
english,87.0,84.0,64.0
science,81.0,72.0,74.0
math,84.0,83.0,79.0
math,47.0,86.0,
science,44.0,73.0,56.0
history,97.0,87.0,66.0
history,77.0,77.0,93.0
history,81.0,73.0,69.0
math,61.0,71.0,85.0
history,75.0,,58.0
science,58.0,75.0,
math,57.0,91.0,97.0
science,86.0,,71.0
science,40.0,73.0,
english,96.0,91.0,
math,70.0,98.0,57.0
science,77.0,100.0,60.0
history,60.0,87.0,62.0
science,,,66.0
english,92.0,81.0,57.0
english,73.0,71.0,70.0
history,93.0,79.0,67.0
science,76.0,99.0,79.0
science,89.0,73.0,67.0
science,92.0,83.0,95.0
history,61.0,100.0,96.0
history,41.0,85.0,80.0
science,44.0,84.0,87.0
history,,,81.0
math,72.0,83.0,60.0
science,52.0,92.0,94.0
english,88.0,97.0,74.0
math,46.0,94.0,
science,49.0,99.0,87.0
history,53.0,,
history,54.0,90.0,57.0
history,51.0,85.0,60.0
english,96.0,82.0,71.0
history,71.0,87.0,100.0
science,100.0,84.0,73.0
math,61.0,90.0,90.0
english,46.0,,
english,69.0,,61.0
science,82.0,,95.0
history,55.0,97.0,
english,,97.0,64.0
history,89.0,97.0,65.0
english,50.0,82.0,71.0
math,43.0,78.0,
english,44.0,98.0,69.0
english,40.0,84.0,82.0
english,53.0,82.0,
english,66.0,70.0,89.0
math,,,
science,83.0,,99.0
math,66.0,78.0,82.0
math,73.0,93.0,51.0
english,87.0,70.0,
english,70.0,81.0,
science,46.0,77.0,90.0
math,54.0,,62.0
math,59.0,100.0,79.0
math,69.0,80.0,82.0
science,81.0,88.0,
science,77.0,86.0,75.0
english,80.0,77.0,71.0
math,97.0,72.0,88.0
english,67.0,72.0,51.0
english,99.0,,87.0
science,51.0,96.0,
english,77.0,74.0,75.0
history,,79.0,95.0
math,70.0,76.0,99.0
science,57.0,,64.0
science,43.0,78.0,83.0
english,65.0,97.0,91.0
math,99.0,76.0,93.0
math,57.0,78.0,98.0
english,99.0,,89.0
english,88.0,81.0,60.0
math,,71.0,52.0
math,,,55.0
math,,85.0,58.0
english,43.0,92.0,55.0
english,77.0,92.0,58.0
history,61.0,,
science,77.0,93.0,80.0
