국적,공무입국,관광입국,기타,상용입국,유학연수
미주,1495,3375,14423,205,250
일본,165,3300,566,336,140
미국,1447,3127,10722,159,115
구주,138,2808,9658,477,573
필리핀,37,2370,6931,13,12
중국,80,1601,7406,170,264
인도네시아,30,1254,3184,1,70
미얀마,300,1100,3717,1,36
인도,21,977,1684,133,56
싱가포르,7,953,287,53,5
베트남,10,575,1171,27,503
러시아(연방),12,383,2494,78,71
독일,16,312,1274,78,38
영국,22,271,645,53,27
중동,30,266,1711,360,390
우크라이나,10,261,698,7,23
프랑스,26,252,1072,89,146
대양주,12,205,558,46,6
루마니아,3,197,153,2,4
그리스,5,178,182,13,1
오스트레일리아,8,175,385,41,2
태국,22,173,863,16,34
캐나다,13,171,3229,15,25
몽골,42,162,236,6,182
방글라데시,32,147,477,9,55
중동기타,13,106,293,164,27
폴란드,2,101,265,7,7
이탈리아,7,92,236,52,22
말레이시아,2,91,373,24,28
네덜란드,12,87,795,7,25
터키,5,79,389,10,15
홍콩,1,74,33,14,11
스웨덴,4,74,75,12,20
대만,6,64,185,35,19
스페인,7,57,128,13,24
덴마크,5,46,73,7,12
아프리카주,39,43,710,149,107
불가리아,2,39,165,0,11
벨기에,3,39,145,13,5
멕시코,7,37,179,2,30
카자흐스탄,2,33,177,2,31
뉴질랜드,2,30,156,5,0
스위스,1,28,48,5,10
스리랑카,1,24,715,0,11
아프리카주기타,36,22,463,118,87
이집트,2,21,139,23,8
우즈베키스탄,7,21,629,84,262
이란,1,12,28,1,20
미주기타,12,11,54,3,16
브라질,1,8,141,19,27
베네수엘라,4,8,12,0,0
이스라엘,1,7,82,13,8
칠레,1,7,20,2,6
요르단,1,4,19,44,3
사우디아라비아,2,4,88,16,17
파키스탄,4,3,285,20,51
페루,4,3,15,0,10
콜롬비아,6,2,26,1,13
아르헨티나,1,1,18,2,1
에콰도르,1,1,6,2,7
이라크,1,1,6,26,7
쿠바,1,0,1,0,0
피지,2,0,5,,3
