name,temp,rain_1h,snow_1h,clouds_all,weather_main,year,month,hour,weekday,traffic_volume
B,297.51,0.0,0.0,1,Clear,2016,4,15,Fri,189540
A,293.79,2.62,0.0,40,Rain,2015,9,3,Wed,11010
A,292.93,0.0,0.0,40,Clouds,2017,8,3,Wed,13410
A,260.41,0.0,0.0,5,Clear,2018,2,15,Tue,171300
B,266.02,0.0,0.0,90,Snow,2016,1,11,Sat,131550
A,267.58,0.0,0.0,90,Haze,2016,1,7,Thu,186810
A,288.21,0.0,0.0,1,Clear,2015,8,7,Mon,162930
A,276.15,0.0,0.0,5,Clear,2017,10,7,Wed,182790
A,256.65,0.0,0.0,75,Snow,2018,1,23,Mon,26640
A,290.15,0.0,0.0,75,Clouds,2017,5,19,Mon,97800
B,286.16,0.0,0.0,90,Fog,2015,8,7,Sat,78630
A,285.38,0.0,0.0,1,Mist,2018,5,7,Mon,196770
B,288.91,0.0,0.0,1,Mist,2016,8,23,Sat,56010
B,272.08,0.0,0.0,90,Snow,2016,1,15,Sun,115950
A,297.79,0.0,0.0,20,Clouds,2014,7,11,Wed,168330
A,276.29,0.0,0.0,90,Mist,2016,2,15,Tue,170610
A,278.98,0.0,0.0,1,Clear,2012,12,23,Tue,76320
B,293.55,0.0,0.0,40,Rain,2017,8,15,Fri,174300
A,279.54,0.0,0.0,90,Clouds,2014,4,3,Thu,10260
A,267.48,0.0,0.0,75,Clouds,2017,11,11,Wed,154950
A,271.79,0.0,0.0,90,Clouds,2017,11,19,Wed,96480
A,278.96,0.0,0.0,40,Clouds,2017,3,19,Tue,102750
A,276.36,0.0,0.0,75,Clouds,2014,3,15,Wed,177030
A,287.17,0.0,0.0,1,Clear,2013,9,11,Mon,137550
B,295.52,7.54,0.0,76,Mist,2013,6,3,Sat,11400
A,288.28,0.0,0.0,68,Mist,2013,6,3,Tue,10350
A,259.6,0.0,0.0,90,Haze,2013,1,15,Mon,166620
A,290.56,0.0,0.0,90,Rain,2017,5,19,Wed,94080
B,300.42,0.0,0.0,40,Clouds,2017,5,19,Sun,112290
B,288.8,0.0,0.0,90,Clouds,2013,9,11,Sun,126690
A,277.58,0.0,0.0,1,Clear,2016,5,3,Wed,10800
B,301.2,0.0,0.0,0,Clear,2014,6,15,Sun,145590
B,265.9,0.0,0.0,90,Clouds,2014,2,19,Sun,84780
B,296.68,0.25,0.0,40,Rain,2018,8,23,Fri,64410
B,303.59,0.0,0.0,0,Clear,2013,7,15,Fri,143400
B,284.49,0.38,0.0,90,Drizzle,2016,4,23,Sun,28980
B,265.83,0.0,0.0,5,Clear,2018,4,11,Sun,109230
A,260.25,0.0,0.0,64,Snow,2013,12,15,Tue,124350
A,264.11,0.0,0.0,64,Clouds,2013,12,19,Tue,98880
A,294.03,0.0,0.0,75,Clouds,2013,5,19,Tue,95250
A,291.56,0.0,0.0,1,Clear,2014,7,23,Wed,39750
B,269.48,0.0,0.0,40,Mist,2016,2,23,Fri,51390
A,270.65,0.0,0.0,90,Mist,2018,1,23,Mon,17100
B,274.77,0.0,0.0,40,Clouds,2013,4,15,Sat,144240
B,268.86,0.0,0.0,90,Clouds,2014,3,7,Sun,31020
A,268.15,0.0,0.0,90,Snow,2012,12,3,Wed,11340
A,288.66,0.0,0.0,1,Clear,2014,7,23,Tue,37740
A,288.86,0.0,0.0,75,Clouds,2012,10,19,Tue,102540
A,283.27,0.64,0.0,92,Rain,2013,10,15,Tue,177030
A,274.12,0.0,0.0,64,Mist,2014,1,7,Thu,170040
B,280.35,0.0,0.0,1,Clear,2017,11,3,Fri,7710
B,294.02,2.86,0.0,75,Thunderstorm,2015,6,23,Sat,73230
A,272.0,0.0,0.0,90,Mist,2018,3,19,Tue,92940
A,251.1,0.0,0.0,1,Clear,2013,1,7,Wed,174870
A,285.2270000000001,0.0,0.0,48,Clouds,2016,10,15,Wed,155220
B,292.89,0.0,0.0,20,Clouds,2016,6,3,Sat,13350
A,266.78,0.0,0.0,90,Mist,2013,1,23,Thu,32370
B,0.0,0.0,0.0,0,Clear,2014,1,3,Fri,10830
B,293.37,0.3,0.0,90,Rain,2015,8,3,Fri,10620
A,288.15,0.0,0.0,1,Clear,2017,5,11,Thu,152790
B,281.987,0.0,0.0,0,Clear,2016,10,15,Sun,116790
A,278.97,0.0,0.0,1,Clear,2015,9,23,Tue,27990
B,275.16,0.0,0.0,40,Clouds,2013,1,11,Sat,122880
A,285.17,0.0,0.0,90,Drizzle,2018,9,7,Thu,197670
A,276.47,0.0,0.0,75,Clouds,2014,3,19,Tue,96900
B,295.24,0.0,0.0,20,Clouds,2014,5,3,Sat,13560
B,296.95,0.0,0.0,1,Clear,2017,6,3,Sat,12420
A,256.33,0.0,0.0,75,Haze,2016,12,11,Mon,129630
A,298.16,0.0,0.0,1,Clear,2016,5,19,Thu,111990
A,300.68,0.0,0.0,1,Clear,2016,8,15,Mon,151860
B,279.03,0.0,0.0,90,Rain,2016,11,11,Fri,136200
A,273.46,0.0,0.0,1,Haze,2016,11,3,Tue,9690
B,293.04,2.75,0.0,90,Rain,2014,5,23,Sat,57510
A,266.08,0.0,0.0,40,Clouds,2018,1,11,Tue,98970
