session_id,url,user_agent,action,platform,region
S00001,https://shop.example.com/item/123?ref=google,LG / Chrome,view_item,iOS,Seoul
S00002,https://shop.example.com/search?q=phone,iPad / Edge,LOGOUT,Android,Busan
S00003,http://shop.example.com/login ,iPhone / Chrome,view_item,Android, Daejeon 
S00004,https://shop.example.com/search?q=phone,Samsung / Chrome,LOGIN,Web,Busan
S00005, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Firefox,logout,iOS,Seoul
S00006,https://shop.example.com/search?q=phone,iPhone / Edge,login,iOS,Daejeon
S00007,http://shop.example.com/PURCHASE?id=777,Xiaomi / Firefox,logout,Web,Seoul
S00008,https://shop.example.com/item/123?ref=google,Xiaomi / Edge,purchase,iOS,Daegu
S00009,https://shop.example.com/search?q=phone,Xiaomi / Edge,LOGIN,Android,Daejeon
S00010,https://shop.example.com/item/123?ref=google,LG / Safari,view_item,Web,Daejeon
S00011, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Safari,search,iOS,Busan
S00012,https://shop.example.com/search?q=phone,Xiaomi / Chrome,login,Android,Incheon
S00013, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Firefox,CART,iOS, Seoul 
S00014, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Chrome,view_item,Android,Daejeon
S00015,https://shop.example.com/search?q=phone,Samsung / Edge,logout,iOS,Seoul
S00016, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Safari,view_item,Android,Busan
S00017,https://shop.example.com/item/123?ref=google,Samsung / Firefox,search,iOS,Busan
S00018, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Edge,purchase,Web,Daegu
S00019,http://shop.example.com/PURCHASE?id=777,Xiaomi / Firefox,login,Web, Busan 
S00020,https://shop.example.com/search?q=phone,Xiaomi / Edge,view_item,Android,Busan
S00021,http://shop.example.com/PURCHASE?id=777,iPad / Safari,logout,Web,Seoul
S00022,http://shop.example.com/PURCHASE?id=777,LG / Chrome,logout,Web,Busan
S00023,https://shop.example.com/search?q=phone,Samsung / Chrome,purchase,Web,Busan
S00024,https://shop.example.com/item/123?ref=google,iPhone / Edge,search,Android, Seoul 
S00025,http://shop.example.com/PURCHASE?id=777,iPad / Safari,search,Android,Incheon
S00026,https://shop.example.com/item/123?ref=google,LG / Firefox,logout,iOS,Busan
S00027,http://shop.example.com/PURCHASE?id=777,Samsung / Firefox,LOGOUT,Web, Daejeon 
S00028,https://shop.example.com/search?q=phone,LG / Firefox,logout,iOS,Busan
S00029,http://shop.example.com/login ,iPhone / Firefox,login,iOS,Incheon
S00030,http://shop.example.com/login ,iPad / Firefox,LOGOUT,Android,Daegu
S00031,http://shop.example.com/PURCHASE?id=777,LG / Chrome,view_item,Android,Daejeon
S00032,http://shop.example.com/PURCHASE?id=777,LG / Safari,cart,iOS,Daegu
